class_size
22
20
25
19
28
26
23
27
34
15
22
32
<15
20
34
29
17
22
19
25
<15
32
31
15
17
33
17
27
29
15
26
29
29
20
31
<15
16
<15
30
24
34
19
20
16
22
33
28
32
26
<15
23
19
30
<15
34
>34
28
30
15
27
26
21
28
23
16
< 6
16
21
33
25
10
18
29
28
27
27
6
17
26
>34
26
20
17
17
18
15
23
16
25
25
20
30
8
9
30
21
20
29
33
18
24
<15
<15
31
33
31
22
7
27
23
31
19
16
26
21
34
20
24
22
25
30
16
>34
18
30
19
21
17
19
17
15
21
>34
16
20
33
>34
31
22
32
32
32
32
25
28
29
23
15
18
24
23
29
28
33
16
25
31
<15
26
28
34
27
31
18
34
17
27
29
25
24
24
23
30
32
24
23
>34
21
19
30
18
24
31
15
28
21
15
27
18
22
24
26
21
19
33
>34
18
22
32
11
