grade_level
7
K
3
7
6
1
6
8
4
2
2
1
2
4
5
7
7
K
5
7
K
2
2
8
4
5
2
7
5
3
2
8
4
2
8
7
5
1
7
8
1
4
3
2
1
7
4
7
5
3
2
2
4
8
6
2
5
3
4
3
K
1
8
3
1
K-8 SC
K
K
6
5
K-8 SC
2
6
2
K
1
K-8 SC
8
4
4
8
5
5
K
K
K
5
4
4
2
8
1
K-8 SC
K-8 SC
K
4
7
3
3
3
2
5
4
4
8
5
5
K-8 SC
5
K
K
K
3
7
8
7
6
1
4
6
6
7
8
6
2
3
7
3
6
6
5
3
6
8
1
2
1
6
6
4
K
5
3
8
3
K
1
7
7
7
7
2
K
4
6
1
7
6
3
1
8
4
3
4
3
1
6
1
K
3
K
8
5
8
4
4
5
6
1
8
1
5
1
1
7
2
6
2
5
3
6
6
5
8
1
7
8
8
6
K-8 SC
