data_set_description,data_set_name,year
"Sidewalk Management System is used to track and organize inspections, violations and the status of New York City sidewalks. This dataset Identifies locations where DOT inspectors performed sidewalk inspections for defects.",Sidewalk Management Database- Inspections,2025
EMS response and patient treatment,Ambulance Call Report/Prehospital Care Report (ACR/PCR),2025
Salary of Correctional Officers,Employee Salary Data,2025
This dataset tracks sidewalk corner and pedestrian ramp complaints and their temporary repair status. Temporary repairs may include but are not limited to the use of asphalt on corners and pedestrian ramps.,Pedestrian Ramp Complaints,2025
Names and salaries of Correctional Officers in 2003,Employee Salary Data,2025
information on employees including salaries and civil service titles,Human Resources Database,2025
List of Immigration Service Provider complaints,Immigration Service Provider Complaints,2025
Customer Water and Wastewater Charges,UMAX Database,2025
Water/Sewer Complaints,311 Database,2025
List of licensed Electronic Cigarette Dealers within specific Community Districts on a certain date,Licensed Electronic Cigarette Dealers (by Community District) by Date,2025
"List of properties in NYC, which includes the assessed value and changes to the assessed value which caused the assessed value to decrease",Historical Property Assessment Roll with Remissions,2025
Dataset of License Application Information for online applications pulled from our Accela System,License Application Information,2025
Safety Boilers Compliance Filings,Safety Boilers Compliance Filings,2025
