data_set_name,nyc_open_data_url,number_of_foil_requests
Sidewalk Management Database- Violations,https://data.cityofnewyork.us/Transportation/Sidewalk-Management-Database-Violations/6kbp-uz6m/about_data,279.0
Licensed Pedicab Businesses,https://data.cityofnewyork.us/d/w7w3-xahh,3.0
Application Filings - BIS,https://data.cityofnewyork.us/d/ic3t-wcy2,151.0
Parks Inspection Program - Inspections,https://data.cityofnewyork.us/dataset/Parks-Inspection-Program-Inspections/yg3y-7juh,139.0
Advantis,,2.0
Property Assessment Roll,https://data.cityofnewyork.us/City-Government/Property-Valuation-and-Assessment-Data-Tax-Classes/8y4t-faws,1.0
Certificate of Occupancy - BIS,https://data.cityofnewyork.us/d/bs8b-p36w,51.0
Disposition of Local Law 39 Summonses,https://data.cityofnewyork.us/d/5fn4-dr26,1.0
Contract data,https://data.cityofnewyork.us/City-Government/Department-of-Youth-and-Community-Development-DYCD/graj-69em/about_data,2.0
Passport,,11.0
DSNY Waste Characterization Study 2023 - Main Sort Results,https://data.cityofnewyork.us/dataset/DSNY-Waste-Characterization-2023-Main-Sort-Results/bpea-2i5q/about_data,1.0
Housing Connect Data,,3.0
Estimated Street Light Operational Hours,,73.0
Licensing,,1.0
Violations,https://data.cityofnewyork.us/d/5fn4-dr26,1.0
Sightseeing Guide Exam Result,,1.0
Complaint History,https://data.cityofnewyork.us/d/nre2-6m2s,28.0
CAD (Computer Aided Dispatch),https://data.cityofnewyork.us/d/76xm-jjuj;  https://data.cityofnewyork.us/d/8m42-w767,41.0
Licensed Process Server Individuals w. Contact Information,,1.0
Actions Taken Against Process Servers,https://data.cityofnewyork.us/d/b9yk-4pzk,1.0
Licensed Newsstands Contact Information,,1.0
Local Law 60 2022-2023,https://data.cityofnewyork.us/Education/Enrollment-Capacity-And-Utilization-Reports/gkd7-3vk7/about_data,1.0
Licensed Horse Drawn Cabs w. Contact Information,,1.0
Process Server Individual Disciplinary Actions,,6.0
Commissioner's Correspondences,https://data.cityofnewyork.us/Transportation/Commissioner-s-Correspondence/b4mf-rg6h,445.0
Staten Island Ferry Ridership Counts,https://data.cityofnewyork.us/Transportation/Staten-Island-Ferry-Ridership-Counts/6eng-46dm/about_data,1.0
Extract from DORIS- New York City Municipal Archives Data Collection: Acquisitions / Accessions List,https://data.cityofnewyork.us/City-Government/New-York-City-Municipal-Archives-Data-Collection-A/vfa7-chs9/about_data,1.0
DERTA Database/IPS Database,,999.0
CONH Building List,https://data.cityofnewyork.us/Housing-Development/Certification-of-No-Harassment-CONH-Pilot-Building/bzxi-2tsw/about_data,1.0
NYS Veteran Services' Vet Ops,,1.0
List of Horse Drawn Cab Plate Numbers,https://data.cityofnewyork.us/d/9vpn-rpgs,1.0
HDM RFP - Tab 2,,1.0
Bronx Restaurants,,1.0
Vacant Newsstands,,1.0
OATH Summons Records,https://data.cityofnewyork.us/d/jz4z-kudi,163.0
311,,5.0
Street Construction Inspections and Corrective Action Requests,https://data.cityofnewyork.us/Transportation/Street-Construction-Inspections-and-Corrective-Act/ydkf-mpxb,5457.0
Individual Budget Worksheets for GMH Proposals,,1.0
Bridges-Work Ticket,,
Operation Padlock to Protect Inspections,https://data.cityofnewyork.us/d/jzhd-m6uv,2.0
"U.S. Census Bureau, 2018-2022 American Community Survey 5-Year Estimate",,1.0
Park Properties,https://data.cityofnewyork.us/Recreation/Parks-Properties/enfh-gkve,155.0
Permits - DOB NOW,https://data.cityofnewyork.us/d/rbx6-tga4,78.0
BID Trend Reports,https://data.cityofnewyork.us/browse?q=bid&sortBy=relevance&utf8=%E2%9C%93&pageSize=20&Dataset-Information_Agency=Department+of+Small+Business+Services+%28SBS%29,1.0
Citywide Payroll Data (Fiscal Year),https://data.cityofnewyork.us/City-Government/Citywide-Payroll-Data-Fiscal-Year-/k397-673e,1.0
District Resource Statement (DRS),https://data.cityofnewyork.us/Social-Services/District-Resource-Statement-DRS-/au2c-rs69/,1.0
PARIS Database,https://data.cityofnewyork.us/Environment/Water-and-Sewer-Permits/hphy-6g7m,230.0
Dealers in Products for the Disabled Licenses at a Location,https://data.cityofnewyork.us/d/w7w3-xahh,108.0
Civil Service Eligible Lists,https://data.cityofnewyork.us/City-Government/Civil-Service-List-Active-/vx8i-nprf; https://data.cityofnewyork.us/City-Government/Civil-Service-List-Terminated-/qu8g-sxqf,3.0
Home Improvement Contractor Trust Fund Disbursements,https://data.cityofnewyork.us/d/ga3c-v25a,4.0
Street Maintenance - Street Pothole Work Orders Closed,https://data.cityofnewyork.us/Transportation/Street-Sign-Work-Orders/qt6m-xctn,911.0
Asbestos Abatement Activities,https://data.cityofnewyork.us/Environment/Asbestos-Control-Program-ACP7-/vq35-j9qm,499.0
CONNECTIONS,,5.0
Licensed Dealers in Products for the Disabled,https://data.cityofnewyork.us/d/w7w3-xahh,2.0
COVID Deaths 2020 - 2021,https://data.cityofnewyork.us/Health/COVID-19-Daily-Counts-of-Cases-Hospitalizations-an/rc75-m7u3/about_data,1.0
Legally Operating Businesses OpenData Dataset,https://data.cityofnewyork.us/d/w7w3-xahh,1.0
Licensed Pedicab Drivers,https://data.cityofnewyork.us/d/w7w3-xahh,1.0
Library staff Salary,,1.0
Bid Tabulations,https://data.cityofnewyork.us/City-Government/Bid-Tabulations-Historical-/9k82-ys7w,33.0
Sidewalk Management Database,https://data.cityofnewyork.us/browse?q=&sortBy=relevance&utf8=%E2%9C%93&pageSize=20&Data-Collection_Data-Collection=DOT+Sidewalk+Management+Database&page=1,536.0
DHS Daily Report,https://data.cityofnewyork.us/Social-Services/DHS-Daily-Report/k46n-sa2m/,2.0
SMART- Carting Book,,3.0
Immigration Service Provider Inspections,https://data.cityofnewyork.us/d/jzhd-m6uv,1.0
ACS Document Share,,1.0
Paid Sick Leave Penalties,,1.0
