school_year,opt_code,site_name,school_name,number_of_riders
2024-2025,C197,East River Child Development Center,East River Child Development Center,59
2015-2016,C205,Hawthorne Country Day School,,15
2024-2025,C119,Lefferts-Liberty Kiwanis-First Step,HEARTSHARE HUMAN SERVICES,91
2015-2016,C125,ICCD,Interdisciplinary Center For Child Development,68
2015-2016,C264,Infant & Child Learning,Infant & Child Learning Center,65
2017-2018,C225,Highbridge Advisory Council,Marshall England,50
2024-2025,C087,"MT PLEASANT-BLYTHEDALE, UFSD","MT PLEASANT-BLYTHEDALE, UFSD",11
2019-2020,C182,ROOSEVELT CHILDREN&amp;amp;amp;#39;S CENTER,NY LEAGUE for EarlyLearning,25
2015-2016,E083,Thursday's Child,Thursday's Child,108
2024-2025,C073,Herbert Birch Bronx Campus,"Birch, Herbert G. Early Childhood Center",6
2015-2016,C027,BLOCK ACADEMY,BLOCK INSTITUTE SCHOOL,80
2015-2016,C042,AMAC Children's House,Assoc. in Manhattan for Austic Children (AMAC),47
2015-2016,C040,Merricat's Castle School,ABC,12
2017-2018,S255,P255K,P255K,3
2015-2016,C222,Gingerbread Learning Center,Gingerbread Learning Center,63
2015-2016,C041,"Birch, Herbert G. Early Childhood Center","Birch, Herbert G. Early Childhood Center",142
2019-2020,C278,Highbridge Advisory Council,Highbridge Advisory Council,12
2024-2025,C199,EDEN II SCHOOL FOR AUTISTIC CHILDREN,EDEN II SCHOOL FOR AUTISTIC CHILDREN,46
2015-2016,C317,First Foot Forward,Jewish Community Center of Staten Island,41
2024-2025,C026,(Preschool students funded under section 4410),Lavelle School for the Blind (4410),52
2017-2018,E141,Challenge Early Intervention Center,Challenge Early Intervention Center,9
2024-2025,C216,"KIDS-CENTRIC, INC.",Rena Day Care Center,10
2015-2016,C270,H.A.S.C. Preschool - Brooklyn,H.A.S.C. Preschool - Brooklyn,51
2024-2025,C148,Children at Play Early Intervention Center,Children at Play Early Intervention Center,12
2024-2025,C271,Interdisciplinary Center for Child development,ICCD Northside,26
2024-2025,C118,Canarsie Childhood Center,Canarsie Childhood Center,71
2015-2016,C008,HC/HC-Ace Progam-Hospital Clinic Home Center,HC/HC-Ace Progam,57
2017-2018,S075,CITYWIDE(D75)PRESCHOOL PROGRAM P75@P75Q,Pre-K Program @ 24075,15
2024-2025,C121A,Matilda Cuomo-First Step,HEARTSHARE HUMAN SERVICES,90
2015-2016,C265,HCHC/SECOND STEP ANNEX,HCHC/SECOND STEP ANNEX,42
2015-2016,C101,Gillen Brewer,Gillen Brewer,16
2017-2018,S533,District 07/Learning Through Play Pre K Center,New York City Public School Pre-K Center,5
2015-2016,C199,EDEN II SCHOOL FOR AUTISTIC CHILDREN,EDEN II SCHOOL FOR AUTISTIC CHILDREN,25
2015-2016,C195,Steppingstone Bronx,Steppingstone Day School,147
2017-2018,S253,Q75P256@S253,NEW YORK CITY D75 INTEGRATED PROGRAM,4
2024-2025,C153,John Coleman School,John Coleman School,23
2015-2016,C368,INFANT & CHILD LEARNING CENTER-STANLEY S. LAMM INSTITUTE PRESCHOOL,INFANT & CHILD LEARNING CENTER-STANLEY S. LAMM INSTITUTE PRESCHOOL,103
2024-2025,C296,SUNSHINE DEVELOPMENTAL SCHOOL,FAMILY HEAD START,14
2015-2016,C009,Auditory/Oral School of N.Y.,Auditory/Oral School of N.Y.,114
2015-2016,C107,BOOKS & RATTLES @ LEARNING TREE,BOOKS & RATTLES INC,9
2017-2018,E019,HASC @ 55th Street,Hebrew Academy for Special Children  (HASC),1
2017-2018,S189,District 6/P.189M,New York City Public School,2
2017-2018,S224,Citywide (D75) Preschool Program @ P224Q @P710,New York City Public Schools,67
2024-2025,C277,UNIVERSITY SETTLEMENT/CHILDRENS CORNER,KIDS CENTRIC INC.,9
2015-2016,C287,THERACARE PRESCHOOL SERVICES INC,CHILDREN'S AID SOCIETY,7
2015-2016,C262,HC/HC - Ace Program,HC/HC - Ace Program,70
2015-2016,S001,District 15/P.001K,New York City Public School,3
2017-2018,S198B,Region 9/District 02 - PS 198M,New York City Superstart Plus Program,5
2015-2016,S176,S176 @ 178X,S176 @ 178X,24
2017-2018,E187,TheraCare at Educational Alliance,TheraCare at Educational Alliance,2
2015-2016,C221,Aim High Children's Services,New Life Child Development Center,23
2015-2016,C351,Dr. Katherine Dodge Brownell Preschool,"Brownell, K. Dodge",72
2015-2016,C299,theracare at little angels head start/sacred heart,theracare at little angels head start/sacred heart,20
2024-2025,C147,The Child Learning Center of N.Y./Brooklyn,Child Study Center of N.Y.,78
2015-2016,C275A,Highbridge Advisory Council,Highbridge Advisory Council,91
2015-2016,C121A,Matilda Cuomo-First Step,HEARTSHARE HUMAN SERVICES,152
2024-2025,C009,Auditory/Oral School of N.Y.,Auditory/Oral School of N.Y.,105
2015-2016,C182,ROOSEVELT CHILDREN'S CENTER,NY LEAGUE for EarlyLearning,41
2015-2016,C302,COMMUNITY PARENTS HEAD START,KIDS CENTRIC INC,17
2024-2025,C092,Block Institute School,Block Institute School,157
2024-2025,C108,Books & Rattles Inc. Peek-A-Boo,Books & Rattles Inc. Peek-A-Boo,59
2015-2016,C028,Positive Beginnings Preschool,Positive Beginnings Preschool,212
2015-2016,C273,H.A.S.C. Preschool/Woodmere,H.A.S.C. Preschool/Woodmere,38
2024-2025,C065,"Happy Dragon of New York, Inc-Queens","Happy Dragon of New York, Inc.",11
2017-2018,S228,NEW YORK CITY TARGETED PLUS PROGRAM District 30 - PS 228,NEW YORK CITY TARGETED PLUS PROGRAM District 30 - PS 228,6
2015-2016,C135,"UNITED COMMUNITY SERVICES, INC BUSHWICK HEAD START","UNITED COMMUNITY SERVICES, INC",31
2015-2016,E044,Little Wonders,Little Wonders,90
2017-2018,S184,District 23/P.184K,New York City Public School,3
2015-2016,C306,ICCD,Interdisciplinary Center For Child Development,62
2024-2025,C244,Guild for Exceptional Children,Guild for Exceptional Children,117
2017-2018,S188,Citywide (D75)  Preschool Program @P188X at P34,New York City Public Schools,36
2015-2016,C240,NORTHSIDE/SUSAN PATRICOF HEADSTART CENTER,NORTHSIDE CENTER DAY SCHOOL,6
2017-2018,X085,District 10/P.085X,New York City Public School,5
2015-2016,C369,Brookville Center for Children's Services,Brookville Center for Children's Services formerly known as Marcus Avenue,107
2017-2018,S226,Citywide (D75) Preschool Program @P226,New York City Public Schools,22
2015-2016,C092,Block Institute School,Block Institute School,110
2015-2016,C201,GROW WITH US PRESCHOOL,SUSAN E. WAGNER CHILD CARE CTR,69
2015-2016,C108,Books & Rattles Inc. Peek-A-Boo,Books & Rattles Inc. Peek-A-Boo,63
2015-2016,C157,SUNSHINE DEVELOPMENTAL SCHOOL-LA PENNISULA HEAD START,SUNSHINE DEVELOPMENTAL SCHOOL-LA PENNISULA HEAD START,34
2015-2016,C272,H.A.S.C. Preschool,H.A.S.C. Preschool,100
2024-2025,C053,Bank Street Family Center,Bank Street Family Center,7
2024-2025,C178,Easter Seals Learning Center,Easter Seals Learning Center,73
2017-2018,S229,D20/ P229K,New York City Targeted Plus Program,7
2024-2025,C215,"Kids Centric, Inc.",Helen Owen Cary Child Development Center,5
2019-2020,C275A,Highbridge Advisory Council,Highbridge Advisory Council,67
2024-2025,C302,COMMUNITY PARENTS HEAD START,KIDS CENTRIC INC,17
2015-2016,C353,Life Skills School,Life Skills School,62
2015-2016,C247,AIM HIGH CHILDREN'S SERVICES/LUCK STARS OF FOREST HILL,AIM HIGH CHILDREN'S SERVICES,8
2024-2025,C104,PAL WORLD OF CREATIVE EXPERIENCE,"KIDS CENTRIC, INC",10
2017-2018,S192,Region 7/District 20 - PS 192K,New York City Superstart Plus Program,3
2024-2025,C130,Charles R. Drew  Day Care Center,Charles R. Drew  Day Care Center,18
2024-2025,C057,ST MARKS HEADSTART,"STARTING POINT SERVICES FOR CHILDREN, THE ATLANTIC  PACIFIC SCHOOL INC",9
2024-2025,C037,Astor Lawrence Hickey Center,Lawrence F. Hickey Center for Child Development,36
2015-2016,C303,COMMUNITY PARENTS HEAD START,KIDS CENTRIC INC.,9
2019-2020,C523,Carol and Frank Biondi Educ Center  aka Leake and Watts,Childrens Learning Center,79
2017-2018,S463,NEW YORK CITY TARGETED PLUS PROGRAM,CSE 2/DISTRICT 12 - P 463,1
2015-2016,C349,Lifeline Center for Child Development,Lifeline Center for Child Development,65
2015-2016,C278,Highbridge Advisory Council,Highbridge Advisory Council,9
2015-2016,C223,Gingerbread Learning Center,Gingerbread Learning Center -,21
2024-2025,C028,Positive Beginnings Preschool,Positive Beginnings Preschool,99
2015-2016,C296,SUNSHINE DEVELOPMENTAL SCHOOL,FAMILY HEAD START,19
2017-2018,X093,District 8/P93X,New York City Targeted Plus Program,2
2024-2025,C058,STATEN ISLAND PREP,"NYASARC, INC. NYC CHAPTER",19
2024-2025,C056,"Books and Rattles, Inc.","Books and Rattles, Inc.",43
2017-2018,S331,District 24Q/Mosaic Pre-K Center,New York City Public School Pre-K Center,4
2015-2016,C047,Annex at Jackson Children's Services,Jackson Developmental Center-West,118
2024-2025,C240,NORTHSIDE/SUSAN PATRICOF HEADSTART CENTER,NORTHSIDE CENTER DAY SCHOOL,8
2015-2016,C104,PAL WORLD OF CREATIVE EXPERIENCE,"KIDS CENTRIC, INC",19
2017-2018,S257,CSE8/District 14-PS 14K,New York City SCIS program,3
2015-2016,C268,"Keller, Helen Services for the Blind","Keller, Helen Services for the Blind",33
2015-2016,C147,The Child Learning Center of N.Y./Brooklyn,Child Study Center of N.Y.,82
2015-2016,C249,AIM HIGH CHILDREN'S SERVICES/JFKIDS PORT,AIM HIGH CHILDREN'S SERVICES,8
2015-2016,C074,"Birch, Herbert G. Early Childhood Center","Birch, Herbert G. Early Childhood Center",123
2015-2016,C282,KIDS CENTRIC INC./BOULEVARD NURSERY SCHOOL,KIDS CENTRIC INC.,10
2015-2016,C057,ST MARK'S HEADSTART,"STARTING POINT SERVICES FOR CHILDREN, THE ATLANTIC & PACIFIC SCHOOL INC",7
2017-2018,S223,Region 5/District 27 - PS 223Q,New York City Superstart Plus Program,1
2018-2019,S176,S176 @ 178X,S176 @ 178X,24
2017-2018,S238,Region 7/District 21- PS 238,New York City Superstart Plus Program,2
2024-2025,C266,HIDEC,Hebrew Institute for Deaf  Exceptional Children,113
2015-2016,C026,(Preschool students funded under section 4410),Lavelle School for the Blind (4410),42
2015-2016,C118,Canarsie Childhood Center,Canarsie Childhood Center,95
2015-2016,C197,East River Child Development Center,East River Child Development Center,100
2017-2018,E082,These Our Treasures (TOTS),These Our Treasures (TOTS),3
2017-2018,C087,"MT PLEASANT-BLYTHEDALE, UFSD","MT PLEASANT-BLYTHEDALE, UFSD",10
2017-2018,S375,District 17/P.375K,New York City Public School,4
2017-2018,E011,Crossroads School for Child Development,Crossroads School for Child Development,2
2015-2016,S004,CSE 7/District 31-P004,New York City SCIS,4
2024-2025,C201,GROW WITH US PRESCHOOL,SUSAN E. WAGNER CHILD CARE CTR,82
2018-2019,C585,United Cerebral Palsy/Staten Island Program,UCP of N.Y.C. Inc.,69
2015-2016,C192,Association for Children with Down Syndrome,Association for Children with Down Syndrome,9
2024-2025,C041,"Birch, Herbert G. Early Childhood Center","Birch, Herbert G. Early Childhood Center",123
2015-2016,C073,Herbert Birch Bronx Campus,"Birch, Herbert G. Early Childhood Center",69
2015-2016,C244,Guild for Exceptional Children,Guild for Exceptional Children,181
2017-2018,C544,Bronx Preschool Program,Shield Institute,159
2024-2025,C117,SUNSHINE DEVELOPMENTAL SCHOOL,SUNSHINE DEVELOPMENTAL SCHOOL,237
2017-2018,S582,District 9/Garden of Learning & Discovery Pre K Center,New York City Public School Pre-K Center,5
2015-2016,C037,Astor Lawrence Hickey Center,Lawrence F. Hickey Center for Child Development,42
2024-2025,C273,H.A.S.C. Preschool/Woodmere,H.A.S.C. Preschool/Woodmere,8
2019-2020,C275B,Highbridge Advisory Council,Highbridge Advisory Council,16
2015-2016,C143,LEAKE AND WATTS (CAROL AND FRANK BIONDI EDUCATIONAL CENTER),AMES CENTER,5
2015-2016,C320,Jackson Development Center,Jackson Development Center,139
2017-2018,E170,Los Ninos,Los Ninos,23
2024-2025,C268,"Keller, Helen Services for the Blind","Keller, Helen Services for the Blind",47
