cnt_amt,cat_scp,cat,pub_dt
7106,(including Transportation of Pupils and Payments to Contract Schools),Youth and Student Related Services,20210426
2247,"Custodial, Security Services, Secretarial, Cultural Related, Employee Related, Economic Development, Transportation, Municipal Waste Exporting, etc.",Other Services,20220426
1606,"Lighting, Street Repair, Buildings, Parks, Water Supply, Sewage and Waste Disposal, etc.",Maintenance and Operation of Infrastructure,20250501
1924,"Accounting, Auditing, Actuarial, Education, Investment Analysis, Legal Engineering & Architectural, System Development & Management Analysis, etc.",Professional Services/Consultants,20210426
1931,"Accounting, Auditing, Actuarial, Education, Investment Analysis, Legal Engineering & Architectural, System Development & Management Analysis, etc.",Professional Services/Consultants,20230426
474,"Data Processing, Office Equipment, Telecommunications & Motorized Equipment, etc.",Maintenance of Equipment,20210426
5847,(including Transportation of Pupils and Payments to Contract Schools),Youth and Student Related Services,20200416
1332,"Lighting, Street Repair, Buildings, Parks, Water Supply, Sewage and Waste Disposal, etc.",Maintenance and Operation of Infrastructure,20230426
1341,"Lighting, Street Repair, Buildings, Parks, Water Supply, Sewage and Waste Disposal, etc.",Maintenance and Operation of Infrastructure,20220426
2138,"Custodial, Security Services, Secretarial, Cultural Related, Employee Related, Economic Development, Transportation, Municipal Waste Exporting, etc.",Other Services,20250501
2407,"Accounting, Auditing, Actuarial, Education, Investment Analysis, Legal Engineering & Architectural, System Development & Management Analysis, etc.",Professional Services/Consultants,20240424
2096,"Custodial, Security Services, Secretarial, Cultural Related, Employee Related, Economic Development, Transportation, Municipal Waste Exporting, etc.",Other Services,20210426
