number_and_street_address,bbl,borough
28 27th Street,,
1560 Broadway,1009990003.0,MANHATTAN
449 Washington Street,1002247503.0,MANHATTAN
62 45th Street,,
315 Madison,1012760051.0,MANHATTAN
123 18th Street,,
817 Broadway,1005630031.0,MANHATTAN
250 49th Street,,
936 Broadway,1008507502.0,MANHATTAN
512 151st Street,1020820043.0,MANHATTAN
260 Fifth Ave,1008300042.0,MANHATTAN
19 21st Street,,
665 Broadway,1005320015.0,MANHATTAN
928 Broadway,1008500012.0,MANHATTAN
45 45th Street,,
441 53rd Street,,
5 47th Street,,
420 Lexington Avenue,1012807501.0,MANHATTAN
440 41st Street,,
555 Eighth Ave,1007610037.0,MANHATTAN
245 55th Street,,
49 23rd Street,,
128 22nd Street,,
311 34th Street,,
2 46th Street,,
