location_1,nta
"{'latitude': '40.744929207453', 'longitude': '-73.989792880475', 'human_address': '{""address"": ""28 27th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}'}",
"{'latitude': '40.759003271609', 'longitude': '-73.985190670145', 'human_address': '{""address"": ""1560 Broadway"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10036""}'}",Midtown-Midtown South                                                      
"{'latitude': '40.723912051628', 'longitude': '-74.010252456642', 'human_address': '{""address"": ""449 Washington St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10013""}'}",SoHo-TriBeCa-Civic Center-Little Italy                                     
"{'latitude': '40.756422542988', 'longitude': '-73.981914819499', 'human_address': '{""address"": ""62 45th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10036""}'}",
"{'latitude': '40.753028074201', 'longitude': '-73.979078557076', 'human_address': '{""address"": ""315 Madison"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10017""}'}",Murray Hill-Kips Bay
"{'latitude': '40.740167320246', 'longitude': '-73.995686422457', 'human_address': '{""address"": ""123 18th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10011""}'}",
"{'latitude': '40.73318406175', 'longitude': '-73.991132870299', 'human_address': '{""address"": ""817 Broadway"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10003""}'}",West Village                                                               
"{'latitude': '40.761171544305', 'longitude': '-73.985479624333', 'human_address': '{""address"": ""250 49th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10019""}'}",
"{'latitude': '40.740476155115', 'longitude': '-73.989398597655', 'human_address': '{""address"": ""936 Broadway"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10010""}'}",Hudson Yards-Chelsea-Flatiron-Union Square                                 
"{'latitude': '40.829492457868', 'longitude': '-73.945950931547', 'human_address': '{""address"": ""512 151st Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10031""}'}",Hamilton Heights
"{'latitude': '40.745113934197', 'longitude': '-73.986995932557', 'human_address': '{""address"": ""260 Fifth Ave"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}'}",Midtown-Midtown South                                                      
"{'latitude': '40.739650187141', 'longitude': '-73.989109395733', 'human_address': '{""address"": ""19 21st St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10010""}'}",
"{'latitude': '40.727093231537', 'longitude': '-73.995363105187', 'human_address': '{""address"": ""665 Broadway"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10012""}'}",West Village                                                               
"{'latitude': '40.740027902393', 'longitude': '-73.989541070307', 'human_address': '{""address"": ""928 Broadway"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10010""}'}",Hudson Yards-Chelsea-Flatiron-Union Square                                 
"{'latitude': '40.756045087288', 'longitude': '-73.980914821503', 'human_address': '{""address"": ""45 45th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10036""}'}",
"{'latitude': '40.766225153107', 'longitude': '-73.989595029629', 'human_address': '{""address"": ""441 53rd Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10019""}'}",
"{'latitude': '40.756386570106', 'longitude': '-73.977903843248', 'human_address': '{""address"": ""5 47th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10017""}'}",
"{'latitude': '40.752438546398', 'longitude': '-73.975331782244', 'human_address': '{""address"": ""420 Lexington Avenue"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10170""}'}",Turtle Bay-East Midtown                                                    
"{'latitude': '40.758455010774', 'longitude': '-73.994667205874', 'human_address': '{""address"": ""440 41st Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10036""}'}",
"{'latitude': '40.754524973506', 'longitude': '-73.99178038216', 'human_address': '{""address"": ""555 Eighth Ave"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10018""}'}",Hudson Yards-Chelsea-Flatiron-Union Square                                 
"{'latitude': '40.765136973451', 'longitude': '-73.983146890679', 'human_address': '{""address"": ""245 55th Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10019""}'}",
"{'latitude': '40.742402112551', 'longitude': '-73.991618504195', 'human_address': '{""address"": ""49 23rd St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10010""}'}",
"{'latitude': '40.742561654684', 'longitude': '-73.994141865276', 'human_address': '{""address"": ""128 22nd Street"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10011""}'}",
"{'latitude': '40.752369229284', 'longitude': '-73.993803658269', 'human_address': '{""address"": ""311 34th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10001""}'}",
"{'latitude': '40.756287644683', 'longitude': '-73.979621548324', 'human_address': '{""address"": ""2 46th St"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10036""}'}",
