grade_band,activity,description,target_population,category
High School,Worked with school staff to establish programs with an admissions method that promotes academic diversity,"The DOE worked with school staff to establish programs with an admissions method that reserves seats for students in low, middle, and high ELA categories, to promote academic diversity through the Educational Option (Ed Opt) admissions method. Some of these programs were previously Screened and Limited Unscreened. These admissions method changes were included in the 2018 New York City High School Directory.","Families, schools, and communities",Simplifying Admissions Methods and Processes
Pre-Kindergarten - High School,Encourage the recruitment and retention of men of color to teach in New York City schools,"In partnership with the Mayor's Young Men's Initiative, the City University of New York, and Teach for America, the DOE engaged in initiatives and programs aiming to put an additional 1,000 men of color on course to become NYC public school teachers by 2018. These initiatives include: building out principal and mentor networks, developing partnerships with universities, charter schools, CBOs (such as ExpandED and EdRising), engaging potential candidates earlier including current high school students, improving the onboarding process by providing convenient training and certification support, improving the hiring process through partial certification exam reimbursement, school tours, virtual interviews, improving professional development opportunities, and utilizing culturally relevant professional and leadership workshops. ",Schools and school communities,Fostering Welcoming School Climates for All Students
High School,Participate in NYC Career and Technical Education (CTE) Gender Equity Committee,"The DOE continues to participate in meetings of the NYC CTE Gender Equity Committee, which meets three times a year. In 2016, the committee focused on recruitment, retention, and engagement. The Committee advised the DOE to specifically focus on educating and engaging middle school guidance counselors. DOE responded to the advice, executed on the advice, and developed four online gender equity modules, targeting counselors.",Female students interested in CTE,Increasing Participation of Underrepresented Students in STEM and Other Rigorous Courses
Elementary School - High School,Expansion of ASD Horizon program,"ASD Horizon programs serve students on the autism spectrum whose academic abilities are approaching or are below grade level and who may benefit from instructional and interpersonal supports grounded in the principles of Applied Behavior Analysis. During 2016-17, 69 ASD Horizon programs served students citywide. In 2017-18, 11 new sections will be opened, resulting in a total of 80 ASD Horizon programs citywide.",Students with Disabilities,Planning for Diversity When Opening New Schools and Programs
"Kindergarten, Gifted & Talented",Utilized Pre-K for All providers in raising family awareness about the Kindergarten and Gifted & Talented application processes,"With the large increase in students enrolled in full-day pre-Kindergarten, the DOE utilized communication with Pre-K for All providers to encourage participation in the Kindergarten and Gifted & Talented admissions processes. This communication included directory distribution, targeted emails about process events, and the sharing of site-level data on student participation.",Families and communities,Streamlining and increasing access for families to learn about school options and apply
Elementary School - High School,Gender Equity Trainings made available,"Gender Equity Coordinator, Kimberly Shannon, offered Gender Equity in Schools trainings throughout the year. She has trained all Single Shepherds, as well as some parent coordinators, school staff, and parents.",Schools and school communities,Fostering Welcoming School Climates for All Students
"Pre-Kindergarten, Kindergarten",Dual language programs available on Kindergarten & pre-Kindergarten applications,"As part of the central pre-K and Kindergarten applications, families are allowed to apply directly to Dual Language program offerings rather than just the school itself. This allows families to express a preference for this type of pedagogy, as well as enable the DOE to better anticipate incoming populations of English Language Learners. On this application families were asked three short questions to identify potential ELLs.",English Language Learners,Streamlining and increasing access for families to learn about school options and apply
"Elementary School, Middle School",Expanded Dual Language programs,"The DOE continued to support schools in expanding and opening new Dual Language programs. For the 2016-17 school year, the DOE offered 469 bilingual programs across the city, including 182 Dual Language programs. During the 2017-18 school year, the DOE plans to open 72 new bilingual programs, 38 of which are Dual Language programs. Overall in the 2017-18 school year, the DOE will offer approximately 500 bilingual programs across the city, including approximately 200 Dual Language programs.",English Language Learners,Planning for Diversity When Opening New Schools and Programs
High School,NYSED Socioeconomic Integration Pilot Program - Brooklyn STEAM Center,The Brooklyn Navy Yard serves as the cooperative service and technical hub (the Brooklyn STEAM Center) for high-quality Career and Technical Education programs serving students from a range of socioeconomic backgrounds in Brooklyn. The Brooklyn STEAM Center is a NYSED grant funded program aimed at providing socioeconomic diversity for all students and schools within the pilot. This program opened in Fall 2015 and will continue to expand into 2017-18.,"Families and communities in Districts 13, 16, 17",Increasing Participation of Underrepresented Students in STEM and Other Rigorous Courses
Elementary School - High School,Equity & Excellence - District- Charter Partnerships,"District-Charter Partnerships pairs district and charter schools to foster strong relationships and share best practices. In 2016-17, 37 schools participated in school-to-school district-charter partnerships. In 2017-18, over 120 district and charter schools will be partnering around sharing best practices, including co-located schools building campus community and sharing practices, collaborative learning partnerships through the District-Charter Collaborative, the KIPP Through College Summer Bridge program, and training through the DOE Uncommon Schools-Impact Partnership. In addition, several community and high school superintendents are working to implement district-wide partnerships throughout the year. ",Families and communities,Equity & Excellence for All
Pre-Kindergarten,Opened Round 2 early,"To give families the maximum amount of time in which to apply, the DOE opened the Round 2 application three weeks ahead of schedule and did not change the planned close date.",Families and communities,Streamlining and increasing access for families to learn about school options and apply
Elementary School - High School,Outreach and information sharing with students with accessibility needs,"The DOE conducts outreach to families of pre-Kindergarten and Kindergarten students with accessibility needs to inform them of the two processes they can leverage to obtain an accessible site for their child. Additionally, the DOE developed a brochure for students with accessibility needs to support their navigation of the admissions processes.  ",Students with Disabilities,Streamlining and increasing access for families to learn about school options and apply
Elementary School,Equity & Excellence - Universal Literacy,"Through Universal Literacy, schools receive support from a dedicated reading coach, who works with Kindergarten through 2nd grade teachers to ensure students are reading on grade level by the end of 2nd grade. The goal of the initiative is to have at least two-thirds of students reading proficiently by the end of 2nd grade by 2022, with the target of 100 percent of all 2nd-graders reading at grade level by 2026. In 2016-17, 100 teachers were hired and trained to become reading coaches in four districts. As of fall 2017, 242 Universal Literacy reading coaches are supporting all 305 elementary schools serving approximately 75,000 kindergarten through 2nd graders across 14 districts, including all districts in the Bronx.",Families and communities,Equity & Excellence for All
