borough,census_tract,fee_for_city_drivers
Brooklyn,1237.0,
Bronx,9302.0,
Upstate,,
Manhattan,311.0,
Upstate,,
Brooklyn,107003.0,
Queens,120701.0,
Brooklyn,34.0,
Queens,61301.0,
Upstate,,
Queens,17902.0,
Staten Island,12805.0,
Queens,61301.0,
Upstate,,
Bronx,9302.0,
Brooklyn,34.0,
Brooklyn,105801.0,
Upstate,,
Brooklyn,1220.0,
Upstate,,
Upstate,,
Upstate,,
Brooklyn,34.0,
Staten Island,13302.0,
Queens,258.0,
Manhattan,240.0,
Manhattan,1501.0,
Upstate,,
Queens,455.0,
Brooklyn,1237.0,
Brooklyn,34.0,
Queens,258.0,
Brooklyn,107003.0,
Manhattan,240.0,
Queens,455.0,
Bronx,43503.0,
Upstate,,
Bronx,409.0,
Brooklyn,561.0,
Upstate,,
Bronx,43503.0,
Queens,455.0,
Upstate,,
Brooklyn,107003.0,
Bronx,9302.0,
Brooklyn,549.0,
Queens,414.0,
Queens,455.0,
Brooklyn,960.0,
Manhattan,1501.0,
Staten Island,16901.0,
Brooklyn,1220.0,
Brooklyn,57902.0,
Brooklyn,34.0,
Queens,716.0,
Queens,61301.0,No
Bronx,409.0,
Brooklyn,57902.0,
Upstate,,
Queens,17902.0,
Manhattan,240.0,
Upstate,,
Bronx,284.0,
Brooklyn,107003.0,
Queens,414.0,
Queens,,
Queens,414.0,
Upstate,,
Manhattan,23501.0,
Queens,61301.0,
Upstate,,
Bronx,43503.0,
Queens,10701.0,
Queens,869.0,
Manhattan,240.0,
Queens,455.0,
Upstate,,
Queens,455.0,
Brooklyn,34.0,
Brooklyn,960.0,
Upstate,,
Bronx,43503.0,
Upstate,,
Queens,869.0,
Bronx,9302.0,
Upstate,,
Bronx,9302.0,
Queens,17902.0,
Brooklyn,23.0,
Upstate,,
Manhattan,1501.0,
Upstate,,
Brooklyn,23.0,
Queens,455.0,
Queens,,
Manhattan,31.0,
Brooklyn,107003.0,
Manhattan,23501.0,
Upstate,,
Queens,455.0,
Queens,455.0,
Queens,258.0,
Brooklyn,57902.0,
Upstate,,
Staten Island,13302.0,
Manhattan,2901.0,
Brooklyn,549.0,
Bronx,284.0,
Queens,455.0,
Upstate,,
Queens,17902.0,
Manhattan,1501.0,
Manhattan,1501.0,
Brooklyn,107003.0,
Bronx,43503.0,
Brooklyn,960.0,
Brooklyn,107003.0,
Upstate,,
Upstate,,
Brooklyn,485.0,
Manhattan,2901.0,
Upstate,,
Queens,455.0,
Upstate,,
Queens,120701.0,
Queens,414.0,
Manhattan,240.0,
Queens,61301.0,No
Queens,455.0,
Brooklyn,23.0,
Queens,455.0,
Queens,869.0,
Queens,414.0,
Brooklyn,628.0,
Brooklyn,107003.0,
Brooklyn,34.0,
Upstate,,
Brooklyn,549.0,
Brooklyn,549.0,
Queens,17902.0,
Queens,,
Bronx,409.0,
Manhattan,31.0,No
Manhattan,2901.0,
Upstate,,
Queens,455.0,
Queens,21601.0,
Upstate,,
Upstate,,
Staten Island,13302.0,
Bronx,90.0,
Brooklyn,69601.0,
Queens,414.0,
Queens,120701.0,
Brooklyn,23.0,
Brooklyn,71.0,
Upstate,,
Brooklyn,107003.0,
Queens,414.0,
Queens,455.0,
Brooklyn,34.0,
Queens,455.0,
Queens,455.0,
Upstate,,
Upstate,,
Brooklyn,1220.0,
Staten Island,13302.0,
Upstate,,
Brooklyn,34.0,
Upstate,,
Brooklyn,549.0,
Brooklyn,549.0,
Bronx,409.0,
Upstate,,
Brooklyn,,
Bronx,284.0,
Staten Island,3.0,
Queens,10701.0,
Upstate,,
Manhattan,1501.0,
Upstate,,
Brooklyn,23.0,
Brooklyn,960.0,
Bronx,284.0,
Manhattan,,
Queens,455.0,
Queens,10701.0,
Brooklyn,107003.0,
Bronx,409.0,
Manhattan,8.0,
Queens,,
Queens,17902.0,
Bronx,9302.0,
Staten Island,13302.0,
Manhattan,311.0,
Upstate,,
Manhattan,8.0,
Manhattan,240.0,
Queens,869.0,
Queens,61301.0,No
