longitude,agency,nta,community_district
-73.958854,DEP,BK0301,303.0
-73.884759,DEP,BX0201,202.0
,DEP,,
-73.931709,DEP,MN1291,112.0
,DEP,,
-73.881479,DEP,BK0504,305.0
-73.794673,DEP,QN0705,407.0
-74.034055,DEP,BK1001,310.0
-73.892143,DCAS,QN0502,405.0
,DEP,,
-73.936191,DDC,QN0202,402.0
-74.116133,DEP,SI0301,503.0
-73.892143,DCAS,QN0502,405.0
,DEP,,
-73.884759,DEP,BX0201,202.0
-74.034055,DEP,BK1001,310.0
-73.877613,DEP,BK0504,305.0
,DEP,,
-73.869949,ACS,BK0505,305.0
,DEP,,
,DEP,,
,DEP,,
-74.034055,DEP,BK1001,310.0
-74.125556,DEP,SI0106,501.0
-73.787263,DEP,QN1202,412.0
-73.921474,DEP,MN1191,111.0
-74.004007,DCAS,MN0101,101.0
,DEP,,
-73.865098,DEP,QN0402,404.0
-73.958854,DEP,BK0301,303.0
-74.034055,DEP,BK1001,310.0
-73.787682,DEP,QN1202,412.0
-73.881479,DEP,BK0504,305.0
-73.921474,DEP,MN1191,111.0
-73.864774,DEP,QN0402,404.0
-73.878095,DEP,BX2691,226.0
,DEP,,
-73.887189,DEP,BX0702,207.0
-73.956901,DEP,BK0101,301.0
,DEP,,
-73.878095,DEP,BX2691,226.0
-73.864774,DEP,QN0402,404.0
,DEP,,
-73.881479,DEP,BK0504,305.0
-73.884759,DEP,BX0201,202.0
-73.968348,DCAS,BK0102,301.0
-73.77772,DEP,QN1202,412.0
-73.864774,DEP,QN0402,404.0
-73.913395,DEP,BK1803,318.0
-74.004007,DCAS,MN0101,101.0
-74.105751,DEP,SI0105,501.0
-73.869949,ACS,BK0505,305.0
-73.948891,DEP,BK0101,301.0
-74.034055,DEP,BK1001,310.0
-73.806765,DEP,QN8381,410.0
-73.892143,DCAS,QN0502,405.0
-73.887189,DEP,BX0702,207.0
-73.946271,DEP,BK0101,301.0
,DEP,,
-73.936191,DDC,QN0202,402.0
-73.922819,DEP,MN1191,111.0
,DEP,,
-73.839048,DCAS,BX1161,211.0
-73.881479,DEP,BK0504,305.0
-73.77772,DEP,QN1202,412.0
,DCAS,,
-73.77772,DEP,QN1202,412.0
,DEP,,
-73.941602,DEP,MN0903,109.0
-73.892143,DCAS,QN0502,405.0
,DEP,,
-73.878095,DEP,BX2691,226.0
-73.894593,DEP,QN0101,401.0
-73.835301,DEP,QN0707,407.0
-73.921463,DEP,MN1191,111.0
-73.864625,DEP,QN0402,404.0
,DEP,,
-73.864774,DEP,QN0402,404.0
-74.034055,DEP,BK1001,310.0
-73.913395,DEP,BK1803,318.0
,DEP,,
-73.878095,DEP,BX2691,226.0
,DEP,,
-73.835301,DEP,QN0707,407.0
-73.884759,DEP,BX0201,202.0
,DEP,,
-73.884759,DEP,BX0201,202.0
-73.936635,DDC,QN0202,402.0
-73.98042,DCAS,BK0202,302.0
,DEP,,
-74.004007,DCAS,MN0101,101.0
,DEP,,
-73.98042,DCAS,BK0202,302.0
-73.864625,DEP,QN0402,404.0
,DDC,,
-74.006096,CITYHALL,MN0102,101.0
-73.881479,DEP,BK0504,305.0
-73.941602,DEP,MN0903,109.0
,DEP,,
-73.864625,DEP,QN0402,404.0
-73.864774,DEP,QN0402,404.0
-73.787682,DEP,QN1202,412.0
-73.948891,DEP,BK0101,301.0
,DEP,,
-74.125556,DEP,SI0106,501.0
-74.004181,DCAS,MN0102,101.0
-73.968348,DCAS,BK0102,301.0
-73.839048,DCAS,BX1161,211.0
-73.864774,DEP,QN0402,404.0
,DEP,,
-73.936635,DDC,QN0202,402.0
-74.004007,DCAS,MN0101,101.0
-74.004007,DCAS,MN0101,101.0
-73.881479,DEP,BK0504,305.0
-73.878095,DEP,BX2691,226.0
-73.913395,DEP,BK1803,318.0
-73.881479,DEP,BK0504,305.0
,DEP,,
,DEP,,
-73.934242,DEP,BK0104,301.0
-74.004181,DCAS,MN0102,101.0
,DEP,,
-73.864625,DEP,QN0402,404.0
,DEP,,
-73.794673,DEP,QN0705,407.0
-73.77772,DEP,QN1202,412.0
-73.921474,DEP,MN1191,111.0
-73.892143,DCAS,QN0502,405.0
-73.864774,DEP,QN0402,404.0
-73.98042,DCAS,BK0202,302.0
-73.865098,DEP,QN0402,404.0
-73.835301,DEP,QN0707,407.0
-73.77772,DEP,QN1202,412.0
-73.932546,DEP,BK1503,315.0
-73.881479,DEP,BK0504,305.0
-74.034055,DEP,BK1001,310.0
,DEP,,
-73.968348,DCAS,BK0102,301.0
-73.968348,DCAS,BK0102,301.0
-73.936191,DDC,QN0202,402.0
,DCAS,,
-73.887189,DEP,BX0702,207.0
-74.006096,CITYHALL,MN0102,101.0
-74.004181,DCAS,MN0102,101.0
,DEP,,
-73.864774,DEP,QN0402,404.0
-73.828601,DCAS,QN0901,409.0
,DEP,,
,DEP,,
-74.125556,DEP,SI0106,501.0
-73.843596,DEP,BX0903,209.0
-73.91852,DEP,BK1802,318.0
-73.77772,DEP,QN1202,412.0
-73.794673,DEP,QN0705,407.0
-73.98042,DCAS,BK0202,302.0
-73.987684,DEP,BK0601,306.0
,DEP,,
-73.881479,DEP,BK0504,305.0
-73.77772,DEP,QN1202,412.0
-73.864774,DEP,QN0402,404.0
-74.034055,DEP,BK1001,310.0
-73.864625,DEP,QN0402,404.0
-73.864774,DEP,QN0402,404.0
,DEP,,
,DEP,,
-73.869949,ACS,BK0505,305.0
-74.125556,DEP,SI0106,501.0
,DEP,,
-74.034055,DEP,BK1001,310.0
,DEP,,
-73.968348,DCAS,BK0102,301.0
-73.968348,DCAS,BK0102,301.0
-73.887189,DEP,BX0702,207.0
,DEP,,
,DEP,,
-73.839048,DCAS,BX1161,211.0
-74.077697,ACS,SI0101,501.0
-73.894593,DEP,QN0101,401.0
,DEP,,
-74.004007,DCAS,MN0101,101.0
,DEP,,
-73.98042,DCAS,BK0202,302.0
-73.913395,DEP,BK1803,318.0
-73.839048,DCAS,BX1161,211.0
,DEP,,
-73.865098,DEP,QN0402,404.0
-73.894593,DEP,QN0101,401.0
-73.881479,DEP,BK0504,305.0
-73.892251,DEP,BX0702,208.0
-73.992461,DEP,MN0301,103.0
,DCAS,,
-73.936191,DDC,QN0202,402.0
-73.884759,DEP,BX0201,202.0
-74.125556,DEP,SI0106,501.0
-73.931709,DEP,MN1291,112.0
,DEP,,
-73.99245,DEP,MN0301,103.0
-73.921474,DEP,MN1191,111.0
-73.835301,DEP,QN0707,407.0
-73.892143,DCAS,QN0502,405.0
