public_charger_,no_of_ports,postcode
,2.0,11205.0
,1.0,10474.0
,2.0,12740.0
,1.0,10033.0
,2.0,12406.0
,2.0,11207.0
,1.0,11365.0
,1.0,11220.0
,1.0,11379.0
,2.0,12401.0
,1.0,11101.0
,2.0,10306.0
,1.0,11379.0
,2.0,12406.0
,1.0,10474.0
,1.0,11220.0
,1.0,11239.0
,2.0,12461.0
,1.0,11208.0
,2.0,12401.0
,2.0,12455.0
,2.0,12406.0
,1.0,11220.0
,1.0,10310.0
,1.0,11433.0
,1.0,10035.0
,1.0,10038.0
,1.0,10704.0
,2.0,11373.0
,2.0,11205.0
,1.0,11220.0
,1.0,11433.0
,1.0,11207.0
,1.0,10035.0
,2.0,11373.0
,2.0,10467.0
,2.0,10536.0
,1.0,10468.0
,1.0,11222.0
,1.0,10512.0
,1.0,10467.0
,2.0,11373.0
,2.0,12461.0
,1.0,11207.0
,1.0,10474.0
,1.0,11249.0
,1.0,11433.0
,2.0,11373.0
,1.0,11236.0
,1.0,10038.0
,2.0,10301.0
,1.0,11208.0
,1.0,11222.0
,1.0,11220.0
,1.0,11420.0
NYC DC Fast Public Charging,1.0,11379.0
,1.0,10468.0
,2.0,11222.0
,2.0,12589.0
,1.0,11101.0
,2.0,10035.0
,2.0,12590.0
,1.0,10461.0
,1.0,11207.0
,1.0,11433.0
,1.0,11415.0
,2.0,11433.0
,1.0,10595.0
,1.0,10032.0
,1.0,11379.0
,1.0,12771.0
,1.0,10467.0
,1.0,11105.0
,2.0,11354.0
,1.0,10035.0
,2.0,11368.0
,1.0,12590.0
,2.0,11373.0
,2.0,11220.0
,1.0,11236.0
,1.0,12461.0
,2.0,10467.0
,1.0,12455.0
,2.0,11354.0
,1.0,10474.0
,1.0,12401.0
,1.0,10474.0
,1.0,11101.0
,1.0,11201.0
,2.0,12401.0
,1.0,10038.0
,1.0,12434.0
,1.0,11201.0
,2.0,11368.0
,1.0,11101.0
,2.0,10007.0
,1.0,11207.0
,1.0,10032.0
,1.0,12590.0
,2.0,11368.0
,2.0,11373.0
,1.0,11433.0
,1.0,11222.0
,1.0,10598.0
,1.0,10310.0
,1.0,10007.0
,1.0,11249.0
,1.0,10461.0
,2.0,11373.0
,2.0,12406.0
,1.0,11101.0
,1.0,10038.0
,1.0,10038.0
,1.0,11207.0
,1.0,10467.0
,1.0,11236.0
,2.0,11207.0
,2.0,12401.0
,2.0,10598.0
,2.0,11206.0
,1.0,10007.0
,2.0,12740.0
,2.0,11368.0
,2.0,12406.0
,1.0,11365.0
,1.0,11433.0
,1.0,10035.0
NYC DC Fast Public Charging,1.0,11379.0
,2.0,11373.0
,1.0,11201.0
,2.0,11373.0
,2.0,11354.0
,2.0,11433.0
,2.0,11235.0
,1.0,11207.0
,1.0,11220.0
,2.0,12771.0
,1.0,11249.0
,1.0,11249.0
,2.0,11101.0
,1.0,11415.0
,1.0,10468.0
City Hall Charging,2.0,10007.0
,1.0,10007.0
,2.0,12740.0
,2.0,11373.0
,1.0,11415.0
,2.0,12740.0
,2.0,12590.0
,1.0,10310.0
,2.0,10473.0
,1.0,11234.0
,2.0,11433.0
,1.0,11365.0
,1.0,11201.0
,2.0,11217.0
,1.0,12740.0
,1.0,11207.0
,2.0,11433.0
,2.0,11373.0
,1.0,11220.0
,2.0,11368.0
,2.0,11373.0
,2.0,10598.0
,2.0,10704.0
,1.0,11208.0
,1.0,10310.0
,1.0,10704.0
,1.0,11220.0
,1.0,12076.0
,2.0,11249.0
,1.0,11249.0
,1.0,10468.0
,1.0,12740.0
,1.0,11239.0
,1.0,10461.0
,1.0,10301.0
,2.0,11105.0
,2.0,10536.0
,1.0,10038.0
,2.0,13856.0
,1.0,11201.0
,1.0,11236.0
,1.0,10461.0
,1.0,10035.0
,2.0,11373.0
,2.0,11105.0
,1.0,11207.0
,1.0,10468.0
,2.0,10002.0
,1.0,11415.0
,1.0,11101.0
,1.0,10474.0
,1.0,10310.0
,1.0,10033.0
,2.0,10704.0
,1.0,10002.0
,1.0,10035.0
,2.0,11354.0
NYC DC Fast Public Charging,1.0,11379.0
