council_district,bbl,city,type_of_charger,street,bin
33.0,3018980001.0,Bedford-Stuyvesant,Level 2 Charger,623 Myrtle Ave,3341943.0
17.0,2027800002.0,Bronx,Level 3 Fast Charger,1270 Ryawa Ave,2118156.0
,,Grahamsville,Level 2 Charger,7870 New York 42,
10.0,1021060001.0,New York,Level 3 Fast Charger,2405 Amsterdam Avenue,1076738.0
,,Arkville,Level 2 Charger,669 Co Rd 38,
42.0,3044400001.0,Brooklyn,Level 2 Charger,12266 Flatlands Ave,3000000.0
20.0,4055800140.0,Queens,Level 3 Fast Charger,49-14 Fresh Meadow Ln,4438242.0
47.0,3058350001.0,Brooklyn,Level 3 Fast Charger,6700 Shore Rd,3391506.0
30.0,4036050001.0,Queens,Level 3 Fast Charger,66-26 Metropolitan Avenue,4443103.0
,,Kingston,Level 2 Charger,91 Smith Ave,
26.0,4002770001.0,Queens,Level 3 Fast Charger,30-30 Thomson Avenue,4003533.0
50.0,5050670500.0,Staten Island,Level 2 Charger,751 Mill Road,5135536.0
30.0,4036050001.0,Queens,Level 3 Fast Charger,6626 Metropolitan Avenue,4443103.0
,,Arkville,Level 2 Charger,669 County Road 38,
17.0,2027800002.0,Bronx,Level 3 Fast Charger,1270 Ryawa Ave,2118156.0
47.0,3058350001.0,Brooklyn,Level 3 Fast Charger,6700 Shore Rd,3391506.0
42.0,3044520200.0,Starrett City,Level 3 Fast Charger,1540 Van Siclen Ave,3343608.0
,,Olivebridge,Level 2 Charger,2471 B W S Rd,
42.0,3044840013.0,Brooklyn,Level 2 Charger,2554 Linden Blvd,3098733.0
,,Kingston,Level 2 Charger,134 Flatbush Ave,
,,Margaretville,Level 2 Charger,41158 New York 28,
,,Arkville,Level 2 Charger,669 County Road 38,
47.0,3058350001.0,Brooklyn,Level 3 Fast Charger,6700 Shore Road,3391506.0
49.0,5001850400.0,Staten Island,Level 3 Fast Charger,1801 Richmond Terrace,5156437.0
27.0,4101850125.0,Queens,Level 3 Fast Charger,164-21 110th Avenue,4216773.0
8.0,1018190030.0,New York,EV Solar Arc Charger,116 K Rd,1089375.0
1.0,1000940025.0,New York,Level 3 Fast Charger,100 Gold Street,1001289.0
,,Yonkers,EV Solar Arc Charger,492 Central Park Ave,
21.0,4019180025.0,Flushing,Level 2 Charger,58-17 Junction Blvd,4047312.0
33.0,3018980001.0,Bedford-Stuyvesant,Level 2 Charger,623 Myrtle Ave,3341943.0
47.0,3058350001.0,Brooklyn,Level 3 Fast Charger,6700 Shore Road,3391506.0
27.0,4101820032.0,Queens,Level 3 Fast Charger,164-11 110th Avenue,4216720.0
42.0,3044400001.0,Brooklyn,Level 3 Fast Charger,12266 Flatlands Ave,3000000.0
8.0,1018190030.0,New York,EV Solar Arc Charger,116 K Rd,1089375.0
21.0,4019180001.0,Flushing,Level 2 Charger,59-17 Junction Blvd,4047310.0
11.0,2059000001.0,Bronx,Level 2 Charger,3701 Jerome Ave,2112995.0
,,Katonah,Level 2 Charger,241 Cross River Rd,
11.0,2032510401.0,The Bronx,Level 3 Fast Charger,3201 Jerome Avenue,2015443.0
33.0,3026130001.0,Brooklyn,EV Solar Arc Charger,22 N 15th St,3065473.0
,,Carmel Hamlet,Level 3 Fast Charger,16 Samantha Lane,
11.0,2059000001.0,Bronx,EV Solar Arc Charger,3701 Jerome Ave,2112995.0
21.0,4019180001.0,Corona,Level 2 Charger,59-17 Junction Blvd,4047310.0
,,Olivebridge,Level 2 Charger,2471 B W S Rd,
42.0,3044400001.0,Brooklyn,Level 3 Fast Charger,12266 Flatlands Ave,3000000.0
17.0,2027800002.0,Bronx,Level 3 Fast Charger,1270 Ryawa Ave,2118156.0
33.0,3024670001.0,Brooklyn,Level 2 Charger,390 Kent Ave,3063635.0
27.0,4103350032.0,Queens,Level 3 Fast Charger,106-36 180th St,4459328.0
21.0,4019180001.0,Flushing,Level 2 Charger,59-17 Junction Blvd,4047310.0
42.0,3081160001.0,Brooklyn,Level 3 Fast Charger,855 Remsen Ave,3397904.0
1.0,1000940025.0,New York,Level 3 Fast Charger,100 Gold St,1001289.0
49.0,5006690001.0,Staten Island,Level 2 Charger,1270 Victory Blvd,5112448.0
42.0,3044840013.0,East New York,Level 3 Fast Charger,2554 Linden Blvd,3098733.0
33.0,3025250001.0,Greenpoint,EV Solar Arc Charger,267 Greenpoint Ave,3398219.0
47.0,3058350001.0,Brooklyn,Level 3 Fast Charger,6700 Shore Rd,3391506.0
31.0,4119000002.0,Jamaica,Level 2 Charger,150-20 134Th St,4459547.0
30.0,4036050001.0,Middle Village,Level 3 Fast Charger,6626 Metropolitan Ave,4443103.0
11.0,2032510401.0,The Bronx,EV Solar Arc Charger,3201 Jerome Ave,2015443.0
33.0,3025250001.0,Brooklyn,Level 2 Charger,329 Greenpoint Ave,3332517.0
,,Gardiner,Level 2 Charger,911 State Rt. 208,
26.0,4002770001.0,Queens,EV Solar Arc Charger,3030 Thomson Ave,4003533.0
8.0,1018190015.0,New York,Level 2 Charger,7 Ward's Island Bridge,1000000.0
,,Wappingers Falls,Level 2 Charger,199 River Rd N,
13.0,2042260075.0,The Bronx,Level 3 Fast Charger,350 Marconi Street,2125035.0
42.0,3044400001.0,Brooklyn,Level 3 Fast Charger,12266 Flatlands Ave,3000000.0
27.0,4103350032.0,Jamaica,EV Solar Arc Charger,106-36 180Th Street,4459328.0
,,Jamaica,Level 3 Fast Charger,Union Tpke/Queens Blvd,
27.0,4103350032.0,Jamaica,Level 2 Charger,106-36 180Th St,4459328.0
,,Valhalla,Level 3 Fast Charger,2 Walker Rd,
9.0,1020690026.0,New York,Level 3 Fast Charger,886 St Nicholas Ave,1075503.0
30.0,4036050001.0,Queens,Level 3 Fast Charger,6626 Metropolitan Avenue,4443103.0
,,Port Jervis,Level 3 Fast Charger,46 North Maple Avenue,
11.0,2059000001.0,The Bronx,Level 3 Fast Charger,3701 Jerome Ave,2112995.0
22.0,4007760150.0,Astoria,Level 3 Fast Charger,4301 Berrian Blvd,4442400.0
20.0,4044060001.0,Queens,Level 2 Charger,133-25 32nd Avenue,4100766.0
8.0,1018190015.0,New York,EV Solar Arc Charger,117 K Rd,1088056.0
