staten_island_condominium_property_address,comparable_rental_1_market_value_per_sqft,comparable_rental_1_gross_income_per_sqft,comparable_rental_1_est_gross_income,borough,staten_island_condominium_property_building_classification
"{'latitude': '40.579592960047', 'longitude': '-74.158193286671', 'human_address': '{""address"": ""145 WELLINGTON COURT Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",45.8,12.21,527431,5,R4-ELEVATOR
"{'latitude': '40.579252097538', 'longitude': '-74.158584918046', 'human_address': '{""address"": ""171 WELLINGTON COURT Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",45.8,12.21,527431,5,R4-ELEVATOR
"{'latitude': '40.579990962908', 'longitude': '-74.107991231167', 'human_address': '{""address"": ""100 COLFAX AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",34.2,10.13,3875333,5,R4-ELEVATOR
"{'latitude': '40.577781779523', 'longitude': '-74.162934305459', 'human_address': '{""address"": ""5 WINDHAM LOOP Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",42.6,13.85,2145073,5,R4-ELEVATOR
"{'latitude': '40.612753157995', 'longitude': '-74.098375773552', 'human_address': '{""address"": ""850 HOWARD AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",40.9,11.63,863625,5,R4-ELEVATOR
"{'latitude': '40.585210439186', 'longitude': '-74.100235657366', 'human_address': '{""address"": ""175 ZOE STREET Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",40.9,11.63,863625,5,R4-ELEVATOR
"{'latitude': '40.581240171487', 'longitude': '-74.162691437459', 'human_address': '{""address"": ""2 ELMWOOD PARK DRIVE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",30.9,9.36,1690099,5,R4-ELEVATOR
"{'latitude': '40.581833766867', 'longitude': '-74.156036857893', 'human_address': '{""address"": ""40 WELLINGTON COURT Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",45.8,12.21,527431,5,R4-ELEVATOR
"{'latitude': '40.610766562862', 'longitude': '-74.065995096615', 'human_address': '{""address"": ""50 BELAIR ROAD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",40.9,11.63,863625,5,R2-WALK-UP
"{'latitude': '40.58180433527', 'longitude': '-74.155975957294', 'human_address': '{""address"": ""41 WELLINGTON COURT Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",40.9,11.63,863625,5,R4-ELEVATOR
