staten_island_condominium_property_full_market_value,comparable_rental_2_gross_sqft,comparable_rental_1_address,comparable_rental_2_building_classification,comparable_rental_2_neighborhood,comparable_rental_2_total_units,staten_island_condominium_property_gross_sqft,staten_island_condominium_property_boro_block_lot,comparable_rental_2_address
5710003,180495.0,"{'latitude': '40.597723641295', 'longitude': '-74.083523721274', 'human_address': '{""address"": ""150 PARKINSON AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",D1-ELEVATOR,GRASMERE,177.0,166712,5-03585-7501,"{'latitude': '40.606004051169', 'longitude': '-74.0866151394', 'human_address': '{""address"": ""1950 CLOVE ROAD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}"
2269998,,"{'latitude': '40.60461509118', 'longitude': '-74.091130512314', 'human_address': '{""address"": ""1000 TARGEE STREET Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,65392,5-00610-7501,
2200008,,"{'latitude': '40.596275618399', 'longitude': '-74.163689832199', 'human_address': '{""address"": ""121 FREEDOM AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,47880,5-02452-7503,
1789998,,"{'latitude': '40.60461509118', 'longitude': '-74.091130512314', 'human_address': '{""address"": ""1000 TARGEE STREET Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,51552,5-00251-7501,
2200019,,"{'latitude': '40.596275618399', 'longitude': '-74.163689832199', 'human_address': '{""address"": ""121 FREEDOM AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,47880,5-02452-7503,
1340021,,"{'latitude': '40.60461509118', 'longitude': '-74.091130512314', 'human_address': '{""address"": ""1000 TARGEE STREET Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,38424,5-03318-7501,
6040019,,"{'latitude': '40.606004051169', 'longitude': '-74.0866151394', 'human_address': '{""address"": ""1950 CLOVE ROAD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,195678,5-02450-7506,
1470005,29200.0,"{'latitude': '40.596275618399', 'longitude': '-74.163689832199', 'human_address': '{""address"": ""121 FREEDOM AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",C9-WALK-UP,NEW SPRINGVILLE,36.0,35212,5-02451-7501,"{'latitude': '40.597154815328', 'longitude': '-74.163823994035', 'human_address': '{""address"": ""105 FREEDOM AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}"
1630000,74260.0,"{'latitude': '40.606544053893', 'longitude': '-74.068392968784', 'human_address': '{""address"": ""20 MERLE PLACE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",D5-ELEVATOR,GRASMERE,98.0,38700,5-03019-7501,"{'latitude': '40.60461509118', 'longitude': '-74.091130512314', 'human_address': '{""address"": ""1000 TARGEE STREET Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}"
2270011,,"{'latitude': '40.60461509118', 'longitude': '-74.091130512314', 'human_address': '{""address"": ""1000 TARGEE STREET Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,65392,5-00610-7502,
1469995,43200.0,"{'latitude': '40.597154815328', 'longitude': '-74.163823994035', 'human_address': '{""address"": ""105 FREEDOM AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",C9-WALK-UP,NEW SPRINGVILLE,56.0,35212,5-02451-7501,"{'latitude': '40.596275618399', 'longitude': '-74.163689832199', 'human_address': '{""address"": ""121 FREEDOM AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}"
3230016,,"{'latitude': '40.60461509118', 'longitude': '-74.091130512314', 'human_address': '{""address"": ""1000 TARGEE STREET Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,78903,5-03543-7501,
5669998,107960.0,"{'latitude': '40.621722774172', 'longitude': '-74.097197652919', 'human_address': '{""address"": ""937 VICTORY BOULEVARD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",D1-ELEVATOR,CLOVE LAKES,111.0,90618,5-02832-7501,"{'latitude': '40.621045140441', 'longitude': '-74.098023978882', 'human_address': '{""address"": ""961 VICTORY BOULEVARD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}"
1789999,,"{'latitude': '40.60461509118', 'longitude': '-74.091130512314', 'human_address': '{""address"": ""1000 TARGEE STREET Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,51425,5-02862-7501,
3439999,74260.0,"{'latitude': '40.606544053893', 'longitude': '-74.068392968784', 'human_address': '{""address"": ""20 MERLE PLACE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",D5-ELEVATOR,GRASMERE,98.0,74326,5-02829-7501,"{'latitude': '40.60461509118', 'longitude': '-74.091130512314', 'human_address': '{""address"": ""1000 TARGEE STREET Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}"
6439986,,"{'latitude': '40.624285268712', 'longitude': '-74.093960487425', 'human_address': '{""address"": ""800 VICTORY BOULEVARD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,159096,5-00579-7501,
11299972,312400.0,"{'latitude': '40.6301776142', 'longitude': '-74.161901685738', 'human_address': '{""address"": ""110 CONTINENTAL PLACE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",D1-ELEVATOR,MARINERS HARBOR,381.0,208726,5-02400-7501,"{'latitude': '40.633115984528', 'longitude': '-74.165156786585', 'human_address': '{""address"": ""311 GRANDVIEW AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}"
1470001,,"{'latitude': '40.596275618399', 'longitude': '-74.163689832199', 'human_address': '{""address"": ""121 FREEDOM AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,35212,5-02451-7501,
1959988,,"{'latitude': '40.60461509118', 'longitude': '-74.091130512314', 'human_address': '{""address"": ""1000 TARGEE STREET Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,47880,5-02452-7501,
1469996,,"{'latitude': '40.596275618399', 'longitude': '-74.163689832199', 'human_address': '{""address"": ""121 FREEDOM AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,35212,5-02451-7501,
5340022,,"{'latitude': '40.614664489609', 'longitude': '-74.083054238405', 'human_address': '{""address"": ""55 BOWEN STREET Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,176455,5-02450-7509,
2639996,,"{'latitude': '40.60461509118', 'longitude': '-74.091130512314', 'human_address': '{""address"": ""1000 TARGEE STREET Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,64512,5-02452-7501,
3469998,72860.0,"{'latitude': '40.627610170242', 'longitude': '-74.090799115238', 'human_address': '{""address"": ""610 VICTORY BOULEVARD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",D1-ELEVATOR,GRYMES HILL,61.0,72970,5-00631-7501,"{'latitude': '40.626508976909', 'longitude': '-74.091573825891', 'human_address': '{""address"": ""650 VICTORY BOULEVARD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}"
2200011,,"{'latitude': '40.596275618399', 'longitude': '-74.163689832199', 'human_address': '{""address"": ""121 FREEDOM AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",,,,47880,5-02452-7503,
