latitude,longitude,staten_island_condominium_property_gross_income_per_sqft,staten_island_condominium_property_total_units,comparable_rental_1_total_units,nta
40.579323,-74.15853,12.21,37,56,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
40.579141,-74.158746,12.21,37,56,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
40.579906,-74.107779,10.13,159,422,New Dorp-Midland Beach                                                     
40.577988,-74.162923,9.19,163,156,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
40.612648,-74.098623,10.29,67,98,Grymes Hill-Clifton-Fox Hills                                              
40.584504,-74.100979,11.63,100,98,Old Town-Dongan Hills-South Beach                                          
40.581202,-74.162664,9.36,177,177,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
40.581791,-74.156045,11.82,31,56,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
40.610847,-74.065867,10.29,48,98,Stapleton-Rosebank                                                         
40.58178,-74.156027,11.63,37,98,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
40.587767,-74.165557,13.65,243,224,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
40.614937,-74.06448,12.32,52,64,Stapleton-Rosebank                                                         
,,11.98,40,64,
40.590267,-74.096213,10.29,48,98,Old Town-Dongan Hills-South Beach                                          
40.630241,-74.100342,10.29,47,98,New Brighton-Silver Lake                                                   
,,12.64,93,72,
40.631307,-74.085839,11.49,147,150,Grymes Hill-Clifton-Fox Hills                                              
40.578943,-74.158969,12.21,37,56,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
40.58151,-74.158363,11.82,31,56,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
40.579853,-74.157963,11.82,31,56,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
40.611956,-74.064182,15.38,102,111,Stapleton-Rosebank                                                         
40.57996,-74.157834,11.63,52,98,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
40.612717,-74.098392,10.29,66,98,Grymes Hill-Clifton-Fox Hills                                              
40.581736,-74.158126,11.82,31,36,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
