staten_island_condominium_property_condo_section,staten_island_condominium_property_address,staten_island_condominium_property_full_market_value,staten_island_condominium_property_est_gross_income,postcode,census_tract,comparable_rental_1_full_market_value,community_board,staten_island_condominium_property_market_value_per_sqft,comparable_rental_2_boro_block_lot,comparable_rental_1_building_classification,comparable_rental_1_neighborhood,staten_island_condominium_property_neighborhood
122-R3,"{'latitude': '40.579123708077', 'longitude': '-74.158733913223', 'human_address': '{""address"": ""195 WELLINGTON COURT Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",2200008,584614,10314.0,27702.0,1980000,2.0,45.9,,C9-WALK-UP,NEW SPRINGVILLE,NEW SPRINGVILLE
113-R4,"{'latitude': '40.580447621123', 'longitude': '-74.157489107885', 'human_address': '{""address"": ""120 WELLINGTON COURT Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",1470001,416205,10314.0,27702.0,1980000,2.0,41.7,,C9-WALK-UP,NEW SPRINGVILLE,NEW SPRINGVILLE
122-R1,"{'latitude': '40.579592960047', 'longitude': '-74.158193286671', 'human_address': '{""address"": ""145 WELLINGTON COURT Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",2200019,584614,10314.0,27702.0,1980000,2.0,45.9,,C9-WALK-UP,NEW SPRINGVILLE,NEW SPRINGVILLE
94-R1,"{'latitude': '40.61012016427', 'longitude': '-74.091832001613', 'human_address': '{""address"": ""755 NARROWS ROAD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",3469998,922340,,,3450000,,47.6,5-00589-0035,D1-ELEVATOR,GRYMES HILL,GRYMES HILL
89-R1,"{'latitude': '40.585210439186', 'longitude': '-74.100235657366', 'human_address': '{""address"": ""175 ZOE STREET Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",3230016,917641,10305.0,11401.0,3040000,2.0,40.9,,D5-ELEVATOR,GRASMERE,GRANT CITY
34-R1,"{'latitude': '40.612753157995', 'longitude': '-74.098375773552', 'human_address': '{""address"": ""850 HOWARD AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",2270011,672883,10301.0,47.0,3040000,1.0,34.7,,D5-ELEVATOR,GRASMERE,SUNNYSIDE
39-R1,"{'latitude': '40.581240171487', 'longitude': '-74.162691437459', 'human_address': '{""address"": ""2 ELMWOOD PARK DRIVE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",6040019,1831546,10314.0,27702.0,5570000,2.0,30.9,,D1-ELEVATOR,GRASMERE,NEW SPRINGVILLE
48-R1,"{'latitude': '40.630545188103', 'longitude': '-74.100480181042', 'human_address': '{""address"": ""200 HART BOULEVARD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",1789998,530470,10301.0,59.0,3040000,1.0,34.7,,D5-ELEVATOR,GRASMERE,SILVER LAKE
113-R3,"{'latitude': '40.581833766867', 'longitude': '-74.156036857893', 'human_address': '{""address"": ""40 WELLINGTON COURT Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",1469996,416205,10314.0,27702.0,1980000,2.0,41.7,,C9-WALK-UP,NEW SPRINGVILLE,NEW SPRINGVILLE
122-R2,"{'latitude': '40.579252097538', 'longitude': '-74.158584918046', 'human_address': '{""address"": ""171 WELLINGTON COURT Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",2200011,584614,10314.0,27702.0,1980000,2.0,45.9,,C9-WALK-UP,NEW SPRINGVILLE,NEW SPRINGVILLE
4-R1,"{'latitude': '40.577781779523', 'longitude': '-74.162934305459', 'human_address': '{""address"": ""5 WINDHAM LOOP Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",5340022,1621621,10314.0,27702.0,6590000,2.0,30.3,,D1-ELEVATOR,CONCORD-FOX HILLS,NEW SPRINGVILLE
97-R1,"{'latitude': '40.590139318373', 'longitude': '-74.09591840145', 'human_address': '{""address"": ""163 CROMWELL AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",1340021,395382,10304.0,9602.0,3040000,2.0,34.9,,D5-ELEVATOR,GRASMERE,DONGAN HILLS
107-R1,"{'latitude': '40.58180433527', 'longitude': '-74.155975957294', 'human_address': '{""address"": ""41 WELLINGTON COURT Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",1959988,556844,10314.0,27702.0,3040000,2.0,40.9,,D5-ELEVATOR,GRASMERE,NEW SPRINGVILLE
113-R1,"{'latitude': '40.581413291802', 'longitude': '-74.158406698073', 'human_address': '{""address"": ""95 ESSEX DRIVE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",1470005,416205,10314.0,27702.0,1980000,2.0,41.7,5-02102-0045,C9-WALK-UP,NEW SPRINGVILLE,NEW SPRINGVILLE
100-R1,"{'latitude': '40.615139309097', 'longitude': '-74.064118271652', 'human_address': '{""address"": ""31 HYLAN BOULEVARD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",3439999,915696,10305.0,6.0,2830000,1.0,46.3,5-03168-0161,D1-ELEVATOR,ROSEBANK,ROSEBANK
45-R1,"{'latitude': '40.631288291689', 'longitude': '-74.085772351111', 'human_address': '{""address"": ""55 AUSTIN PLACE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",6439986,1828013,10304.0,33.0,5810000,1.0,40.5,,D1-ELEVATOR,GRYMES HILL,TOMPKINSVILLE
117-R1,"{'latitude': '40.605406227771', 'longitude': '-74.071431197255', 'human_address': '{""address"": ""81 NARROWS ROAD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",1630000,463626,,,2830000,,42.1,5-03168-0161,D1-ELEVATOR,ROSEBANK,ROSEBANK
107-R2,"{'latitude': '40.580775695287', 'longitude': '-74.157266450922', 'human_address': '{""address"": ""121 WELLINGTON COURT Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",2639996,750274,10314.0,27702.0,3040000,2.0,40.9,,D5-ELEVATOR,GRASMERE,NEW SPRINGVILLE
86-R1,"{'latitude': '40.610766562862', 'longitude': '-74.065995096615', 'human_address': '{""address"": ""50 BELAIR ROAD Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",1789999,529163,10305.0,8.0,3040000,1.0,34.8,,D5-ELEVATOR,GRASMERE,ROSEBANK
25-R1,"{'latitude': '40.612944224028', 'longitude': '-74.098095898681', 'human_address': '{""address"": ""830 HOWARD AVENUE Staten Island"", ""city"": """", ""state"": ""New York"", ""zip"": """"}'}",2269998,672883,10301.0,47.0,3040000,1.0,34.7,,D5-ELEVATOR,GRASMERE,SUNNYSIDE
