bin,fiber_distribution,census_tract
1007941.0,No Distribution,43.0
1035401.0,Full Distribution (all floors),94.0
1080878.0,Full Distribution (all floors),121.0
1001473.0,Full Distribution (all floors),21.0
1036459.0,Full Distribution (all floors),100.0
,Full Distribution (all floors),57.0
4448759.0,Full Distribution (all floors),240.0
1001835.0,Full Distribution (all floors),31.0
1016889.0,Full Distribution (all floors),56.0
1005645.0,No Distribution,18.0
1017860.0,Full Distribution (all floors),50.0
1000816.0,Full Distribution (all floors),7.0
1013643.0,Partial Distribution (some floors),115.0
1024877.0,Full Distribution (all floors),137.0
1034313.0,Full Distribution (all floors),96.0
1082757.0,Full Distribution (all floors),21.0
1080611.0,Partial Distribution (some floors),113.0
1013553.0,Full Distribution (all floors),103.0
,Partial Distribution (some floors),18302.0
3347736.0,Full Distribution (all floors),11.0
1034326.0,Full Distribution (all floors),96.0
1080621.0,Full Distribution (all floors),54.0
1036147.0,Full Distribution (all floors),80.0
1083859.0,Partial Distribution (some floors),104.0
1001017.0,Full Distribution (all floors),7.0
1001831.0,Full Distribution (all floors),31.0
1075618.0,Full Distribution (all floors),1502.0
1036462.0,Partial Distribution (some floors),100.0
1012541.0,Partial Distribution (some floors),83.0
1024706.0,Full Distribution (all floors),119.0
1078613.0,Full Distribution (all floors),31.0
1002358.0,Full Distribution (all floors),31.0
1076177.0,5,137.0
1015925.0,Full Distribution (all floors),84.0
1010379.0,Full Distribution (all floors),37.0
,Full Distribution (all floors),29.0
,Partial Distribution (some floors),
1000058.0,Full Distribution (all floors),31703.0
,Full Distribution (all floors),
1036151.0,Partial Distribution (some floors),80.0
1001024.0,Full Distribution (all floors),7.0
1015175.0,Full Distribution (all floors),101.0
1001023.0,Full Distribution (all floors),7.0
4003539.0,Partial Distribution (some floors),199.0
1023462.0,No Distribution,137.0
1038570.0,Full Distribution (all floors),108.0
,Partial Distribution (some floors),52.0
1015805.0,Full Distribution (all floors),76.0
1024714.0,Partial Distribution (some floors),119.0
3396900.0,Full Distribution (all floors),549.0
1034516.0,Full Distribution (all floors),104.0
1079215.0,Full Distribution (all floors),31.0
1036185.0,Full Distribution (all floors),92.0
1001018.0,Partial Distribution (some floors),7.0
1035441.0,Full Distribution (all floors),94.0
1001842.0,Full Distribution (all floors),31.0
1040072.0,,8603.0
3000256.0,No Distribution,11.0
1035473.0,Full Distribution (all floors),102.0
5000064.0,No Distribution,3.0
1014421.0,Full Distribution (all floors),109.0
1036460.0,Partial Distribution (some floors),100.0
1016226.0,Full Distribution (all floors),52.0
1077284.0,Partial Distribution (some floors),96.0
1036061.0,Full Distribution (all floors),11202.0
1034520.0,Partial Distribution (some floors),104.0
1035709.0,Partial Distribution (some floors),102.0
5000090.0,No Distribution,7.0
1036206.0,Full Distribution (all floors),92.0
1035348.0,Full Distribution (all floors),94.0
,Full Distribution (all floors),
4207071.0,Full Distribution (all floors),238.0
,Partial Distribution (some floors),
