street_address,bbl,signed_poes,of_carriers,diverse_riser_locations,nan with building_name,Does not have two or more diverse riser locations with building_name,No with building_name,Yes with building_name
150 West 56 Street,1-1008-7503,Yes,5 or more,No,CitySpire,,,
363 HUDSON STREET,1-599-64,Yes - for installed connections,4,Yes,,,,375 Hudson Street
120 SCHERMERHORN STREET,3-169-17,None available,1,Does not have two or more diverse riser locations,,,120 Schermerhorn Street,
888 7 AVENUE,1-1028-29,Yes - for installed connections,5 or more,Yes,,,,888 Seventh Avenue
369 PARK AVENUE SOUTH,1-882-3,Yes - for installed connections,5 or more,Yes,,,,373 Park Avenue South
230 PARK AVENUE,1-1300-1,Yes - for installed connections,1,Yes,,,,230 Park Avenue
1240 BROADWAY,1-833-11,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,,1250 Broadway
231 EAST 161 STREET,2-2444-1,None available,1,Does not have two or more diverse riser locations,,,231 East 161st Street,
162 5 AVENUE,1-823-37,Yes - for installed connections,4,Does not have two or more diverse riser locations,,,,162 Fifth Ave
110 EAST 42 STREET,1-1296-1001,Yes - for installed connections,4,Yes,,,,110 East 42nd Street
1120 GRAND CONCOURSE,2-2462-39,None available,1,Does not have two or more diverse riser locations,,,1120 Grand Concourse,
2 WALL STREET,1-46-1,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,,2 Wall Street
75 CENTRE STREET,1-168-32,None available,3,Does not have two or more diverse riser locations,,,125 Worth Street,
375 PEARL STREET,1-113-7501,Yes - for installed connections,5 or more,Yes,,,,Intergate.Manhattan
1185 AVENUE OF THE AMERIC,1-999-29,Yes - for installed connections,5 or more,Yes,,,,1185 Avenue of the Americas
10 RICHMOND TERRACE,5/7/2001,None available,2,Does not have two or more diverse riser locations,,,10 Richmond Terrace,
198 EAST 161 STREET,2-2443-94,None available,4,Does not have two or more diverse riser locations,,,198 East 161st Street,
883 CASTLETON AVENUE,5-159-65,None available,1,Does not have two or more diverse riser locations,,,883 Castleton Avenue,
100 RICHMOND TERRACE,5/9/2022,None available,1,Does not have two or more diverse riser locations,,,100 Richmond Terrace,
1932 ARTHUR AVENUE,2-2947-18,None available,4,Does not have two or more diverse riser locations,,,,1932 Arthur Avenue
24 WHITEHALL STREET,1/9/2029,Yes - for installed connections,3,Yes,,,,One Battery Park Plaza
551 5 AVENUE,1-1281-1,None available,2,Does not have two or more diverse riser locations,,,Fred F. French Building,
370 7 AVENUE,1-780-36,Yes - for installed connections,2,Yes,,,Seven Penn Plaza,
915 BROADWAY,1-849-70,Yes - for installed connections,5 or more,Yes,,,,915 Broadway
141 SOUTH 5 STREET,3-2444-11,Yes - for installed connections,3,Yes,,,,The Mr. Building
250 Park Ave South,1-848-43,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,250 Park Ave South,
330 JAY STREET,3-140-1001,None available,2,Does not have two or more diverse riser locations,,,300 Jay Street,
300 PARK AVENUE,1-1285-36,Yes - for installed connections,4,Yes,,,,300 Park Avenue
67 TARGEE STREET,5-542-9,None available,1,Does not have two or more diverse riser locations,,,67 Targee Street,
215 PARK AVENUE SOUTH,1-873-67,Yes - for installed connections,5 or more,Yes,,,215 Park Avenue South,
112 West 34th Street,1-809-53,Yes - for installed connections,5 or more,Yes,,,,112 West 34th Street
909 3 AVENUE,1-1328-1,Yes - for installed connections,5 or more,Yes,,,,909 Third Avenue
640 5 AVENUE,1-1267-34,Yes - for installed connections,5 or more,Yes,,,,640 Fifth Avenue
630 Flushing Avenue,3-1720-1,None available,3,Yes,,,,Pfizer Building
1515 BROADWAY,1-1016-36,None available,5 or more,Yes,,,1515 Broadway,
919 3 AVENUE,1-1329-1,None available,5 or more,Does not have two or more diverse riser locations,,,919 3rd Avenue,
650 5 AVENUE,1-1267-41,Yes - for installed connections,3,Does not have two or more diverse riser locations,,,650 Fifth Ave,
535 MADISON AVENUE,1-1290-21,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,,
45 MONROE PLACE,3-237-1,None available,1,Does not have two or more diverse riser locations,,,45 Monroe Place,
85 BROAD STREET,1/29/2001,Yes - for installed connections,3,Yes,,,,85 Broad St.
12 HOWARD STREET,1-233-26,Yes - for installed connections,2,Does not have two or more diverse riser locations,,,148 Lafayette Street,
323 HUDSON STREET,1-597-62,Yes - for installed connections,5 or more,Yes,,,,325 HUDSON STREET
566 LEXINGTON AVENUE,1-1305-60,Yes - for installed connections,2,Does not have two or more diverse riser locations,,,,570 Lexington Avenue
620 AVENUE OF THE AMERIC,1-820-1,Yes - for installed connections,3,Yes,,,,620 Avenue of the Americas
350 WEST 31 STREET,1-754-68,Yes - for installed connections,3,Yes,,,,Twenty One Penn Plaza
11 WEST 42 STREET,1-1258-21,Yes - for installed connections,4,Does not have two or more diverse riser locations,,,,11 West 42nd Street
100 BROADWAY,1-46-3,Yes - for installed connections,3,Does not have two or more diverse riser locations,,,,100 Broadway 
120 WEST 45 STREET,1-997-41,Yes - for installed connections,5 or more,Does not have two or more diverse riser locations,,,120 West 45th Street,
600 LEXINGTON AVENUE,1-1307-14,Yes - for installed connections,5 or more,Yes,,,600 Lexington Avenue,
210 JORALEMON STREET,3-266-1001,None available,3,Does not have two or more diverse riser locations,,,210 Joralemon Street,
180 MAIDEN LANE,1-37-23,None available,5 or more,Does not have two or more diverse riser locations,,,180 Maiden Lane,
964 3 AVENUE,1-1312-41,Yes - for installed connections,5 or more,Yes,,,,150 East 58th Street
126 EAST 56 STREET,1-1310-63,Yes - for installed connections,3,Yes,,,,126 East 56th Street
100 West 33rd Street,1-808-40,Yes - for installed connections,5 or more,Yes,,,,Manhattan Mall
314 WEST 54 STREET,1-1044-22,None available,1,Does not have two or more diverse riser locations,,,314-16 West 54th Street,
257 PARK AVENUE SOUTH,1-876-6,Yes - for installed connections,3,Yes,,,257 Park Avenue South,
80 CENTRE STREET,1-166-27,None available,2,Does not have two or more diverse riser locations,,,80 Centre Street,
89-19 SUTPHIN BOULEVARD,4-9680-1,None available,2,Does not have two or more diverse riser locations,,,89-19 Sutphin Boulevard,
245 PARK AVENUE,1-1301-1,Yes - for installed connections,5 or more,Yes,,,,245 Park Avenue
399 7 AVENUE,1-807-1,Yes - for installed connections,5 or more,Yes,,,,11 Penn Plaza
10 Rockefeller Plaza,1-1264-5,Yes - for installed connections,3,Yes,,,,Rockefeller Center (10 Rock)
253 BROADWAY,1-134-1001,None available,2,Does not have two or more diverse riser locations,,,253 Broadway,
530 5 AVENUE,1-1260-34,Yes - for installed connections,4,Does not have two or more diverse riser locations,,,,530 5th Avenue
304 PARK AVENUE SOUTH,1-851-41,None available,4,Yes,,,,304 Park Avenue South
63 MADISON AVENUE,1-857-24,Yes - for installed connections,5 or more,Yes,,,,63 Madison Avenue
345 ADAMS STREET,3-140-1202,None available,2,Does not have two or more diverse riser locations,,,345 Adams Street,
250 VESEY PLACE,1-16-150,None available,5 or more,Yes,,,,250 Vesey Street
200 PARK AVENUE,1-1280-9010,Yes - for installed connections,5 or more,Yes,,,,The Met Life Building
1350 AVENUE OF THE AMERIC,1-1270-71,Yes - for installed connections,5 or more,Yes,,,1350 Avenue of the Americas,
321 WEST 44 STREET,1-1035-17,None available,3,Yes,,,,The Plant
21 WEST 46 STREET,1-1262-24,None available,5 or more,Does not have two or more diverse riser locations,,,,WorkHouse
395 LEXINGTON AVENUE,1-1297-23,Yes - for installed connections,3,Does not have two or more diverse riser locations,,,,Chrysler Center
912 BROADWAY,1-849-63,None available,2,Yes,,,,920 Broadway
601 WEST 26 STREET,1-672-1,None available,4,Yes,,,,Starrett-Lehigh
1 LIBERTY PLAZA,1-62-7501,Yes - for installed connections,5 or more,Yes,,,,One Liberty Plaza
666 3 AVENUE,1-1297-33,Yes - for installed connections,3,Does not have two or more diverse riser locations,,,,Chrysler Center
1680 BROADWAY,1-1024-38,Yes - for installed connections,5 or more,Yes,,,,810 7th Avenue
851 GRAND CONCOURSE,2-2468-1,None available,2,Does not have two or more diverse riser locations,,,851 Grand Concourse,
