bble,community_council,coax_cable_connections,additional_telecom_space
1012670034.0,4.0,Yes,Yes
3001401001.0,33.0,Yes,No
1008690034.0,4.0,Yes,Yes
1000160150.0,,Yes,Yes
1010280029.0,4.0,Yes,Yes
3000290016.0,33.0,No,Yes
,2.0,Yes,Yes
1012800060.0,4.0,Yes,Yes
,,Yes,Yes
1012670001.0,,Yes,Yes
1012950058.0,4.0,Yes,Yes
1012930026.0,4.0,Yes,Yes
2029470018.0,17.0,Yes,No
1013060001.0,4.0,Yes,Yes
1001680032.0,1.0,Yes,No
4000830001.0,26.0,Yes,No
3001690017.0,33.0,Yes,No
1008150014.0,4.0,Yes,No
1010400029.0,3.0,Yes,Yes
1012600034.0,4.0,Yes,Yes
1010270020.0,4.0,Yes,Yes
3001401202.0,33.0,Yes,No
1010150029.0,3.0,Yes,Yes
1000100023.0,1.0,Yes,Yes
1012877501.0,4.0,Yes,No
1007540068.0,3.0,Yes,No
1007840064.0,3.0,Yes,Yes
4002810001.0,26.0,Yes,Yes
,2.0,Yes,Yes
1001920001.0,1.0,Yes,Yes
1008690061.0,4.0,Yes,Yes
1012660001.0,4.0,Yes,Yes
1010350017.0,3.0,Yes,Yes
1001700006.0,1.0,Yes,No
1012840021.0,4.0,Yes,Yes
1001690010.0,1.0,Yes,No
2048320009.0,12.0,Yes,No
1007819002.0,3.0,Yes,Yes
1001341001.0,1.0,Yes,No
1001137501.0,1.0,Yes,Yes
,4.0,No,Yes
3000850006.0,33.0,Yes,No
1012810001.0,4.0,Yes,Yes
1008580078.0,4.0,Yes,Yes
1008080040.0,3.0,Yes,Yes
1010160036.0,3.0,Yes,Yes
,3.0,Yes,Yes
1000200016.0,1.0,Yes,
1012590001.0,,Yes,Yes
1001660027.0,1.0,Yes,No
1012900001.0,4.0,Yes,Yes
1004230022.0,1.0,Yes,No
1010087503.0,4.0,No,Does not have two or more diverse riser locations
5000090022.0,49.0,Yes,No
1001540023.0,1.0,Yes,No
1012620024.0,4.0,Yes,Yes
1001530001.0,1.0,Yes,No
1012840033.0,4.0,Yes,Yes
3002661001.0,33.0,Yes,No
1001670001.0,1.0,Yes,No
1008090053.0,3.0,Yes,Yes
1010440022.0,3.0,Yes,Yes
1013600001.0,4.0,No,
3024670001.0,33.0,Yes,No
1012580021.0,4.0,Yes,No
3001390001.0,33.0,Yes,No
1012900021.0,4.0,Yes,Yes
1000230050.0,1.0,Yes,Yes
1013100063.0,4.0,Yes,Yes
2024440001.0,16.0,Yes,No
1008200001.0,,Yes,Yes
4096910001.0,24.0,Yes,No
1000290001.0,1.0,Yes,Yes
2024430094.0,16.0,Yes,No
3001390020.0,33.0,Yes,Yes
1012910028.0,4.0,Yes,Yes
4022740002.0,29.0,Yes, and dedicated  space
1012809010.0,4.0,Yes,Yes
1008120049.0,4.0,Yes,No
1012961001.0,4.0,Yes,Yes
1000370023.0,1.0,Yes,Yes
5001590065.0,49.0,Yes,No
1013060033.0,4.0,Yes,No
1012800090.0,4.0,Yes,Yes
3002370001.0,33.0,Yes,No
1007850001.0,3.0,Yes,No
1008730067.0,2.0,Yes,No
5000080070.0,49.0,Yes,No
2024620039.0,16.0,Yes,Yes
1008510041.0,2.0,Yes,No
1001710031.0,1.0,Yes,No
1008480043.0,2.0,Yes,No
1000160120.0,1.0,Yes,Yes
1013280001.0,4.0,Yes,Yes
1012810069.0,4.0,Yes,Yes
1012870028.0,4.0,Yes,Yes
1010240038.0,4.0,Yes,Yes
1000160125.0,1.0,Yes,Yes
1012657501.0,4.0,Yes,Yes
2024680001.0,8.0,Yes,No
1005650015.0,2.0,Yes,Yes
1001210001.0,1.0,Yes,No
1005970062.0,3.0,Yes,Yes
1008820085.0,2.0,Yes,Yes
1001250020.0,1.0,Yes,Yes
1012960001.0,4.0,Yes,Yes
3001470004.0,33.0,Yes,Yes
1012880007.0,4.0,Yes,Yes
1009970041.0,4.0,Yes,Yes
1000090029.0,1.0,No,Yes
1008820003.0,2.0,Yes,Yes
1013010023.0,4.0,Yes,Yes
1008490070.0,2.0,Yes,Yes
1012681102.0,4.0,Yes,Yes
1010280033.0,4.0,Yes,No
1000430002.0,1.0,Yes,Yes
1001351001.0,1.0,Yes,No
1012690001.0,4.0,Yes,Yes
1000627501.0,1.0,Yes,Yes
4096530001.0,29.0,Yes,No
1012870033.0,4.0,Yes,Yes
1013000014.0,4.0,Yes,Yes
1012890014.0,4.0,No,Yes
,34.0,No,Yes
1999999999.0,3.0,Yes,Yes
1007570054.0,3.0,Yes,Yes
1012770014.0,4.0,Yes,Yes
1009990029.0,,Yes,Yes
1008070039.0,,Yes,Yes
1017690045.0,9.0,Yes,No
1013120041.0,4.0,Yes,Yes
1008380021.0,4.0,Yes,No
1000430001.0,1.0,Yes,Yes
1013050060.0,4.0,Yes,Yes
1000460003.0,1.0,Yes,Yes
1001970017.0,1.0,Yes,No
1012620001.0,4.0,Yes,No
1008230037.0,3.0,Yes,No
1013010033.0,4.0,Yes,Yes
5000070001.0,49.0,Yes,No
1001531001.0,1.0,Yes,No
1012700071.0,,Yes,Yes
4100930001.0,27.0,Yes,No
1013290001.0,4.0,Yes,Yes
1012640030.0,4.0,Yes,No
1012640005.0,4.0,Yes,Yes
1008177502.0,3.0,Yes,Yes
1008500001.0,2.0,Yes,Yes
,,Yes,Yes
1012940046.0,4.0,Yes,Yes
2024540001.0,16.0,Yes,No
1013150024.0,4.0,Yes,No
1001530024.0,1.0,Yes,No
,4.0,Yes,Yes
,4.0,Yes,Yes
1000750021.0,1.0,Yes,Yes
1012950023.0,4.0,Yes,Yes
1008070001.0,3.0,Yes,No
1007800036.0,3.0,Yes,Yes
,3.0,Yes,Yes
1008330011.0,4.0,Yes,Yes
1012780014.0,4.0,Yes,Yes
5000070012.0,49.0,Yes, and dedicated  space
1012870014.0,4.0,Yes,Yes
1010240015.0,3.0,Yes,Yes
1001600021.0,1.0,Yes,No
1008760006.0,2.0,Yes,Yes
1000940025.0,1.0,Yes,No
1008620029.0,2.0,Yes,Yes
5005230001.0,,Yes,No
,2.0,No,Yes
1008550001.0,2.0,Yes,No
3017200001.0,36.0,Yes,Yes
1013000001.0,4.0,Yes,Yes
1006720001.0,3.0,Yes,Yes
1008360026.0,4.0,Yes,No
1005540001.0,2.0,Yes,Yes
5005420009.0,49.0,Yes,Yes
1013070014.0,4.0,Yes,Yes
1007130001.0,3.0,Yes,Yes
1008060009.0,3.0,Yes,No
1000460001.0,1.0,Yes,Yes
1012950040.0,4.0,Yes,Yes
4096800001.0,24.0,Yes,No
1001550001.0,1.0,Yes,No
1012970023.0,4.0,Yes,Yes
1007830070.0,3.0,Yes,Yes
1005107502.0,1.0,Yes,Yes
1010090050.0,4.0,Yes,No
1012850036.0,4.0,Yes,No
,,Yes,Yes
1002330026.0,1.0,Yes,No
1005990064.0,3.0,Yes,Yes
1008380012.0,4.0,Yes,No
1000041010.0,1.0,Yes,Yes
,4.0,Yes,Yes
1010860001.0,6.0,Yes,No
1012970033.0,4.0,Yes,Yes
1012670041.0,4.0,Yes,Yes
1013050013.0,4.0,Yes,Yes
