latitude,longitude,bin,community_board
40.754946,-73.992175,1013643.0,4.0
40.716696,-74.004163,1001835.0,1.0
40.766032,-73.99082,1081740.0,4.0
40.762963,-73.983073,1076199.0,5.0
40.714127,-74.004675,1078613.0,1.0
40.694495,-73.987198,3347736.0,2.0
40.753739,-73.97555,,5.0
40.750518,-73.985487,1015925.0,5.0
40.756802,-73.974271,1081146.0,5.0
40.713676,-74.005234,,1.0
40.759133,-73.976407,1035481.0,5.0
40.752619,-73.994503,1013553.0,4.0
40.706625,-74.009875,1001018.0,1.0
,,,
40.76072,-73.967133,1036915.0,6.0
,,,
40.752262,-73.975464,1035385.0,5.0
40.755617,-73.979318,1035389.0,5.0
40.759432,-73.977122,1034516.0,5.0
40.754162,-73.976557,1085735.0,5.0
40.716317,-74.001277,1001833.0,1.0
40.715447,-74.00189,1001830.0,1.0
40.712357,-73.826292,4206522.0,9.0
40.750934,-74.005955,1012268.0,4.0
40.762103,-73.978803,1034522.0,5.0
40.642197,-74.075201,5000063.0,1.0
40.758171,-73.973246,1036460.0,5.0
40.801904,-73.939518,,11.0
40.707725,-74.011632,1001023.0,1.0
40.759838,-73.974165,,5.0
40.747837,-73.990934,1015158.0,5.0
40.703147,-73.987864,3000026.0,2.0
40.703973,-74.013164,1000027.0,1.0
40.754879,-73.979877,1034227.0,5.0
40.746059,-73.943466,4000698.0,2.0
40.764843,-73.982174,1024877.0,5.0
40.758224,-73.973231,1035473.0,5.0
40.751148,-73.991013,1014387.0,5.0
40.754508,-73.975951,1036185.0,5.0
40.694122,-73.988904,3000257.0,2.0
40.716084,-74.001425,1079000.0,1.0
40.751807,-73.976944,1083181.0,5.0
40.752171,-73.991377,1014415.0,5.0
40.753467,-73.97459,,5.0
40.750646,-73.976641,1036150.0,5.0
40.736881,-73.992992,1080621.0,5.0
40.702455,-73.803261,4448847.0,12.0
40.750504,-73.978865,1017595.0,6.0
40.710353,-74.004007,1001289.0,1.0
40.75938,-73.97823,1083859.0,5.0
40.751587,-73.97593,1036156.0,6.0
40.692459,-73.990491,3002558.0,2.0
40.749611,-73.99162,1015175.0,5.0
40.730675,-73.992326,,2.0
40.713265,-74.007063,1082757.0,1.0
40.634751,-74.111712,5004530.0,1.0
40.765219,-73.980268,1024896.0,5.0
,,,
40.713353,-74.001035,,1.0
40.70654,-74.009738,1001017.0,1.0
40.765015,-73.980416,1024895.0,5.0
40.759789,-73.976544,1034517.0,5.0
40.739548,-73.989658,,5.0
40.7493,-73.988675,1015190.0,5.0
40.751432,-73.980301,1017599.0,5.0
40.740358,-73.990459,1015534.0,5.0
40.766032,-73.99082,1081740.0,4.0
40.760718,-73.972642,1035771.0,5.0
40.757117,-73.983544,1069581.0,5.0
40.759204,-73.978335,1083860.0,5.0
40.747648,-73.988278,1015805.0,5.0
40.754826,-73.975683,1036205.0,5.0
40.765082,-73.984997,1025397.0,4.0
40.756023,-73.974831,1035441.0,5.0
