street_address,longitude,bble,isps_2,designated_telecom_utility_space,new_service_providers,fiber_connection,satellite_fixed_wireless_connection,isps_1,latitude-borough
120-55 QUEENS BOULEVARD,-73.828601,4022740002.0,No, shared,None available,Yes,No,3,40.713329-Queens
43 CHAMBERS STREET,-74.005234,1001530001.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,2,40.713676-Manhattan
65 EAST 55 STREET,-73.972642,1012910028.0,,Dedicated room,Yes,Yes,Yes,5 or more,40.760718-Manhattan
2 PENN PLAZA,-73.991345,1007819002.0,"Verizon,TW Telecom,Time Warner Cable,Sidera,Lightpath,Level(3),Direct TV,Cogent,AT&T","Combination of open, shared, and dedicated  space",Yes,Yes,Yes,5 or more,40.750017-Manhattan
225 LIBERTY STREET,-74.015673,1000160125.0,"Verizon,Time Warner Cable,Lightpath,Lightower,Cogent,AT&T,Abovenet","Combination of open, shared, and dedicated  space",Yes,Yes,No,5 or more,40.711537-Manhattan
912 BROADWAY,-73.989658,,"Verizon,Time Warner Cable","Combination of open, shared, and dedicated  space",Yes,No,Yes,2,40.739548-Manhattan
10 Rockefeller Plaza,-73.979165,1012640005.0,"RGTS,Time Warner Cable,Verizon",Dedicated room,Yes,Yes,No,3,40.758104-Manhattan
160 ADAMS STREET,-73.988615,3000850006.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,3,40.699033-Brooklyn
500 8 AVENUE,-73.992904,1007850001.0,"Verizon,TW Telecom,Time Warner Cable,Broadview",Hallway/Open Space,Yes,Yes,No,4,40.752943-Manhattan
346 BROADWAY,-74.004163,1001700006.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,3,40.716696-Manhattan
50 Rockefeller  Plaza,-73.97823,1012660001.0,"RGTS,Time Warner Cable,Verizon",Dedicated room,Yes,Yes,No,3,40.75938-Manhattan
620 AVENUE OF THE AMERIC,,1008200001.0,"Other,Verizon",Dedicated room,Yes,Yes,Yes,3,nan-Manhattan
888 7 AVENUE,-73.980416,1010280029.0,"Zayo,Verizon,TW Telecom,Time Warner Cable,Direct TV,Cogent,AT&T","Combination of open, shared, and dedicated  space",Yes,Yes,Yes,5 or more,40.765015-Manhattan
601 WEST 26 STREET,-74.005955,1006720001.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,5 or more,40.750934-Manhattan
126 EAST 56 STREET,-73.970151,1013100063.0,"Verizon,Time Warner Cable,Cogent",Dedicated room,Yes,Yes,No,3,40.760465-Manhattan
964 3 AVENUE,-73.967133,1013120041.0,"Verizon,Time Warner Cable,Lightpath,Direct TV,Cogent","Combination of open, shared, and dedicated  space",Yes,Yes,Yes,5 or more,40.76072-Manhattan
245 PARK AVENUE,-73.975683,,"Verizon,Time Warner Cable,Lightpath,Level(3),Cogent,Abovenet",Dedicated room,Yes,Yes,No,5 or more,40.754826-Manhattan
24 WHITEHALL STREET,-74.013092,1000090029.0,"Other,Zayo,XO Communications,Verizon,Time Warner Cable,Sidera,Reliance,Lightower,Cogent,AT&T",Dedicated room,Yes,Yes,Yes,5 or more,40.703446-Manhattan
488 MADISON AVENUE,-73.974855,1012870014.0,"Broadview,XO Communications,Signal Point,Towerstream,Time Warner Cable,Verizon,Covad",Hallway/Open Space,Yes,Yes,No,5 or more,40.758888-Manhattan
215 PARK AVENUE SOUTH,-73.988713,1008730067.0,"Verizon,Time Warner Cable,Lightower,Broadview","Combination of open, shared, and dedicated  space",No capability available,Yes,Yes,4,40.736963-Manhattan
1412 BROADWAY,-73.987046,1008150014.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,Yes,5 or more,40.753711-Manhattan
100 EAST 45 STREET,-73.97555,1012800090.0,"Cogent,TW Telecom,Verizon,Other",Common (shared) room,Yes,Yes,No,4,40.753739-Manhattan
351 JAY STREET,-73.987256,3001470004.0,"Verizon,Time Warner Cable,Lightpath,Lightower,Cogent,AT&T","Combination of open, shared, and dedicated  space",Yes,Yes,Yes,5 or more,40.692882-Brooklyn
1440 BROADWAY,-73.986761,,"Other,Verizon,Time Warner Cable,Sprint,Lightpath,Lightower,Level(3),Eureka,Direct TV,Cogent,Broadview,AT&T,Abovenet","Combination of open, shared, and dedicated  space",Yes,Yes,Yes,5 or more,40.754611-Manhattan
345 ADAMS STREET,-73.988915,3001401202.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,2,40.6934-Brooklyn
1 LIBERTY PLAZA,-74.011102,1000627501.0,"Zayo,Verizon,Time Warner Cable,Lightower,Cogent,AT&T","Combination of open, shared, and dedicated  space",Yes,Yes,No,5 or more,40.70943-Manhattan
133 CENTRE STREET,-74.000747,1001970017.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,2,40.717036-Manhattan
45 MONROE PLACE,-73.992802,3002370001.0,,"Combination of open, shared, and dedicated  space",Yes,No,No,1,40.695822-Brooklyn
304 PARK AVENUE SOUTH,-73.986507,1008510041.0,"XO Communications,Verizon,Time Warner Cable",Hallway/Open Space,Yes,Yes,No,3,40.740006-Manhattan
355 LEXINGTON AVENUE,-73.976909,1012950023.0,"Verizon,Time Warner Cable,Cogent",Dedicated room,Yes,Yes,Yes,3,40.750245-Manhattan
323 HUDSON STREET,-74.007425,1005970062.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,Yes,5 or more,40.726711-Manhattan
300 MADISON AVENUE,-73.979712,,"Verizon,Time Warner Cable,Sprint,Lightpath,Lightower,AT&T",Dedicated room,Yes,Yes,No,5 or more,40.752236-Manhattan
613 MADISON AVENUE,-73.971789,1012940046.0,"Cablevision,AT&T,Time Warner Cable,Verizon","Combination of open, shared, and dedicated  space",Yes,Yes,No,3,40.763054-Manhattan
100 West 33rd Street,-73.988675,1008080040.0,"Verizon,TW Telecom,Time Warner Cable,Lightpath,Lightower",Common (shared) room,Yes,Yes,Yes,5 or more,40.7493-Manhattan
630 Flushing Avenue,-73.948449,3017200001.0,"Other,Verizon,Towerstream","Combination of open, shared, and dedicated  space",Yes,Yes,Yes,4,40.699963-Brooklyn
340 MADISON AVENUE,-73.978513,1012780014.0,,Dedicated room,Yes,Yes,Yes,5 or more,40.753869-Manhattan
360 ADAMS STREET,-73.988904,3001390020.0,,Dedicated room,Yes,Yes,No,2,40.694122-Brooklyn
240 WEST 35 STREET,-73.991377,1007840064.0,"Verizon,Time Warner Cable",Common (shared) room,Yes,Yes,No,2,40.752171-Manhattan
280 BROADWAY,-74.006089,1001531001.0,,"Combination of open, shared, and dedicated  space",Yes,Yes,No,2,40.714417-Manhattan
