bbl,postcode,riser_space_for_additional_providers,certification_class,multiple_points_of_entry,riser_space_for_current_providers,nta
1-1267-34,10019.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
3-140-1001,11201.0,Yes,Connected,Yes,Yes,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
1-869-34,10016.0,Yes,Not certified,Yes,Yes,Murray Hill-Kips Bay                                                       
1-16-150,,Yes,Gold,No,Yes,
1-1028-29,10106.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
3/29/2016,11201.0,Yes,Not certified,Yes,Yes,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
1-857-24,10016.0,Yes,Platinum,Yes,Yes,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1-1280-60,10170.0,No,Silver,No,Yes,Turtle Bay-East Midtown                                                    
1-1266-1,,No,Gold,Yes,Yes,
1-1267-1,,Yes,Not certified,Yes,Yes,
1-1295-58,10017.0,Yes,Platinum,Yes,Yes,Murray Hill-Kips Bay                                                       
1-1293-26,10022.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
2-2947-18,10457.0,Yes,Connected,No,Yes,East Tremont                                                               
1-1306-1,10154.0,Yes,Gold,Yes,Yes,Turtle Bay-East Midtown                                                    
1-168-32,10013.0,Yes,Connected,No,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
4-83-1,11101.0,Yes,Not certified,No,Yes,Hunters Point-Sunnyside-West Maspeth                                       
3-169-17,11201.0,Yes,Not certified,Yes,Yes,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
1-815-14,10018.0,Yes,Not certified,Yes,No,Midtown-Midtown South                                                      
1-1040-29,10019.0,Yes,Platinum,Yes,Yes,Clinton                                                                    
1-1260-34,10036.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-1027-20,10019.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
3-140-1202,11201.0,Yes,Connected,Yes,Yes,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
1-1015-29,10036.0,Yes,Gold,Yes,Yes,Midtown-Midtown South                                                      
1/10/2023,10004.0,Yes,Gold,Yes,Yes,Battery Park City-Lower Manhattan                                          
1-1287-7501,10022.0,Yes,Silver,Yes,Yes,Midtown-Midtown South                                                      
1-754-68,10001.0,No,Not certified,Yes,Yes,Hudson Yards-Chelsea-Flatiron-Union Square                                 
1-784-64,10001.0,Yes,Not certified,No,Yes,Midtown-Midtown South                                                      
4-281-1,11101.0,Yes,Not certified,Yes,Yes,Hunters Point-Sunnyside-West Maspeth                                       
1-565-15,10003.0,Yes,Not certified,Yes,Yes,West Village                                                               
1-192-1,10013.0,Yes,Platinum,Yes,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-869-61,10016.0,Yes,Not certified,Yes,Yes,Murray Hill-Kips Bay                                                       
1-1266-1,10020.0,No,Silver,Yes,Yes,Midtown-Midtown South                                                      
1-1035-17,10036.0,Yes,Platinum,Yes,Yes,Clinton                                                                    
1-170-6,10013.0,Yes,Connected,No,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-1284-21,10017.0,Yes,Gold,Yes,Yes,Midtown-Midtown South                                                      
1-169-10,10013.0,Yes,Not certified,No,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
2-4832-9,10466.0,Yes,Not certified,No,Yes,Williamsbridge-Olinville                                                   
1-781-9002,10121.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-134-1001,10007.0,Yes,Connected,No,Yes,SoHo-TriBeCa-Civic Center-Little Italy                                     
1-113-7501,10038.0,Yes,Not certified,Yes,Yes,Chinatown                                                                  
1-993-11,10018.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
3-85-6,11201.0,Yes,Connected,No,Yes,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
1-1281-1,10176.0,Yes,Not certified,No,Yes,Midtown-Midtown South                                                      
1-858-78,10016.0,No,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-808-40,10001.0,Yes,Not certified,Yes,Yes,Midtown-Midtown South                                                      
1-1016-36,10036.0,Yes,Gold,Yes,Yes,Midtown-Midtown South                                                      
1-762-25,10018.0,Yes,Platinum,Yes,Yes,Clinton                                                                    
