number_of_public_housing_2,borough
,
,
,
,
,
< 5,
< 5,
,
,
,
,
,
,
,
< 5,
,
,
< 5,
,
,
,
9,
,
< 5,
,
,
,
,
< 5,
,
5,
< 5,
,
,
< 5,
,
,
,
,
,
,
,
,
,
,
6,
,
,
< 5,
,
< 5,
,
,
,
< 5,
< 5,
,
,
,
,
,
,
< 5,
,
,
,
< 5,
,
,
,
,
,
,
7,
,
,
,
,
< 5,
,
,
,
,
,
,
,
,
,
,
,
< 5,
,
,
,
,
< 5,
,
,
,
,
,
,
,
< 5,
7,
,
,
,
,
,
,
6,Bronx
,
,
,
,
< 5,
,
< 5,
9,
,
,
< 5,
,
,
< 5,
,
< 5,
,
,
< 5,
< 5,
,
,
< 5,
,
< 5,
,
,
,
< 5,
,
,
,
,
,
< 5,Queens
,
,
,
,
,
,
,
< 5,Brooklyn
14,
,
,
,
,
,
,
8,
8,
,
,
,
,
,
,
< 5,
,
,
,
< 5,
,
5,
,
,
,
< 5,
< 5,
,
,
,
< 5,
,
< 5,
< 5,Manhattan
,
< 5,
< 5,Staten Island
,
,
< 5,
,
,
,
,
,
