isofficially,sinkscomm,comm,toiletpaperdispcomm,urinalsam
0,,,,
1,Porcelain,,Standard,2.0
0,Porcelain,,Tamper Proof Stainless Steel,
0,,,,
0,,,,
1,,,,
0,Stainless Steel,,Tamper Proof Stainless Steel,
0,,,,
0,,,,
1,Stainless Steel,,Fully Enclosed (Big Giant Roll),1.0
0,,,,
1,Stainless Steel,,Fully Enclosed (Big Giant Roll),1.0
0,Stainless Steel,,Tamper Proof Stainless Steel,2.0
1,,,,
1,,,,
1,,,,
0,Stainless Steel,,Standard,
0,,,,
0,Stainless Steel,,2-ply or more,
1,,,,
0,,Closed for repairs.,,
0,Stainless Steel,,Standard,1.0
1,Porcelain,,Standard,2.0
0,,,,
1,Porcelain,,Fully Enclosed (Big Giant Roll),
1,,,,
1,,Winterized,,
0,,,,
1,,,,
0,,,,
0,,,,
0,,,,
0,Stainless Steel,,Standard,
1,,,,
0,,,,
0,,,,
1,Porcelain,,Tamper Proof Stainless Steel,
0,Porcelain,,Tamper Proof Stainless Steel,2.0
0,Stainless Steel,,Standard,
0,,,,
0,,,,
0,Porcelain,,Fully Enclosed (Big Giant Roll),
1,Stainless Steel,,Tamper Proof Stainless Steel,2.0
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,Stainless Steel,Floor has paint on it.,Standard,1.0
0,Porcelain,,Standard,1.0
1,,,,
0,,,,
0,,Closed for repairs.,,
0,Porcelain,,Tamper Proof Stainless Steel,
1,,,,
0,Stainless Steel,,Standard,1.0
0,,Under construction,,
0,,,,
0,Porcelain,,Standard,
0,,,,
0,,,,
0,Porcelain,,2-ply or more,1.0
0,Porcelain,,2-ply or more,
1,Porcelain,,Standard,
0,,,,
0,,,,
0,,,,
1,,,,
1,,,,
0,Porcelain,,2-ply or more,1.0
0,,,,
1,Stainless Steel,,2-ply or more,
0,Porcelain,,Other,
0,Porcelain,,Standard,
1,,,,
0,,,,
1,,,,
1,,,,
0,Stainless Steel,,Tamper Proof Stainless Steel,3.0
1,Porcelain,,Tamper Proof Stainless Steel,
1,Porcelain,,Standard,1.0
1,,Winterized,,
0,Porcelain,,Tamper Proof Stainless Steel,
0,,,,
0,,,,
0,,,,
1,Porcelain,,Tamper Proof Stainless Steel,4.0
0,,,,
1,,,,
1,,,,
0,Stainless Steel,,Standard,1.0
0,Stainless Steel,,Tamper Proof Stainless Steel,
0,Stainless Steel,,Fully Enclosed (Big Giant Roll),3.0
0,Porcelain,,Standard,1.0
0,,,,
1,,,,
1,Porcelain,,Fully Enclosed (Big Giant Roll),1.0
0,Stainless Steel,,Standard,
0,,,,
1,Stainless Steel,,2-ply or more,1.0
0,Porcelain,,Tamper Proof Stainless Steel,
1,,Closed for season,,
1,,,,
0,Stainless Steel,,Standard,
1,,,,
0,Porcelain,,2-ply or more,7.0
0,Stainless Steel,,Fully Enclosed (Big Giant Roll),
0,,,,
1,,,,
0,,,,
0,Porcelain,,2-ply or more,
0,,,,
0,,Under construction,,
0,Porcelain,,Tamper Proof Stainless Steel,2.0
0,,,,
0,,,,
0,,,,
0,,,,
0,Porcelain,Bar soap present.,Tamper Proof Stainless Steel,
0,,,,
1,,,,
0,Stainless Steel,,Standard,1.0
0,Porcelain,,Tamper Proof Stainless Steel,1.0
1,Stainless Steel,No sign present to indicate male restroom.,Standard,1.0
0,Porcelain,,Other,1.0
0,,,,
1,,,,
1,Porcelain,,Fully Enclosed (Big Giant Roll),
0,,,,
0,,,,
0,Porcelain,,Tamper Proof Stainless Steel,0.0
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
0,Stainless Steel,,Standard,2.0
0,Stainless Steel,,Tamper Proof Stainless Steel,2.0
1,,,,
0,,,,
0,Porcelain,,2-ply or more,
1,,,,
1,,,,
1,Porcelain,,Standard,
0,,,,
0,,,,
1,,,,
0,,,,
1,Porcelain,,Standard,1.0
0,,,,
0,,,,
1,Porcelain,,Fully Enclosed (Big Giant Roll),1.0
0,,,,
0,Porcelain,,Fully Enclosed (Big Giant Roll),1.0
0,,,,
1,Stainless Steel,,Fully Enclosed (Big Giant Roll),
0,Porcelain,,2-ply or more,
0,,,,
0,,,,
0,,,,
0,,,,
0,,,,
1,,,,
0,,,,
0,Porcelain,,Tamper Proof Stainless Steel,1.0
0,,,,
0,,,,
1,Porcelain,,Fully Enclosed (Big Giant Roll),
1,Stainless Steel,,Tamper Proof Stainless Steel,
1,Stainless Steel,,Tamper Proof Stainless Steel,
0,,Women's restroom not inspected due to high usage.,,
1,,,,
1,,Closed for season,,
0,Porcelain,,Tamper Proof Stainless Steel,
0,Porcelain,,Tamper Proof Stainless Steel,
1,Porcelain,,Standard,
0,,,,
1,,,,
1,Porcelain,,Tamper Proof Stainless Steel,2.0
0,,,,
0,,,,
0,,,,
0,Stainless Steel,,Tamper Proof Stainless Steel,
1,Stainless Steel,,Tamper Proof Stainless Steel,1.0
0,Stainless Steel,"Soap globe damaged, no liquid soap.",Standard,
0,,,,
1,Porcelain,,Tamper Proof Stainless Steel,1.0
0,Porcelain,,2-ply or more,8.0
1,,,,
0,,,,
1,,,,
0,Porcelain,,2-ply or more,
0,,,Tamper Proof Stainless Steel,3.0
1,,,,
1,,,,
0,Porcelain,,Tamper Proof Stainless Steel,1.0
0,Stainless Steel,,Standard,
1,,,,
1,Porcelain,,Standard,
1,,,,
