toiletscomm,toiletsam,sinksam,toiletpaperdispam,ovcond,papertoweldispam
,,,,A,
Porcelain,1.0,1.0,1.0,U,1.0
Porcelain,4.0,1.0,4.0,A,
,,,,U,
,,,,A,
,,,,U,
Stainless Steel,4.0,1.0,4.0,A,0.0
,,,,A,
,,,,A,
Porcelain,1.0,1.0,1.0,U,1.0
,,,,U,
Stainless Steel,1.0,1.0,1.0,N,1.0
Stainless Steel,2.0,1.0,2.0,A,0.0
,,,,N,
,,,,U,
,,,,U,
Stainless Steel,3.0,2.0,1.0,A,
,,,,U,
Stainless Steel,2.0,1.0,1.0,U,1.0
,,,,U,
,,,,U,
Porcelain,1.0,1.0,1.0,U,0.0
Porcelain,2.0,1.0,2.0,U,1.0
,,,,A,
Porcelain,1.0,1.0,1.0,U,1.0
,,,,U,
,,,,U,
,,,,A,
,,,,N,
,,,,U,
,,,,U,
,,,,U,
Porcelain,1.0,1.0,1.0,U,0.0
,,,,U,
,,,,U,
,,,,U,
Porcelain,5.0,4.0,5.0,U,1.0
Porcelain,2.0,1.0,2.0,A,1.0
Stainless Steel,1.0,1.0,1.0,A,1.0
,,,,U,
,,,,U,
Porcelain,1.0,1.0,1.0,A,1.0
Stainless Steel,2.0,1.0,2.0,U,1.0
,,,,U,
,,,,A,
,,,,A,
,,,,A,
,,,,A,
Stainless Steel,1.0,1.0,1.0,U,1.0
Porcelain,1.0,1.0,1.0,A,1.0
,,,,N,
,,,,A,
,,,,U,
Porcelain,1.0,1.0,1.0,A,1.0
,,,,N,
Stainless Steel,1.0,1.0,1.0,A,1.0
,,,,U,
,,,,U,
Porcelain,1.0,1.0,1.0,A,1.0
,,,,A,
,,,,U,
Porcelain,1.0,1.0,1.0,A,1.0
Porcelain,,1.0,1.0,U,0.0
Porcelain,2.0,1.0,2.0,U,1.0
,,,,A,
,,,,A,
,,,,U,
,,,,N,
,,,,N,
Porcelain,1.0,1.0,1.0,A,0.0
,,,,A,
Stainless Steel,1.0,1.0,1.0,N,1.0
Porcelain,1.0,1.0,1.0,U,1.0
Porcelain,1.0,1.0,1.0,A,1.0
,,,,N,
,,,,A,
,,,,U,
,,,,N,
Stainless Steel,2.0,2.0,2.0,A,2.0
Porcelain,2.0,1.0,1.0,U,
Porcelain,1.0,1.0,1.0,N,1.0
,,,,U,
Porcelain,3.0,1.0,3.0,A,1.0
,,,,A,
,,,,A,
,,,,A,
Porcelain,4.0,3.0,4.0,U,1.0
,,,,U,
,,,,U,
,,,,N,
Stainless Steel,1.0,1.0,1.0,U,1.0
Stainless Steel,3.0,2.0,3.0,A,2.0
Stainless Steel,3.0,3.0,3.0,A,0.0
Porcelain,1.0,1.0,1.0,A,1.0
,,,,U,
,,,,U,
Porcelain,1.0,1.0,1.0,U,1.0
Stainless Steel,1.0,1.0,1.0,U,0.0
,,,,U,
Stainless Steel,1.0,1.0,1.0,N,1.0
Porcelain,2.0,2.0,2.0,U,0.0
,,,,N,
,,,,N,
Stainless Steel,1.0,1.0,1.0,U,1.0
,,,,U,
Porcelain,4.0,4.0,4.0,A,1.0
Stainless Steel,3.0,3.0,3.0,A,3.0
,,,,U,
,,,,U,
,,,,A,
Porcelain,1.0,1.0,1.0,A,1.0
,,,,U,
,,,,U,
Porcelain,2.0,1.0,2.0,A,0.0
,,,,U,
,,,,A,
,,,,A,
,,,,U,
Porcelain,2.0,1.0,2.0,A,0.0
,,,,A,
,,,,U,
