soapdispam,mw,urinalscomm,isclosed
,M1,,0
1.0,M1,Porcelain,1
1.0,W1,,0
,M1,,0
,W1,,0
,W1,,1
1.0,W1,,0
,W1,,0
,W1,,0
1.0,M1,Stainless Steel,1
,W1,,0
1.0,M1,Stainless Steel,1
1.0,M1,Stainless Steel,0
,W1,,1
,W1,,1
,W1,,1
2.0,W1,,0
,M1,,0
,W1,,0
,M1,,1
,W1,,0
1.0,M1,Stainless Steel,0
1.0,M1,Porcelain,1
,M1,,0
1.0,W1,,1
,M1,,1
,W1,,1
,W1,,0
,M1,,1
,M1,,0
,W1,,0
,M1,,0
1.0,W1,,0
,W1,,1
,W1,,0
,M1,,0
2.0,W1,,1
1.0,M1,Porcelain,0
1.0,W1,,0
,M1,,0
,W1,,0
1.0,W1,,0
1.0,M1,,1
,M1,,0
,W1,,0
,W1,,0
,W1,,0
,M1,,0
1.0,M1,Stainless Steel,0
0.0,M1,Porcelain,0
,M1,,1
,M1,,0
,M1,,0
1.0,W1,,0
,M1,,1
1.0,M1,Stainless Steel,0
,M1,,0
,M1,,0
1.0,W1,,0
,M1,,0
,M1,,0
1.0,M1,Porcelain,0
0.0,W1,,0
1.0,W1,,1
,M1,,0
,M1,,0
,W1,,0
,W1,,1
,M1,,1
1.0,M1,Porcelain,0
,M1,,0
1.0,W1,,1
1.0,W1,,0
1.0,W1,,0
,M1,,1
,M1,,0
,M1,,1
,W1,,1
1.0,M1,Stainless Steel,0
1.0,W1,,1
1.0,M1,Porcelain,1
,M1,,1
1.0,W1,,0
,W1,,0
,W1,,0
,M1,,0
2.0,M1,Porcelain,1
,M1,,0
,M1,,1
,M1,,1
1.0,M1,Stainless Steel,0
1.0,W1,,0
0.0,M1,Stainless Steel,0
0.0,M1,Porcelain,0
,W1,,0
,W1,,1
1.0,M1,Porcelain,1
1.0,W1,,0
,W1,,0
1.0,M1,Stainless Steel,1
1.0,W1,,0
,W1,,0
,W1,,1
1.0,W1,,0
,M1,,1
1.0,M1,Porcelain,0
3.0,W1,,0
,W1,,0
,W1,,1
,M1,,0
1.0,W1,,0
,W1,,0
,W1,,0
1.0,M1,Porcelain,0
,M1,,0
,M1,,0
,W1,,0
,M1,,0
1.0,W1,,0
,W1,,0
,M1,,1
1.0,M1,Stainless Steel,0
1.0,M1,Porcelain,0
1.0,M1,Stainless Steel,1
1.0,M1,Porcelain,0
,W1,,0
,W1,,1
1.0,W1,,1
,M1,,0
,W1,,0
1.0,M1,,0
,M1,,0
,M1,,0
,M1,,0
,W1,,0
,W1,,0
2.0,M1,Stainless Steel,0
1.0,M1,Stainless Steel,0
,W1,,1
,M1,,0
0.0,W1,,0
,W1,,1
,M1,,1
1.0,W1,,1
,W1,,0
,M1,,0
,M1,,1
,M1,,0
1.0,M1,Porcelain,1
,W1,,0
,M1,,0
0.0,M1,Porcelain,1
,M1,,0
1.0,M1,Stainless Steel,0
,W1,,0
1.0,W1,,1
1.0,W1,,0
,W1,,0
,M1,,0
,W1,,0
,M1,,0
,M1,,0
,W1,,1
,W1,,0
1.0,M1,Porcelain,0
,M1,,0
,M1,,0
1.0,W1,,0
1.0,W1,,1
1.0,W1,,0
,W1,,0
,W1,,1
,M1,,1
1.0,W1,,0
1.0,W1,,0
1.0,W1,,1
,W1,,0
,W1,,1
1.0,M1,Porcelain,1
,M1,,0
,W1,,0
,W1,,0
1.0,W1,,0
1.0,M1,Stainless Steel,1
1.0,W1,,0
,W1,,0
0.0,M1,Porcelain,1
2.0,M1,Porcelain,0
,M1,,1
,W1,,0
,M1,,1
0.0,W1,,0
1.0,M1,Porcelain,0
,W1,,1
,W1,,1
1.0,M1,Porcelain,0
1.0,W1,,0
,M1,,1
1.0,W1,,1
,W1,,1
