registration_date_or_date_sent_to_comptroller_for_registration,value_for_fy2015_registrations
12/2/11,
6/14/2013,
05/19/10,
6/24/2014,
6/23/15 (Sent to Comptroller),"$518,000"
7/2/2012,
6/12/13,
3/20/2014,
11/13/2009,
,
7/10/2013,
4/29/08,
3/10/2010,
6/4/08,
,
1/28/2010,
6/3/2014,
3/10/2010,
3/11/2011,
12/17/2013,$0
5/2/2011,
4/9/2010,
3/26/2014,
8/23/12,
8/8/2014,"$930,000"
6/24/2010,
2/5/2010,
10/16/2006,
7/13/12,
10/28/2009,
3/20/2014,
5/9/2014,
6/15/15,"$868,000"
3/31/2011,
2/11/2014,
6/18/2014,
4/2/2014,
8/26/2013,
8/18/2010,
4/17/2012,
8/4/2014,"$1,000"
4/5/12,
4/7/2014,
6/24/2010,
6/3/2014,
3/11/13,
9/16/2010,
6/12/2015,"$701,000"
3/27/2014,
2/4/2010,
,
5/23/2014,
5/8/08,
8/26/2013,
3/21/2014,
7/2/2013,
5/2/2014,
,
6/15/2015,"$1,230,000"
2/10/2014,
8/3/07,
2007,
6/27/2013,
10/24/2006,
8/12/11,
1/2/2014,
2/8/12,
4/4/2014,
6/3/2014,
1/25/13,
,
3/19/2012,
8/28/2013,
3/12/2010,
10/17/12,
6/14/2013,
7/28/04,
6/25/2010,
6/16/15,"$1,156,000"
11/1/11,
6/19/2015,"$900,000"
6/27/2013,
6/5/2014,
7/21/11,
12/18/2013,
1/31/2011,
10/22/2010,
5/5/2011,
3/1/13,
10/14/2011,
1/15/2014,$0
8/20/2012,
12/5/2011,
9/12/11,
6/25/2010,
6/25/2010,
6/7/2013,
8/30/2010,
6/25/2010,
6/7/2013,
3/14/2012,
5/9/12,
8/13/2014,"$1,280,000"
3/19/14,
5/15/2015,"$203,067"
1/20/06,
9/25/2014,"$597,050"
,
4/10/13,
9/16/08,
8/12/2013,
6/25/2010,
10/26/12,
2/10/12,
9/18/2014,"$183,972"
11/27/2013,
10/7/2013,
4/17/13,
5/28/2014,
2/12/13,
5/22/2010,
6/1/2010,
4/2/09,
9/8/2010,
11/8/07,
9/11/08,
11/9/10,
7/31/2013,
11/1/2013,
3/8/04,
4/14/2014,
5/15/2014,
04/23/10,
1/17/13,
07/09/10,
6/4/2009,
4/20/2009,
3/14/2012,
6/17/2015,"$390,000"
3/1/13,
9/22/2010,
7/14/11,
4/15/2015,
2/13/12,
6/16/11,
02/04/10,
1/24/2014,$0
10/16/14,"$260,315"
12/19/12,
2/4/2010,
5/7/2014,
3/27/2014,
8/3/2012,
2/10/2014,$0
9/11/2014,"$373,000"
05/19/10,
11/22/11,
2/13/12,
8/11/11,
2/8/13,
10/30/2008,
5/20/2015,
1/11/13,
10/5/12,
10/11/2012,
7/8/2010,
1/8/2013,
4/2/2015,
9/5/2014,"$1,167,500"
"6/9/2000 (Original)
5/26/2010 (Amendment)",
4/28/2015,"$625,293"
8/4/11,
7/10/2013,
7/12/11,
2/17/11,
9/12/2011,
5/27/2014,
5/4/13,
6/19/2014,
2/12/13,
10/13/2010,
5/5/2014,
2/22/2011,
,
3/21/2014,
12/12/2013,$0
9/10/2009,
9/9/2009,
9/8/2010,
"4/26/2002 (Orginal); 10/29/2010 (Amendment)
",
1/29/2014,
10/18/14,
6/3/14,
1/16/13,
4/8/2013,
8/29/2008 & 11/29/2011 (License Extension),
4/8/09,
4/8/09,
6/15/1999,
7/31/2013,
