concession_id_pre_registration,concessionaire,doc_cd_e_g_rct1,borough
B73-8-C,Mohammed Islam,RCT1,Brooklyn
B87-C,"Mizhquiry, Blanca",RCT1,Brooklyn
X2(3)-C,"Rabbani, Golam",RCT1,Bronx
B126-3-MT,Seref Ozdemir,RCT1,Brooklyn
M104-PL,Parking Services Plus  ,RCT1,Manhattan
2011-008102,34th Street Partnership,RCT1,Manhattan
B60-C,Abdelhafeez Abdelhafeez,RCT1,Brooklyn
B52-TP,Raymond Chan,RCT1,Brooklyn
M10-15-SLB,"Freeze Frame, LLC  ",RCT1,Manhattan
,Time Square District Management Association,,Manhattan
,Skaggs Walsh,RCT1,Queens
M104-DR,"North Shore Golf Group, Inc.    ",RCT1,Manhattan
M10-86-WD-C,"Nandita, Inc.   ",RCT1,Manhattan
B166-D-GS,Go Green Realty Corp.   ,RCT1,Brooklyn
,Eammons Marina LLC,,Brooklyn
M10-84-ED-C,"Nandita, Inc.   ",RCT1,Manhattan
B51-TP,Maksim Dubov,RCT1,Brooklyn
M10-E66-CD-C,"Matin, Mohammad A.",RCT1,Manhattan
,Metro Environmental Response Corp.,RCT1,Brooklyn
M10-61-ED-C,Unlimited Nuts Inc.,RCT1,Manhattan
M10-E64-CG,Rouge Tomate LLC,RCT1,Manhattan
M10-33-SB,"Pq Mineral Springs, Inc.  ",RCT1,Manhattan
M159-TP,"Mountain Views Inn, Inc.",RCT1,Manhattan
B58-TR,Greg's Holiday Center,RCT1,Brooklyn
M10-72-1B-C,Nandita Inc.,RCT1,Manhattan
,Quinn Restaurant Corp,RCT1,Queens
M10-72-1A-C,"GSP Trade, Inc.  ",RCT1,Manhattan
,Dircksen & Talleyrand ,RCT1,Brooklyn
M13-CG,Belgo Waffle Inc,RCT1,Manhattan
2009-031425,Fashion Center District Management Association,RCT1,Manhattan
B58-2-CG,"Urban General Carts, LLC  ",RCT1,Brooklyn
B369-PL,"Surf Avenue Parking, LLC",RCT1,Brooklyn
M10-81-WD-C,Mohammed J. Ahmed,RCT1,Manhattan
M10-37-C-CL,"Trump Carousel, LLC",RCT1,Manhattan
2013-055864,DUMBO Area Distric Management Association,RCT1,Brooklyn
B218-MT,Sahsanem G Bedir,RCT1,Brooklyn
M42-10-C,Elizendo Vaquero,RCT1,Manhattan
B73-5-C,Janani Food Service Inc.,RCT1,Brooklyn
,NYU Medical Center ,RCT1,Manhattan
