revenue_collected_in_fy_2015,expiration_date,fy_2015_registration_yes_no
75553.0,12/31/15,No
3101.0,12/31/17,No
1259.0,12/31/14,No
2028.0,12/31/18,No
,,No (Contract is at the Comptroller's office)
0.0,7/1/17,No
1180.0,12/31/17,No
3902.0,11/18/18,No
32115.0,1/4/15,No
,,No
28105.0,8/31/2016,No
0.0,4/30/18,No
78118.0,12/31/14,No
314138.0,6/30/23,No
0.0,4/14/2018,No
111772.0,12/31/14,No
7670.0,11/18/18,No
90668.0,12/31/14,No
72011.0,2/29/2014,No
116100.0,12/31/18,No
16194.0,6/29/17,No
576367.0,5/13/22,No
5185.0,11/18/18,No
4500.0,12/26/15,No
130444.0,12/31/18,Yes
4113.0,3/31/2013,No
93957.0,12/31/14,No
6120.0,6/30/2009,No
43266.0,8/28/17,No
0.0,10/28/15,No
2332.0,6/22/19,No
230825.0,4/30/19,No
0.0,12/31/19,Yes
260000.0,4/14/21,No
0.0,4/7/19,No
742.0,12/31/19,No
851.0,12/31/18,No
60422.0,12/31/17,No
406900.0,2/28/2013,No
0.0,4/25/18,No
912.0,7/17/15,Yes
242856.0,12/31/26,No
6854.0,11/18/18,No
14944.0,3/31/2013,No
5000.0,11/18/18,No
558.0,12/31/17,No
6104.0,9/30/2013,No
0.0,12/31/19,Yes
2047.0,11/18/18,No
67018.0,12/31/14,No
,,No
187.0,12/31/18,No
87499.0,12/10/24,No
22147.0,12/31/17,No
186700.0,12/31/18,No
6375.0,9/4/14,No
141076.0,12/31/18,No
,,No
0.0,12/31/19,Yes
31357.0,12/31/18,No
36761.0,12/31/16,No
36900.0,3/31/2010,No
9332.0,12/31/17,No
926.0,6/30/2009,No
51600.0,4/6/24,No
49998.0,7/17/30,No
0.0,03/22/18,No
106132.0,12/31/18,No
13248.0,11/18/18,No
15168.0,12/31/17,No
,,No
29800.0,7/5/17,No
28150.0,5/21/15,No
23336.0,12/31/14,No
96912.0,6/30/15,No
1518.0,12/31/17,No
804810.0,1/14/24,No
3000.0,12/31/14,No
0.0,12/31/19,Yes
895.0,12/31/15,No
0.0,12/31/19,Yes
11499.0,12/31/17,No
4226.0,12/31/18,No
6650.0,12/31/15,No
0.0,1/2/19,No
42777.0,12/31/14,No
1431.0,12/31/15,No
0.0,5/5/16,No
117255.0,12/31/16,No
0.0,10/13/16,No
0.0,20 years from NTP,No
1026.0,12/26/16,No
0.0,12/4/15,No
17905.0,12/26/14,No
42926.0,8/8/15,No
42926.0,8/8/15,No
0.0,6/30/33,No
91807.0,2/28/2013,No
3750.0,12/31/14,No
40000.0,6/30/18,No
5178.0,3/31/2015,No
115850.0,5/31/17,No
175080.0,12/31/18,Yes
1537.0,11/18/18,No
0.0,2/29/20,Yes
140479.0,5/31/17,No
175009.0,12/31/23,Yes
,,No
210.0,7/31/14,No
186521.0,9/17/20,No
41670.0,8/20/22,No
3750.0,12/31/14,No
5961.0,11/6/21,No
12384.0,3/31/20,No
55103.0,12/31/23,Yes
537763.0,11/21/18,No
10067.0,12/31/15,No
800.0,12/31/17,No
38125.0,4/30/19,No
38548.0,12/31/17,No
89608.0,12/31/14,No
365000.0,9/18/16,No
297192.0,4/2/24,No
23724.0,4/30/16,No
285121.0,12/31/26,No
0.0,6/30/29,No
12231.0,03/31/16,No
,,No
12797.0,5/13/15,No
239408.0,10/12/18,No
5160.0,12/31/18,No
0.0,12/22/18,No
48773.0,12/31/14,No
3798.0,12/31/17,No
0.0,8/15/15,No
0.0,6/30/19,No
975.0,12/31/14,No
4827.0,3/31/2015,No
0.0,12/31/19,Yes
167819.0,12/31/16,No
33081.0,12/31/14,No
12666.0,12/31/15,No
0.0,4/14/20,Yes
137332.0,12/31/15,No
7294.0,12/25/14,No
53235.0,12/31/14,No
125775.0,12/31/18,No
81533.0,12/31/23,Yes
37675.0,12/31/17,No
122650.0,12/31/14,No
1906.0,11/18/18,No
1534.0,11/18/18,No
3000.0,7/17/2015,No
62168.0,6/30/16,No
110883.0,12/31/23,Yes
99000.0,6/6/15,No
0.0,12/31/21,No
111350.0,12/31/15,No
10686.0,8/24/19,No
4259.0,3/23/18,No
1758.0,12/26/15,No
0.0,"9/30/2015, with renewal option of four (4) successive terms of similar duration",Yes
116456.0,12/31/16,No
133702.0,6/30/15,No
0.0,4/23/34,No
8336.0,12/31/14,No
101250.0,5/24/2023,No
0.0,6/30/23,Yes
84943.0,6/30/15,Yes
1973312.0,10/31/21,No
16196.0,12/31/19,Yes
1050.0,8/13/14,No
64774.0,8/31/2016,No
2668.0,12/31/15,No
0.0,2/17/15,No
114000.0,5/10/15,No
525.0,12/31/18,No
76891.0,5/31/19,No
21750.0,12/31/18,No
35700.0,12/31/17,No
0.0,12/27/14,No
1593.0,11/18/18,No
13959.0,2/29/2014,No
,,No
11425.0,11/18/18,No
16668.0,10/31/16,No
0.0,10/6/19,No
0.0,12/31/15,No
36468.0,9/30/15,No
3555947.0,4/30/21,No
0.0,1/29/19,No
339440.0,10/31/24,Yes
13174.0,6/30/20,No
748.0,12/31/17,No
101557.0,4/16/18,No
175000.0,"9/30/15, plus seven (7) one (1) year options to renew",No
654224.0,4/30/29,No
10285.0,4/28/16,No
122849.0,10/15/15,No
157155.0,7/16/16,No
