workorder_number,workorder_added,workorder_activity_description,workorder_activity_code
843038006,2015-03-10T08:44:02.000,REPLACE MANHOLE CASTING,SA26
842873190,2014-04-04T09:53:32.000,REPAIR BASIN-MINOR,SA23
842398115,2012-01-30T10:06:26.000,REPLACE MANHOLE CASTING,SA26
842944397,2014-08-11T15:36:59.000,REPAIR BASIN-MAJOR,SA24
843457767,2016-08-09T11:05:06.000,REPAIR SEWER BREAK (CONTRACT.),SRB
1060372,2005-06-02T15:20:21.000,REPAIR CONNECTION,SA25
842762063,2013-09-03T09:13:14.000,REPLACE MANHOLE CASTING,SA26
1274263,2006-08-17T08:00:02.000,REPAIR CONNECTION,SA25
843073268,2015-05-07T10:18:45.000,VACTOR SEWER,SVAC
843073274,2015-05-07T10:25:54.000,VACTOR SEWER,SVAC
843016173,2015-01-16T09:29:18.000,CHRONIC SBU INSPECTION AREA,SCSBUI
842848150,2014-03-03T10:46:10.000,REPLACE MANHOLE CASTING,SA26
1520329,2007-10-25T17:32:31.000,REPAIR CONNECTION,SA25
843085144,2014-05-16T15:49:12.000,APPLY HOT PATCH,WA12I
843085146,2014-09-30T08:08:52.000,APPLY HOT PATCH,WA12I
846906,2004-04-10T14:52:54.000,REPAIR CONNECTION,SA25
843043397,2015-03-25T10:17:54.000,ISSUE DEFECTIVE HOUSE CONNECT.,SDHC
1172097,2005-12-29T12:32:33.000,REPAIR CONNECTION,SA25
1512137,2007-10-10T18:37:22.000,REPAIR CONNECTION,SA25
843195028,2016-01-08T12:27:26.000,ROD CATCH BASIN CONNECTION,SCR
843086836,2015-06-06T12:16:42.000,POLE CAMERA,SMPC
842392638,2012-01-18T14:47:13.000,REPAIR CONNECTION,SA25
1518793,2007-10-23T19:28:11.000,REPAIR CONNECTION,SA25
1618472,2008-04-28T10:13:35.000,RELOCATE HYDRANT BY D.E.P,WA12B
843083350,2014-07-28T17:39:45.000,APPLY HOT PATCH,WA12I
842101351,2010-07-10T15:11:30.000,REPLACE MANHOLE CASTING,SA26
843073003,2015-05-06T14:07:36.000,CLEAN CATCH BASIN/INLET,SCC
842724005,2010-09-05T10:30:24.000,Install Steel Plate,SPLATE
842883076,2014-04-25T09:50:55.000,REPAIR BASIN-MAJOR,SA24
843141581,2015-09-28T09:48:50.000,REPAIR BASIN-MAJOR,SA24
252588,2002-05-05T17:07:11.000,REPAIR VALVE- NOTE SIZE,WA09
1468460,2007-07-11T20:11:10.000,REPAIR VALVE- NOTE SIZE,WA09
843508252,2016-11-01T11:10:03.000,APPLY HOT PATCH,WA12I
843077386,2015-05-18T11:07:47.000,REPLACE MANHOLE CASTING,SA26
1301968,2006-09-08T10:01:13.000,REPAIR CONNECTION,SA25
1638697,2008-06-05T08:59:24.000,RESET/REPLACE VALVE BOX,WA10
1563109,2008-01-11T21:58:50.000,REPAIR CONNECTION,SA25
842962521,2014-09-11T16:13:56.000,REPLACE MANHOLE CASTING,SA26
842809329,2013-12-15T08:29:42.000,REPLACE MANHOLE CASTING,SA26
1513720,2007-10-14T18:38:36.000,REPAIR SEWER BREAK (CONTRACT.),SRB
843053696,2015-04-20T14:48:08.000,LINE SEWER (CONTRACTOR),SRL
843054406,2015-04-22T09:33:32.000,REPAIR JOINT LEAK,WA06J
842969639,2014-09-30T10:05:08.000,REPAIR BASIN-MAJOR,SA24
841858735,2009-07-17T11:44:18.000,REPAIR CONNECTION,SA25
842877752,2014-04-11T00:03:22.000,APPLY HOT PATCH,WA12I
1780489,2008-12-02T13:48:23.000,FLUSH HYDRANTS IN AREA,WHF
843195237,2016-01-10T07:17:34.000,SCAN WATER MAINS- LEAK DET.,WLDSC
843145368,2014-08-29T08:39:50.000,APPLY HOT PATCH,WA12I
843839805,2017-09-08T13:17:44.000,REPAIR SEWER BREAK (CONTRACT.),SRB
822636,2004-02-06T10:23:48.000,REPAIR CONNECTION,SA25
843076906,2015-05-16T10:34:01.000,REPAIR HYDRANT-MAJOR,WA02
842188414,2010-12-16T10:05:43.000,REPAIR CONNECTION,SA25
842983717,2014-10-27T10:04:55.000,ISSUE DEFECTIVE HOUSE CONNECT.,SDHC
843271801,2016-05-20T18:25:11.000,CLEAN CATCH BASIN/INLET,SCC
842908773,2014-06-17T10:11:26.000,REPAIR SEWER BREAK (CONTRACT.),SRB
134049,2000-11-07T10:16:04.000,REPLACE MANHOLE CASTING,SA26
843117250,2015-08-17T09:33:27.000,POLE CAMERA,SMPC
841889576,2009-09-10T10:36:30.000,RESET/REPLACE VALVE BOX,WA10
843203379,2016-01-25T22:45:03.000,APPLY HOT PATCH,WA12I
843106933,2015-07-15T09:24:17.000,CAVE IN RESTORATION,SA12R
843078719,2015-05-19T09:31:47.000,REPLACE DAMAGED/MISSING COVER,SMCR
843071840,2015-05-04T10:38:10.000,REPAIR SEWER BREAK (CONTRACT.),SRB
