workorder_added,time_stamp,workorder_started
2015-06-29T23:25:53.000,2015-12-15T00:45:10.000,2015-12-13T08:00:00.000
2014-07-28T17:39:45.000,2015-07-16T00:45:12.000,2015-07-14T10:50:00.000
2015-04-20T14:48:08.000,2015-06-26T00:45:06.000,2015-05-07T00:00:00.000
2013-11-25T08:06:35.000,2015-07-14T00:46:02.000,2015-07-11T01:00:00.000
2013-06-30T14:49:18.000,2015-11-10T00:45:07.000,
2008-12-02T13:48:23.000,2016-02-18T00:45:01.000,2016-02-17T17:41:00.000
2005-05-12T10:20:10.000,2015-09-11T00:45:08.000,2015-09-10T00:00:00.000
2013-12-22T19:59:15.000,2015-07-12T00:45:56.000,
2014-06-17T10:11:26.000,2016-11-20T00:45:02.000,
2012-03-22T08:28:15.000,2016-04-15T00:45:04.000,2016-03-07T11:15:00.000
2006-08-09T08:24:12.000,2015-07-07T00:45:01.000,
2013-12-20T09:11:30.000,2015-09-25T00:45:09.000,2015-09-15T11:40:00.000
2012-05-30T09:00:19.000,2016-01-27T00:45:02.000,2016-01-25T00:20:00.000
2010-09-24T16:56:27.000,2015-10-28T00:45:05.000,2015-10-27T16:58:00.000
2015-11-17T11:38:13.000,2016-01-13T00:45:02.000,2016-01-06T17:15:00.000
2014-10-15T11:37:05.000,2016-01-06T00:45:01.000,2015-12-31T17:00:00.000
2016-01-05T11:50:37.000,2016-01-27T00:45:02.000,2016-01-25T01:00:00.000
2014-01-24T09:41:57.000,2015-09-17T00:45:09.000,2015-09-16T00:00:00.000
2016-01-29T09:00:41.000,2016-03-02T00:45:03.000,2016-02-17T07:00:00.000
2005-06-07T15:57:39.000,2015-07-07T00:45:01.000,
2006-08-03T12:59:10.000,2015-07-15T00:45:06.000,
2012-04-02T10:34:29.000,2016-04-15T00:45:04.000,2016-03-07T08:30:00.000
2014-05-08T15:11:52.000,2015-05-05T00:45:08.000,2015-05-02T16:15:00.000
2008-01-11T21:58:50.000,2015-10-01T00:45:07.000,
2005-02-16T11:18:09.000,2015-07-07T00:45:01.000,
2015-07-08T09:40:44.000,2017-01-31T00:45:02.000,2016-12-23T10:45:00.000
2008-05-28T17:33:02.000,2015-10-01T00:45:07.000,
2014-04-23T13:47:23.000,2017-01-10T00:45:01.000,2016-11-29T00:00:00.000
2015-01-06T07:58:16.000,2015-08-04T00:45:09.000,2015-06-26T07:00:00.000
2015-01-13T10:34:45.000,2015-05-08T00:45:09.000,2015-05-05T11:50:00.000
2015-08-07T10:00:21.000,2016-01-12T00:45:01.000,2016-01-03T00:15:00.000
2007-10-10T18:37:22.000,2015-10-01T00:45:07.000,
2009-12-14T09:14:24.000,2016-02-18T00:45:01.000,2016-02-17T17:49:00.000
2015-05-07T10:18:45.000,2015-05-08T00:45:09.000,2015-05-05T09:15:00.000
2014-11-19T11:06:55.000,2016-03-07T00:45:02.000,2016-03-02T08:15:00.000
2014-04-17T14:06:00.000,2015-12-16T00:46:28.000,2015-12-14T00:00:00.000
2015-05-04T10:38:10.000,2015-06-26T00:45:06.000,2015-05-27T00:00:00.000
2014-04-04T09:53:32.000,2015-07-15T00:45:06.000,
2015-05-19T09:31:47.000,2015-05-20T00:45:09.000,2015-05-14T10:50:00.000
2014-09-17T10:32:57.000,2015-07-02T00:45:13.000,
2010-06-09T17:08:11.000,2015-07-07T00:45:01.000,
2015-12-04T05:28:02.000,2015-12-22T00:45:01.000,2015-12-10T10:30:00.000
2015-11-11T06:01:35.000,2016-01-13T00:45:02.000,2016-01-06T10:30:00.000
2012-01-18T14:47:13.000,2016-04-13T00:45:03.000,
2004-02-06T10:23:48.000,2015-11-10T00:45:07.000,
2013-07-18T11:38:09.000,2015-05-14T00:45:08.000,
2012-01-05T10:49:37.000,2015-08-24T00:45:39.000,2015-08-13T18:30:00.000
2015-06-06T09:44:58.000,2015-06-16T00:45:01.000,2015-05-08T07:00:00.000
2014-04-25T09:50:55.000,2015-05-03T00:45:11.000,
2015-03-10T08:44:02.000,2015-05-29T00:45:03.000,2015-05-20T14:00:00.000
2014-11-26T11:07:02.000,2016-03-17T00:45:02.000,2016-03-15T11:35:00.000
2010-09-05T10:30:24.000,2016-03-01T00:45:01.000,2016-02-18T09:55:00.000
2014-04-16T01:14:50.000,2015-08-10T00:45:08.000,2015-07-11T10:25:00.000
2004-07-16T10:00:04.000,2015-07-07T00:45:01.000,
2010-12-16T10:05:43.000,2015-11-10T00:45:07.000,
2005-08-19T15:57:52.000,2016-01-05T00:45:02.000,2015-12-24T00:00:00.000
2015-04-05T11:34:42.000,2016-06-02T00:45:06.000,2016-05-26T13:35:00.000
2014-12-05T11:24:42.000,2015-05-13T00:45:10.000,2015-05-11T08:00:00.000
2016-08-01T18:24:28.000,2016-08-02T00:45:02.000,2016-07-01T09:25:00.000
2005-04-19T14:22:41.000,2015-10-01T00:45:07.000,
2013-07-30T10:15:00.000,2016-02-08T00:45:02.000,2016-02-02T11:00:00.000
2013-12-15T08:29:42.000,2015-11-04T00:45:11.000,2015-11-01T21:00:00.000
2008-02-14T09:51:44.000,2016-09-04T00:45:04.000,
2014-09-30T08:08:52.000,2015-07-21T00:45:08.000,2015-07-17T10:40:00.000
2013-08-06T10:09:57.000,2015-11-10T00:45:07.000,
2015-04-01T09:30:36.000,2020-02-20T00:50:02.000,2020-02-15T11:00:00.000
2006-09-15T16:21:33.000,2015-07-15T00:45:06.000,
2016-08-01T20:16:49.000,2016-08-02T00:45:02.000,2016-06-30T08:30:00.000
2014-08-25T12:40:47.000,2015-07-16T00:45:12.000,2015-07-14T13:50:00.000
2015-10-19T10:29:04.000,2015-12-10T00:45:02.000,2015-11-18T07:00:00.000
2014-01-03T12:19:40.000,2015-08-10T00:45:08.000,2015-07-11T01:15:00.000
2006-09-29T13:48:11.000,2015-11-10T00:45:07.000,
2015-05-20T13:56:33.000,2015-06-02T00:45:08.000,2015-05-30T00:00:00.000
2014-10-27T10:04:55.000,2015-06-12T00:45:08.000,2015-06-06T10:40:00.000
2005-05-18T13:55:09.000,2015-10-01T00:45:07.000,
2015-05-13T08:39:09.000,2015-05-31T00:45:08.000,2015-05-19T09:35:00.000
