workorder_number,svc_request_number
842385822,185362066
842880384,185732254
843049539,185909686
843193648,185630039
1565336,1799980
1512137,1710703
1638697,1902780
843054406,185909214
842891376,185740959
843038006,185896166
1266029,1406024
1038862,1047116
843083350,185785831
1274263,1401968
843086836,185907074
842352749,185236437
842108663,185082366
1563109,1746723
842751060,185625992
843010807,185737790
160597,280999
843133333,185844786
842993884,185840401
843007118,184959640
842882322,895478
843055506,185918731
842767215,185642170
843071840,185919251
842398115,185374727
842085571,185046986
842001861,184970233
158700,278083
843454705,185535341
843079693,185856231
842469594,185415913
842437073,185393372
1713331,1961489
842762063,185634611
843079466,185633451
1468460,1664938
843043397,185902010
843271801,186086453
842878342,185730825
1062168,1069857
842935687,185786817
843454734,185529045
842744025,185613867
843169492,186041733
1518793,1748784
843038259,185849012
843089280,428803
842724005,185108060
843019155,185869375
842453314,185406229
843147867,185889415
842832322,185692604
252588,430623
843049541,185900425
1577629,1829273
841840973,184855079
841794996,184831797
842899596,185753111
842752220,185599276
1119824,1174902
843195028,186045347
843114108,185983169
1304674,1448262
843251840,185877336
842978809,185827327
843106933,185767118
843176679,186047917
842001863,184963463
843247532,186041733
842825078,185674706
843177936,186049996
842818955,185676855
1513720,1573059
842734428,185604106
843075276,185902687
1066967,1065856
842848150,185707676
843038013,185801511
842949172,185758862
134049,226714
843096230,185788753
846906,786636
842873190,185725261
1563281,1775443
843073003,185730229
842142546,185119600
1052680,1077295
843017788,185842473
1780489,2011048
842101351,185073840
1418784,1618072
843168041,186040864
1636309,1796441
843141581,186015120
843045874,185788774
843095716,185721978
842879393,185725945
842944397,185799080
843454743,185537818
1797043,2044719
843165481,186037881
1060372,1088352
1634976,1790207
822636,737629
842877752,185728288
843508252,185909049
843195473,186060766
842883076,185734380
843078719,185857880
842819953,185679684
843086787,185847272
843219920,186058671
100322,168089
1172097,1257177
843001110,185851241
842164689,185135058
843203379,185630039
842795951,185670238
843077268,185926711
843053696,185633432
843073716,185858083
843040730,185901607
843047233,185645826
843839805,186306842
842969639,185785952
842983717,185800990
842878660,185722182
841858735,184854629
842733412,185595794
1054581,1059664
841889576,184916933
842466086,185416211
843040342,185653025
843073274,185673001
841970994,184960100
843145368,185807441
842763911,185641231
843085146,185821732
842142916,185121491
843073268,185835645
842955121,185592134
843075852,185839652
843077386,185934897
841893646,184904740
1520329,1745138
1621813,1876596
842834388,185696068
842808321,185675543
758088,687966
1804493,2046424
842875097,185725986
843082323,185853762
843457767,1575554
1006805,1011746
843079470,185633451
843117250,185972833
842757522,185631393
1618472,1871038
842768355,185644592
843041080,185899209
1309976,1454110
842694828,185582655
843085144,185736403
842392638,185363670
842442770,185395701
843204490,185809462
843016173,185868409
1269531,1418011
1105472,1159332
843195237,186061331
842962521,185813317
843104755,185921498
843014860,185846135
1504131,1600186
1271472,1391109
842987632,185837981
1301968,1432457
895401,860449
843108333,185818219
842964459,185694605
843819779,186130869
843101415,185959815
843079691,185928347
1624702,1860546
1634990,1758211
842809329,185677305
842941270,185785500
843115796,185967037
843103794,185786750
843473787,186186324
843154182,186026743
843006721,185799636
842188414,185101381
842908773,1575554
843076906,185898633
842966552,185814075
