calcium_mg_l,ortho_phosphate_mg_l
7.9,2.17
6.8,1.91
6.59,1.95
6.41,2.12
6.56,2.09
7.6,2.11
,2.01
6.5,1.99
6.79,1.97
7.05,2.08
5.35,2.44
6.44,1.95
6.59,2.09
6.29,2.56
6.28,2.4
7.6,2.1
5.21,2.07
6.8,1.93
5.61,2.44
6.3,2.0
12.0,2.12
6.23,2.39
17.0,2.03
23.0,2.1
8.2,1.91
9.27,2.13
5.73,2.07
6.4,1.98
6.52,1.98
6.54,1.97
7.87,2.92
7.1,1.96
,2.16
6.17,2.41
5.54,2.03
5.36,1.94
6.43,2.2
6.47,1.97
21.0,2.2
6.3,1.99
6.46,1.96
6.7,3.44
7.7,1.9
7.8,2.13
5.57,2.47
7.54,2.04
6.16,2.35
6.39,1.97
6.37,2.55
7.9,2.14
4.96,2.5
22.0,1.91
7.03,1.97
20.14,2.23
,1.99
,2.14
7.0,1.88
8.84,2.5
6.8,1.94
7.7,2.16
7.7,2.13
7.5,2.05
7.29,2.1
6.5,3.31
7.26,2.1
,2.1
7.7,2.1
14.73,2.47
6.86,2.39
6.5,1.98
17.0,2.01
5.41,2.44
5.26,2.08
6.6,1.97
7.2,2.03
5.43,2.46
,2.01
21.0,1.82
6.25,2.48
8.2,2.12
4.99,2.72
14.0,2.13
5.55,2.04
6.5,1.96
6.7,1.99
7.9,2.15
19.69,2.19
4.9,2.5
20.57,2.11
5.42,2.5
5.42,2.04
6.9,1.89
6.3,1.99
12.0,1.94
6.69,2.06
6.33,2.39
,2.13
6.22,2.41
6.6,1.97
5.29,2.05
7.1,1.92
6.34,2.5
7.0,1.93
6.37,2.15
6.8,1.93
5.29,2.51
6.69,2.01
6.42,2.02
6.16,2.43
7.0,1.91
5.27,1.97
5.46,2.12
6.7,1.94
,2.07
6.3,1.98
7.08,2.06
7.4,2.05
7.8,2.15
4.9,2.45
6.4,1.96
4.86,2.5
6.38,1.99
15.0,2.06
,2.0
6.2,2.15
,1.99
5.69,2.27
7.0,2.07
7.7,2.14
,2.0
6.8,1.91
6.26,2.55
7.0,1.93
6.47,2.09
14.19,2.49
13.0,2.12
6.4,1.98
,1.96
6.67,2.11
6.4,2.0
,2.07
23.0,2.3
7.8,2.15
6.47,1.97
6.9,1.95
6.59,2.12
5.44,2.06
,2.01
6.31,2.47
7.1,2.11
6.38,2.15
,2.02
6.6,2.0
5.26,2.44
7.0,1.92
5.34,2.46
6.4,1.94
10.36,2.47
6.96,2.39
10.15,
6.9,1.9
6.49,2.0
6.58,2.02
,3.27
5.08,2.54
6.23,2.4
,2.19
6.52,2.13
7.4,1.97
6.95,2.08
6.4,1.96
12.0,2.1
7.1,1.91
,2.01
6.3,1.99
6.9,1.94
10.02,2.42
14.0,2.1
19.68,2.17
7.6,2.13
6.91,2.25
20.0,2.13
8.0,2.14
6.5,1.99
6.47,2.2
6.4,2.42
7.7,2.14
8.0,1.97
7.02,2.33
,2.02
8.2,2.05
6.52,2.08
6.37,1.98
7.7,2.16
6.47,2.21
7.7,2.13
9.2,
7.01,2.09
7.9,2.14
6.24,2.43
