csd,service_category_k_9_only_,data_source,core_subject_ms_core_and_9_12_only_
1,-,ATS,SOCIAL STUDIES
1,-,ATS,-
1,-,ATS,-
1,12:1,ATS,-
1,-,ATS,-
1,12:1,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,HSST,ENGLISH
1,-,ATS,MATH
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,HSST,SOCIAL STUDIES
1,-,ATS,-
1,12:1:1,ATS,-
1,-,ATS,SCIENCE
1,12:1:1,ATS,-
1,-,ATS,-
1,12:1,ATS,-
1,12:1,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,HSST,MATH
1,-,ATS,-
1,-,HSST,SCIENCE
1,-,HSST,MATH
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,HSST,MATH
1,-,HSST,ENGLISH
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,HSST,ENGLISH
1,-,HSST,ENGLISH
1,-,ATS,-
1,-,ATS,-
1,-,HSST,MATH
1,12:1:1,ATS,-
1,-,ATS,-
1,12:1:1,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,HSST,SCIENCE
1,-,ATS,-
1,-,ATS,-
1,-,HSST,SOCIAL STUDIES
1,-,HSST,MATH
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,SCIENCE
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,12:1:1,ATS,-
1,12:1:1,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,HSST,ENGLISH
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,ENGLISH
1,-,ATS,-
1,-,HSST,SOCIAL STUDIES
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,12:1,ATS,-
1,12:1,ATS,-
1,-,ATS,-
1,-,HSST,ENGLISH
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,HSST,SOCIAL STUDIES
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,MATH
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,HSST,MATH
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,MATH
1,-,ATS,-
1,-,ATS,ENGLISH
1,-,HSST,MATH
1,-,HSST,SOCIAL STUDIES
1,-,ATS,-
1,-,HSST,SCIENCE
1,-,ATS,-
1,-,HSST,ALL SUBJECTS
1,12:1:1,ATS,-
1,-,HSST,SOCIAL STUDIES
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,ENGLISH
1,-,ATS,SCIENCE
1,-,ATS,-
1,-,ATS,-
1,12:1,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,12:1:1,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,HSST,ENGLISH
1,-,HSST,SOCIAL STUDIES
1,12:1:1,ATS,-
1,-,ATS,SOCIAL STUDIES
1,-,ATS,SOCIAL STUDIES
1,-,ATS,-
1,12:1,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,HSST,SCIENCE
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,ENGLISH
1,-,ATS,-
1,-,HSST,SOCIAL STUDIES
1,-,ATS,-
1,-,ATS,-
1,12:1,ATS,-
1,-,ATS,-
1,-,ATS,MATH
1,-,ATS,SCIENCE
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,-
1,-,ATS,SOCIAL STUDIES
1,-,ATS,-
1,12:1:1,ATS,-
1,-,ATS,-
1,-,ATS,-
