size_of_largest_class,size_of_smallest_class,average_class_size,school_name,school_code
35.0,21.0,27.0,P.S. 188 THE ISLAND SCHOOL,M188
27.0,27.0,27.0,P.S. 019 ASHER LEVY,M019
27.0,27.0,27.0,P.S. 140 NATHAN STRAUS,M140
21.0,21.0,5.0,P.S. 019 ASHER LEVY,M019
18.0,17.0,17.7,P.S. 142 AMALIA CASTRO,M142
9.0,3.0,5.7,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
17.0,13.0,15.0,P.S. 137 JOHN L. BERNSTEIN,M137
22.0,22.0,22.0,P.S. 034 FRANKLIN D. ROOSEVELT,M034
25.0,22.0,23.5,P.S. 020 ANNA SILVER,M020
24.0,24.0,24.0,P.S. 034 FRANKLIN D. ROOSEVELT,M034
20.0,20.0,20.0,P.S. 184M SHUANG WEN,M184
20.0,20.0,20.0,P.S. 110 FLORENCE NIGHTINGALE,M110
27.0,25.0,26.0,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
33.0,23.0,27.8,P.S. 034 FRANKLIN D. ROOSEVELT,M034
21.0,21.0,21.0,P.S. 110 FLORENCE NIGHTINGALE,M110
22.0,22.0,22.0,P.S. 015 ROBERTO CLEMENTE,M015
21.0,21.0,21.0,P.S. 064 ROBERT SIMON,M064
15.0,12.0,13.5,P.S. 063 WILLIAM MCKINLEY,M063
28.0,6.0,20.5,TECHNOLOGY ARTS AND SCIENCES STUDIO,M301
22.0,22.0,22.0,P.S. 140 NATHAN STRAUS,M140
11.0,11.0,10.0,P.S. 140 NATHAN STRAUS,M140
32.0,11.0,22.0,P.S. 140 NATHAN STRAUS,M140
10.0,9.0,9.7,P.S. 020 ANNA SILVER,M020
18.0,17.0,17.5,P.S. 140 NATHAN STRAUS,M140
10.0,9.0,9.5,P.S. 064 ROBERT SIMON,M064
11.0,11.0,11.0,P.S. 140 NATHAN STRAUS,M140
28.0,28.0,28.0,P.S. 110 FLORENCE NIGHTINGALE,M110
16.0,16.0,16.0,P.S. 015 ROBERTO CLEMENTE,M015
27.0,27.0,27.0,P.S. 110 FLORENCE NIGHTINGALE,M110
28.0,6.0,20.5,TECHNOLOGY ARTS AND SCIENCES STUDIO,M301
20.0,20.0,20.0,P.S. 137 JOHN L. BERNSTEIN,M137
29.0,16.0,23.0,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
20.0,19.0,19.3,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
23.0,21.0,22.0,P.S. 142 AMALIA CASTRO,M142
22.0,21.0,21.5,P.S. 019 ASHER LEVY,M019
20.0,16.0,18.0,P.S. 019 ASHER LEVY,M019
26.0,26.0,26.0,P.S. 188 THE ISLAND SCHOOL,M188
20.0,20.0,20.0,P.S. 063 WILLIAM MCKINLEY,M063
30.0,28.0,29.0,P.S. 184M SHUANG WEN,M184
15.0,15.0,15.0,P.S. 063 WILLIAM MCKINLEY,M063
22.0,22.0,22.0,P.S. 064 ROBERT SIMON,M064
17.0,17.0,17.0,P.S. 064 ROBERT SIMON,M064
33.0,33.0,33.0,P.S. 034 FRANKLIN D. ROOSEVELT,M034
26.0,26.0,26.0,P.S. 034 FRANKLIN D. ROOSEVELT,M034
19.0,19.0,19.0,P.S. 188 THE ISLAND SCHOOL,M188
29.0,29.0,29.0,P.S. 110 FLORENCE NIGHTINGALE,M110
31.0,27.0,29.0,P.S. 140 NATHAN STRAUS,M140
27.0,27.0,27.0,P.S. 142 AMALIA CASTRO,M142
22.0,15.0,19.0,P.S. 134 HENRIETTA SZOLD,M134
24.0,20.0,21.7,P.S. 020 ANNA SILVER,M020
25.0,25.0,25.0,P.S. 188 THE ISLAND SCHOOL,M188
16.0,16.0,16.0,P.S. 140 NATHAN STRAUS,M140
16.0,16.0,16.0,P.S. 015 ROBERTO CLEMENTE,M015
12.0,12.0,12.0,P.S. 063 WILLIAM MCKINLEY,M063
21.0,20.0,20.7,P.S. 184M SHUANG WEN,M184
24.0,24.0,24.0,P.S. 188 THE ISLAND SCHOOL,M188
28.0,22.0,25.5,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
28.0,6.0,20.5,TECHNOLOGY ARTS AND SCIENCES STUDIO,M301
23.0,19.0,21.5,P.S. 020 ANNA SILVER,M020
21.0,21.0,21.0,P.S. 019 ASHER LEVY,M019
25.0,23.0,23.8,P.S. 020 ANNA SILVER,M020
17.0,16.0,16.5,P.S. 137 JOHN L. BERNSTEIN,M137
23.0,23.0,23.0,P.S. 015 ROBERTO CLEMENTE,M015
24.0,24.0,24.0,P.S. 142 AMALIA CASTRO,M142
21.0,21.0,21.0,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
31.0,5.0,16.8,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
26.0,26.0,26.0,P.S. 110 FLORENCE NIGHTINGALE,M110
17.0,17.0,17.0,P.S. 188 THE ISLAND SCHOOL,M188
12.0,12.0,12.0,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
11.0,11.0,11.0,P.S. 063 WILLIAM MCKINLEY,M063
29.0,29.0,29.0,P.S. 188 THE ISLAND SCHOOL,M188
13.0,13.0,12.0,P.S. 142 AMALIA CASTRO,M142
24.0,23.0,23.5,P.S. 019 ASHER LEVY,M019
25.0,25.0,25.0,P.S. 020 ANNA SILVER,M020
27.0,24.0,25.5,TECHNOLOGY ARTS AND SCIENCES STUDIO,M301
25.0,25.0,25.0,P.S. 140 NATHAN STRAUS,M140
28.0,6.0,20.5,TECHNOLOGY ARTS AND SCIENCES STUDIO,M301
32.0,32.0,32.0,P.S. 140 NATHAN STRAUS,M140
19.0,18.0,18.5,P.S. 034 FRANKLIN D. ROOSEVELT,M034
25.0,17.0,20.7,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
22.0,17.0,19.3,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
18.0,14.0,16.0,P.S. 140 NATHAN STRAUS,M140
20.0,20.0,20.0,P.S. 110 FLORENCE NIGHTINGALE,M110
27.0,26.0,26.5,P.S. 184M SHUANG WEN,M184
33.0,23.0,27.8,P.S. 034 FRANKLIN D. ROOSEVELT,M034
25.0,25.0,25.0,P.S. 064 ROBERT SIMON,M064
22.0,21.0,21.3,P.S. 184M SHUANG WEN,M184
25.0,25.0,25.0,P.S. 110 FLORENCE NIGHTINGALE,M110
20.0,20.0,20.0,P.S. 188 THE ISLAND SCHOOL,M188
10.0,7.0,8.0,P.S. 137 JOHN L. BERNSTEIN,M137
21.0,21.0,21.0,P.S. 019 ASHER LEVY,M019
30.0,30.0,30.0,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
19.0,18.0,18.5,P.S. 034 FRANKLIN D. ROOSEVELT,M034
27.0,24.0,25.3,TECHNOLOGY ARTS AND SCIENCES STUDIO,M301
27.0,27.0,27.0,P.S. 110 FLORENCE NIGHTINGALE,M110
30.0,11.0,20.0,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
19.0,19.0,19.0,P.S. 064 ROBERT SIMON,M064
20.0,16.0,18.0,P.S. 015 ROBERTO CLEMENTE,M015
28.0,28.0,28.0,P.S. 184M SHUANG WEN,M184
21.0,21.0,21.0,P.S. 140 NATHAN STRAUS,M140
22.0,21.0,21.5,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
22.0,22.0,22.0,P.S. 020 ANNA SILVER,M020
35.0,21.0,27.0,P.S. 188 THE ISLAND SCHOOL,M188
19.0,19.0,19.0,P.S. 015 ROBERTO CLEMENTE,M015
18.0,18.0,18.0,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
22.0,22.0,22.0,P.S. 110 FLORENCE NIGHTINGALE,M110
27.0,27.0,27.0,P.S. 110 FLORENCE NIGHTINGALE,M110
18.0,16.0,17.0,P.S. 034 FRANKLIN D. ROOSEVELT,M034
13.0,13.0,13.0,P.S. 142 AMALIA CASTRO,M142
10.0,2.0,6.0,P.S. 034 FRANKLIN D. ROOSEVELT,M034
28.0,27.0,27.5,P.S. 134 HENRIETTA SZOLD,M134
22.0,16.0,20.0,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
27.0,24.0,25.5,TECHNOLOGY ARTS AND SCIENCES STUDIO,M301
19.0,19.0,19.0,P.S. 188 THE ISLAND SCHOOL,M188
31.0,31.0,31.0,P.S. 034 FRANKLIN D. ROOSEVELT,M034
17.0,13.0,14.7,HENRY STREET SCHOOL FOR INTERNATIONAL ST,M292
17.0,17.0,17.0,P.S. 110 FLORENCE NIGHTINGALE,M110
