grade_,number_of_classes
MS CORE,6
03,1
05,1
0K-09,1
01,3
0K-09,3
0K,2
05,1
02,4
06,1
02,4
02,1
09-12,2
MS CORE,6
03,1
01,1
03,1
04,2
MS CORE,11
04,1
0K-09,1
MS CORE,9
0K-09,3
0K,2
0K-09,2
0K-09,1
0K,1
03,2
05,1
MS CORE,11
05,1
09-12,14
09-12,4
02,2
05,2
01,2
03,1
03,1
05,2
02,1
05,1
0K,1
08,1
07,1
02,1
01,1
06,2
05,1
01,3
01,3
07,1
04,1
02,2
02,1
01,3
05,1
09-12,6
MS CORE,11
05,4
02,1
03,4
01,2
05,1
0K,2
09-12,1
MS CORE,10
02,1
02,1
09-12,1
0K-09,1
08,1
0K-09,1
04,2
04,1
06,2
07,1
MS CORE,11
07,1
04,2
09-12,3
09-12,3
03,2
03,1
08,2
MS CORE,6
02,1
0K,3
0K,1
03,1
0K-09,4
0K-09,1
08,2
03,2
07,3
01,1
09-12,4
04,2
04,2
07,2
01,1
07,2
01,1
MS CORE,6
05,1
09-12,1
03,1
05,1
02,2
0K-09,1
0K-09,2
05,2
09-12,4
08,2
06,1
08,1
06,3
0K,1
06,1
09-12,5
02,1
03,1
01,1
MS CORE,7
07,1
0K,1
0K,1
05,1
09-12,1
06,1
04,1
04,2
0K,1
02,1
0K,1
MS CORE,7
01,1
MS CORE,6
MS CORE,10
MS CORE,10
04,2
MS CORE,10
01,1
09-12,1
0K-09,1
09-12,4
04,2
0K,2
03,1
05,1
04,1
07,1
04,3
MS CORE,6
MS CORE,6
04,3
04,1
0K-09,3
06,1
01,1
03,3
0K-09,1
05,1
03,1
09-12,3
09-12,2
0K-09,1
MS CORE,6
MS CORE,7
02,1
0K-09,2
01,2
0K,1
0K,1
09-12,8
04,1
06,2
03,3
03,3
0K,3
01,1
MS CORE,7
0K,3
09-12,-2
05,2
02,2
0K-09,1
01,1
MS CORE,6
MS CORE,6
0K,1
08,1
02,1
01,1
08,2
02,1
MS CORE,6
01,1
0K-09,1
03,1
02,2
