core_course_ms_core_and_9_12_only_,program_type
-,GEN ED
-,GEN ED
-,GEN ED
-,SPEC ED
-,GEN ED
-,SPEC ED
-,GEN ED
-,GEN ED
-,GEN ED
-,CTT
-,GEN ED
-,CTT
ENGLISH 12,GEN ED
-,GEN ED
-,G&T
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,CTT
-,SPEC ED
-,GEN ED
-,SPEC ED
-,GEN ED
-,SPEC ED
-,SPEC ED
-,GEN ED
-,GEN ED
-,G&T
-,GEN ED
-,GEN ED
EARTH SCIENCE,GEN ED
MATH B,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,CTT
-,CTT
-,GEN ED
-,CTT
-,CTT
-,GEN ED
-,CTT
-,GEN ED
-,GEN ED
-,G&T
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
ALGEBRA,GEN ED
-,GEN ED
-,GEN ED
-,CTT
-,GEN ED
-,GEN ED
-,CTT
-,GEN ED
OTHER,GEN ED
-,GEN ED
-,GEN ED
-,CTT
MATH A,GEN ED
-,SPEC ED
-,CTT
-,SPEC ED
-,GEN ED
-,CTT
-,GEN ED
-,CTT
-,GEN ED
-,GEN ED
-,GEN ED
US HISTORY,GEN ED
GEOMETRY,GEN ED
-,GEN ED
-,CTT
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,CTT
-,GEN ED
-,SPEC ED
-,SPEC ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
ENGLISH 10,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,CTT
-,GEN ED
-,GEN ED
OTHER,GEN ED
-,GEN ED
-,CTT
-,GEN ED
-,SPEC ED
-,SPEC ED
-,GEN ED
ENGLISH 9,GEN ED
-,GEN ED
-,CTT
-,GEN ED
-,GEN ED
-,G&T
-,GEN ED
GLOBAL HISTORY 9,GEN ED
-,CTT
-,CTT
-,G&T
-,GEN ED
-,CTT
-,GEN ED
-,CTT
-,CTT
OTHER,GEN ED
-,CTT
-,GEN ED
-,GEN ED
-,CTT
-,G&T
-,CTT
-,GEN ED
-,CTT
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
ASSUMED TEAM TEACHING,CTT
-,SPEC ED
GLOBAL HISTORY 10,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,CTT
-,CTT
-,CTT
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,G&T
-,SPEC ED
-,GEN ED
-,CTT
-,GEN ED
-,SPEC ED
-,GEN ED
-,CTT
ENGLISH 11,GEN ED
US GOVERNMENT,GEN ED
-,SPEC ED
-,GEN ED
-,GEN ED
-,CTT
-,SPEC ED
-,GEN ED
-,GEN ED
-,CTT
LIVING ENVIRONMENT,GEN ED
-,CTT
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
MATCHED SECTIONS,GEN ED
-,GEN ED
-,GEN ED
-,SPEC ED
-,CTT
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,CTT
-,GEN ED
-,GEN ED
-,GEN ED
-,GEN ED
-,SPEC ED
-,GEN ED
-,GEN ED
