post_date,statussummary
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Submit HHS Accelerator Application; Create PASSPort Account; Complete Capacity Building Training; Pending City Council Clearance;
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Submit HHS Accelerator Application; Create PASSPort Account; Complete Capacity Building Training; Pending City Council Clearance;
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
2021-06-09T00:00:00.000,Cleared - Contact Contracting Agency
