agency,vendor_name
MOCJ,"Sanctuary for Families, Inc."
DYCD,Wildcat Service Corporation
DYCD,"Hispanic Federation, Inc."
DYCD,"New York Common Pantry, Inc."
MOCJ,"Not On My Watch, Inc."
DYCD,"Myrtle Avenue Brooklyn DMA, Inc."
DYCD,"West Side Center for Community Life, Inc."
DYCD,"Taplife Hero Foundation, Inc."
DYCD,"St. John's Bread and Life Program, Inc."
DYCD,"Korean American Family Service Center, The"
DYCD,Church of the Holy Apostles
DFTA,"Services Now for Adult Persons (SNAP), Inc."
DYCD,"Jewish Community Council of the Rockaway Peninsula, Inc."
DYCD,"HOPE Program, Inc., The"
DYCD,"Long Island Gay and Lesbian Youth, Inc."
DYCD,"Homecrest Community Services, Inc."
DYCD,"AbunDance Academy of the Arts, Inc."
DYCD,"Green Guerillas, Inc."
MOCJ,"New York Women's Chamber of Commerce, Inc."
MOCJ,"CAMBA, Inc."
DYCD,"HOPE Program, Inc., The"
DYCD,American Sephardi Federation
DYCD,Asiyah Women's Center
DYCD,Wildcat Service Corporation
DYCD,"Glow Community Center, Inc."
DFTA,"Lifestyles for the Disabled, Inc."
DYCD,Young Men's Christian Association of Greater New York
FDNY,"Throggs Neck Volunteer Ambulance Corp, Inc."
DYCD,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc."
DCLA,"Midori Foundation, Inc."
DYCD,"Fund for the City of New York, Inc."
DCLA,"Elite Learners, Inc."
DYCD,"Building 13 Association, Inc."
DCLA,"NIA Community Services Network, Inc."
DYCD,"Bartlett Foundation, The"
DYCD,"Greater Ridgewood Youth Council, Inc., The"
DYCD,"New Alternatives for Children, Inc."
DCLA,"Brooklyn Arts Council, Inc."
DYCD,Southside United Housing Development Fund Corporation
DCLA,"El Puente de Williamsburg, Inc."
DYCD,"Long Island Gay and Lesbian Youth, Inc."
DFTA,"Rochdale Village Social Services, Inc."
DYCD,"Catholic Charities Community Services, Archdiocese of New York"
DYCD,"Chinese American Planning Council, Inc."
DCLA,Council on the Arts and Humanities for Staten Island
DCLA,"Brooklyn Arts Council, Inc."
SBS,Queens Economic Development Corporation
DYCD,New York City H2O
