oid,latitude,longitude,provider,published_date
55,40.75278,-73.98164,SPECTRUM,2019-05-30T00:00:00.000
69,40.84112,-73.90548,ALTICEUSA,2019-05-30T00:00:00.000
151,40.82413,-73.94246,SPECTRUM,2019-05-30T00:00:00.000
156,40.82413,-73.94246,SPECTRUM,2019-05-30T00:00:00.000
159,40.82756,-73.92363,ALTICEUSA,2019-05-30T00:00:00.000
23,40.57355,-73.97737,ALTICEUSA,2019-05-30T00:00:00.000
33,40.59715,-73.99968,ALTICEUSA,2019-05-30T00:00:00.000
124,40.57863,-74.0768,SPECTRUM,2019-05-30T00:00:00.000
8,40.71025,-73.99798,SPECTRUM,2019-05-30T00:00:00.000
74,40.61775,-74.10819,SPECTRUM,2019-05-30T00:00:00.000
116,40.57575,-74.08068,SPECTRUM,2019-05-30T00:00:00.000
54,40.6561,-73.90276,ALTICEUSA,2019-05-30T00:00:00.000
89,40.8375,-73.89489,ALTICEUSA,2019-05-30T00:00:00.000
93,40.83806,-73.89348,ALTICEUSA,2019-05-30T00:00:00.000
152,40.82413,-73.94246,SPECTRUM,2019-05-30T00:00:00.000
97,40.83989,-73.89537,ALTICEUSA,2019-05-30T00:00:00.000
73,40.6173,-74.1063,AT&T,2019-05-30T00:00:00.000
130,40.62383,-73.98359,ALTICEUSA,2019-05-30T00:00:00.000
183,40.8278,-73.92857,ALTICEUSA,2019-05-30T00:00:00.000
157,40.82783,-73.92268,ALTICEUSA,2019-05-30T00:00:00.000
28,40.7016,-74.0149,AT&T,2019-05-30T00:00:00.000
155,40.82413,-73.94246,SPECTRUM,2019-05-30T00:00:00.000
39,40.59185,-74.13915,SPECTRUM,2019-05-30T00:00:00.000
3,40.57267,-73.98562,ALTICEUSA,2019-05-30T00:00:00.000
140,40.68992,-73.94647,ALTICEUSA,2019-05-30T00:00:00.000
131,40.62346,-73.98288,ALTICEUSA,2019-05-30T00:00:00.000
114,40.57999,-74.0759,SPECTRUM,2019-05-30T00:00:00.000
64,40.74827,-74.00207,SPECTRUM,2019-05-30T00:00:00.000
113,40.57958,-74.07636,SPECTRUM,2019-05-30T00:00:00.000
118,40.589,-74.0667,AT&T,2019-05-30T00:00:00.000
125,40.56837,-74.09064,SPECTRUM,2019-05-30T00:00:00.000
57,40.69673,-73.99035,SPECTRUM,2019-05-30T00:00:00.000
63,40.74827,-74.00207,SPECTRUM,2019-05-30T00:00:00.000
79,40.61824,-74.10721,SPECTRUM,2019-05-30T00:00:00.000
21,40.57353,-73.97756,ALTICEUSA,2019-05-30T00:00:00.000
59,40.768,-73.9712,AT&T,2019-05-30T00:00:00.000
85,40.83569,-73.90009,ALTICEUSA,2019-05-30T00:00:00.000
158,40.82744,-73.92301,ALTICEUSA,2019-05-30T00:00:00.000
51,40.6564,-73.9027,ALTICEUSA,2019-05-30T00:00:00.000
31,40.59759,-74.00111,ALTICEUSA,2019-05-30T00:00:00.000
154,40.82413,-73.94246,SPECTRUM,2019-05-30T00:00:00.000
4,40.57267,-73.98575,ALTICEUSA,2019-05-30T00:00:00.000
199,40.80501,-73.94488,SPECTRUM,2019-05-30T00:00:00.000
100,40.72987,-73.77384,SPECTRUM,2019-05-30T00:00:00.000
136,40.71979,-73.98147,SPECTRUM,2019-05-30T00:00:00.000
14,40.71025,-73.99798,SPECTRUM,2019-05-30T00:00:00.000
110,40.70977,-73.8356,SPECTRUM,2019-05-30T00:00:00.000
98,40.84011,-73.89522,ALTICEUSA,2019-05-30T00:00:00.000
177,40.73168,-73.86561,SPECTRUM,2019-05-30T00:00:00.000
43,40.693,-74.0019,AT&T,2019-05-30T00:00:00.000
126,40.56936,-74.08949,SPECTRUM,2019-05-30T00:00:00.000
107,40.81641,-73.834,ALTICEUSA,2019-05-30T00:00:00.000
128,40.57127,-74.08729,SPECTRUM,2019-05-30T00:00:00.000
46,40.69699,-73.99749,SPECTRUM,2019-05-30T00:00:00.000
19,40.73991,-73.73458,SPECTRUM,2019-05-30T00:00:00.000
120,40.57722,-74.07858,SPECTRUM,2019-05-30T00:00:00.000
175,40.73168,-73.86561,SPECTRUM,2019-05-30T00:00:00.000
9,40.71025,-73.99798,SPECTRUM,2019-05-30T00:00:00.000
67,40.71231,-74.00696,SPECTRUM,2019-05-30T00:00:00.000
137,40.69484,-73.91863,ALTICEUSA,2019-05-30T00:00:00.000
36,40.59205,-74.13909,SPECTRUM,2019-05-30T00:00:00.000
78,40.61824,-74.10721,SPECTRUM,2019-05-30T00:00:00.000
37,40.5919,-74.13857,SPECTRUM,2019-05-30T00:00:00.000
68,40.83814,-73.90834,ALTICEUSA,2019-05-30T00:00:00.000
188,40.7431,-73.9883,SPECTRUM,2019-05-30T00:00:00.000
200,40.80501,-73.94491,SPECTRUM,2019-05-30T00:00:00.000
190,40.74188,-73.98736,SPECTRUM,2019-05-30T00:00:00.000
163,40.72023,-73.87781,SPECTRUM,2019-05-30T00:00:00.000
170,40.74745,-73.91059,SPECTRUM,2019-05-30T00:00:00.000
32,40.59718,-74.00028,ALTICEUSA,2019-05-30T00:00:00.000
96,40.83899,-73.88871,ALTICEUSA,2019-05-30T00:00:00.000
146,40.84689,-73.94133,SPECTRUM,2019-05-30T00:00:00.000
2,40.57267,-73.98562,ALTICEUSA,2019-05-30T00:00:00.000
119,40.57648,-74.07962,SPECTRUM,2019-05-30T00:00:00.000
186,40.74148,-73.98894,SPECTRUM,2019-05-30T00:00:00.000
161,40.82847,-73.9227,ALTICEUSA,2019-05-30T00:00:00.000
15,40.73915,-73.73772,SPECTRUM,2019-05-30T00:00:00.000
171,40.74752,-73.91058,SPECTRUM,2019-05-30T00:00:00.000
80,40.67719,-74.00872,SPECTRUM,2019-05-30T00:00:00.000
62,40.74827,-74.00207,SPECTRUM,2019-05-30T00:00:00.000
117,40.57624,-74.07999,SPECTRUM,2019-05-30T00:00:00.000
30,40.5977,-74.00027,ALTICEUSA,2019-05-30T00:00:00.000
135,40.7201,-73.9813,SPECTRUM,2019-05-30T00:00:00.000
139,40.6898,-73.9462,AT&T,2019-05-30T00:00:00.000
148,40.8462,-73.94135,SPECTRUM,2019-05-30T00:00:00.000
72,40.8377,-73.90848,ALTICEUSA,2019-05-30T00:00:00.000
192,40.57696,-73.94359,ALTICEUSA,2019-05-30T00:00:00.000
174,40.65866,-73.88777,ALTICEUSA,2019-05-30T00:00:00.000
173,40.65839,-73.88758,ALTICEUSA,2019-05-30T00:00:00.000
166,40.625,-74.01788,SPECTRUM,2019-05-30T00:00:00.000
81,40.67719,-74.00872,SPECTRUM,2019-05-30T00:00:00.000
27,40.68301,-73.78482,SPECTRUM,2019-05-30T00:00:00.000
167,40.74849,-73.82121,SPECTRUM,2019-05-30T00:00:00.000
109,40.71082,-73.83553,SPECTRUM,2019-05-30T00:00:00.000
99,40.84053,-73.89517,ALTICEUSA,2019-05-30T00:00:00.000
101,40.73012,-73.77386,SPECTRUM,2019-05-30T00:00:00.000
84,40.84071,-73.89605,ALTICEUSA,2019-05-30T00:00:00.000
38,40.59202,-74.13806,SPECTRUM,2019-05-30T00:00:00.000
83,40.67719,-74.00872,SPECTRUM,2019-05-30T00:00:00.000
22,40.57355,-73.97737,ALTICEUSA,2019-05-30T00:00:00.000
111,40.71069,-73.83552,SPECTRUM,2019-05-30T00:00:00.000
53,40.6562,-73.90257,ALTICEUSA,2019-05-30T00:00:00.000
150,40.82478,-73.94218,SPECTRUM,2019-05-30T00:00:00.000
197,40.80501,-73.94491,SPECTRUM,2019-05-30T00:00:00.000
176,40.73168,-73.86561,SPECTRUM,2019-05-30T00:00:00.000
168,40.75141,-73.82472,SPECTRUM,2019-05-30T00:00:00.000
153,40.82413,-73.94246,SPECTRUM,2019-05-30T00:00:00.000
180,40.82657,-73.92676,ALTICEUSA,2019-05-30T00:00:00.000
95,40.83899,-73.88871,ALTICEUSA,2019-05-30T00:00:00.000
86,40.83697,-73.89377,ALTICEUSA,2019-05-30T00:00:00.000
160,40.8285,-73.9227,AT&T,2019-05-30T00:00:00.000
141,40.7015,-73.9943,AT&T,2019-05-30T00:00:00.000
191,40.57622,-73.94552,ALTICEUSA,2019-05-30T00:00:00.000
60,40.7729,-73.974,AT&T,2019-05-30T00:00:00.000
47,40.69734,-73.99733,SPECTRUM,2019-05-30T00:00:00.000
11,40.71025,-73.99798,SPECTRUM,2019-05-30T00:00:00.000
12,40.71025,-73.99798,SPECTRUM,2019-05-30T00:00:00.000
13,40.71025,-73.99798,SPECTRUM,2019-05-30T00:00:00.000
92,40.8377,-73.89038,ALTICEUSA,2019-05-30T00:00:00.000
87,40.83666,-73.89498,ALTICEUSA,2019-05-30T00:00:00.000
16,40.73935,-73.73682,SPECTRUM,2019-05-30T00:00:00.000
164,40.7206,-73.87734,SPECTRUM,2019-05-30T00:00:00.000
6,40.57266,-73.98604,ALTICEUSA,2019-05-30T00:00:00.000
169,40.75014,-73.82284,SPECTRUM,2019-05-30T00:00:00.000
179,40.82755,-73.92916,ALTICEUSA,2019-05-30T00:00:00.000
35,40.59815,-74.00114,ALTICEUSA,2019-05-30T00:00:00.000
56,40.7538,-73.9833,Partner,2019-05-30T00:00:00.000
44,40.6981,-73.99694,SPECTRUM,2019-05-30T00:00:00.000
142,40.8292,-73.9361,AT&T,2019-05-30T00:00:00.000
82,40.67719,-74.00872,SPECTRUM,2019-05-30T00:00:00.000
143,40.8177,-73.8811,AT&T,2019-05-30T00:00:00.000
187,40.74238,-73.98869,SPECTRUM,2019-05-30T00:00:00.000
48,40.69767,-73.99718,SPECTRUM,2019-05-30T00:00:00.000
105,40.6507,-73.96584,ALTICEUSA,2019-05-30T00:00:00.000
103,40.8631,-73.9065,AT&T,2019-05-30T00:00:00.000
112,40.6915,-73.9755,AT&T,2019-05-30T00:00:00.000
25,40.67934,-73.78444,SPECTRUM,2019-05-30T00:00:00.000
1,40.57278,-73.98563,ALTICEUSA,2019-05-30T00:00:00.000
106,40.81535,-73.83767,ALTICEUSA,2019-05-30T00:00:00.000
178,40.7221,-73.8466,AT&T,2019-05-30T00:00:00.000
52,40.6561,-73.9025,ALTICEUSA,2019-05-30T00:00:00.000
196,40.57687,-73.94459,ALTICEUSA,2019-05-30T00:00:00.000
24,40.777,-73.9252,AT&T,2019-05-30T00:00:00.000
20,40.74021,-73.73431,SPECTRUM,2019-05-30T00:00:00.000
134,40.72001,-73.98144,SPECTRUM,2019-05-30T00:00:00.000
195,40.57696,-73.94359,ALTICEUSA,2019-05-30T00:00:00.000
181,40.82707,-73.92646,ALTICEUSA,2019-05-30T00:00:00.000
58,40.7721,-73.9771,AT&T,2019-05-30T00:00:00.000
144,40.84656,-73.94086,SPECTRUM,2019-05-30T00:00:00.000
75,40.61775,-74.10819,SPECTRUM,2019-05-30T00:00:00.000
45,40.69667,-73.99766,SPECTRUM,2019-05-30T00:00:00.000
133,40.71996,-73.98148,SPECTRUM,2019-05-30T00:00:00.000
108,40.7432,-73.8443,AT&T,2019-05-30T00:00:00.000
145,40.84638,-73.94071,SPECTRUM,2019-05-30T00:00:00.000
198,40.80501,-73.94491,SPECTRUM,2019-05-30T00:00:00.000
194,40.57687,-73.94459,ALTICEUSA,2019-05-30T00:00:00.000
17,40.73955,-73.73592,SPECTRUM,2019-05-30T00:00:00.000
88,40.83712,-73.89331,ALTICEUSA,2019-05-30T00:00:00.000
193,40.57696,-73.94359,ALTICEUSA,2019-05-30T00:00:00.000
61,40.771,-73.9709,AT&T,2019-05-30T00:00:00.000
7,40.71025,-73.99798,SPECTRUM,2019-05-30T00:00:00.000
70,40.8416,-73.9071,ALTICEUSA,2019-05-30T00:00:00.000
65,40.74827,-74.00207,SPECTRUM,2019-05-30T00:00:00.000
49,40.6943,-73.9988,AT&T,2019-05-30T00:00:00.000
123,40.57334,-74.08441,SPECTRUM,2019-05-30T00:00:00.000
