longitude,public_space_open_space_name,public_space_open_space,neighborhood_tabulation_area,latitude-neighborhood_tabulation_area_1
-73.94246,Jackie Robinson Park,Inside,MN04,40.82413-Hamilton Heights
-73.94552,Manhattan Beach Park,Inside,BK17,40.57622-Sheepshead Bay-Gerritsen Beach-Manhattan Beach
-73.98148,Hamilton Fish Park,Inside,MN28,40.71996-Lower East Side
-73.99733,Brooklyn Heights Promenade,Inside,BK09,40.69734-Brooklyn Heights-Cobble Hill
-73.91058,Lawrence Virgilio Playground,Inside,QN63,40.74752-Woodside
-74.07962,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI36,40.57648-Old Town-Dongan Hills-South Beach
-73.94459,Manhattan Beach Park,Inside,BK17,40.57687-Sheepshead Bay-Gerritsen Beach-Manhattan Beach
-73.9027,Brownsville Playground,Inside,BK81,40.6564-Brownsville
-74.07999,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI36,40.57624-Old Town-Dongan Hills-South Beach
-73.9028,Brownsville Playground,Inside,BK81,40.6567-Brownsville
-73.98144,Hamilton Fish Park,Inside,MN28,40.72001-Lower East Side
-74.00207,Chelsea Recreation Center,Inside,MN13,40.74827-Hudson Yards-Chelsea-Flatiron-Union Square
-73.90848,Claremont Park,Inside,BX99,40.8377-park-cemetery-etc-Bronx
-73.94359,Manhattan Beach Park,Inside,BK17,40.57696-Sheepshead Bay-Gerritsen Beach-Manhattan Beach
-73.99968,Bensonhurst Park,Inside,BK27,40.59715-Bath Beach
-74.0768,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI36,40.57863-Old Town-Dongan Hills-South Beach
-73.94488,Marcus Garvey Park,Inside,MN34,40.80501-East Harlem North
-73.99035,Cadman Plaza Park,Inside,BK38,40.69673-DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
-73.88758,Linden Park,Inside,BK82,40.65839-East New York
-73.94086,J. Hood Wright Park,Inside,MN36,40.84656-Washington Heights South
-74.00207,Chelsea Recreation Center,Inside,MN13,40.74827-Hudson Yards-Chelsea-Flatiron-Union Square
-73.77386,Cunningham Park,Inside,QN99,40.73012-park-cemetery-etc-Queens
-73.89537,Crotona Park,Inside,BX99,40.83989-park-cemetery-etc-Bronx
-73.94359,Manhattan Beach Park,Inside,BK17,40.57696-Sheepshead Bay-Gerritsen Beach-Manhattan Beach
-73.98147,Hamilton Fish Park,Inside,MN28,40.71979-Lower East Side
-73.89522,Crotona Park,Inside,BX99,40.84011-park-cemetery-etc-Bronx
-73.92857,Macombs Dam Park,Inside,BX63,40.8278-West Concourse
-73.94071,J. Hood Wright Park,Inside,MN36,40.84638-Washington Heights South
-73.78468,Baisley Pond Park,Inside,QN76,40.68079-Baisley Park
-73.99694,Brooklyn Heights Promenade,Inside,BK09,40.6981-Brooklyn Heights-Cobble Hill
-73.89366,Crotona Park,Inside,BX99,40.83754-park-cemetery-etc-Bronx
-74.0759,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI36,40.57999-Old Town-Dongan Hills-South Beach
-73.83553,Forest Park,Inside,QN60,40.71082-Kew Gardens
-73.91059,Lawrence Virgilio Playground,Inside,QN63,40.74745-Woodside
-73.98736,Madison Square Park,Inside,MN13,40.74188-Hudson Yards-Chelsea-Flatiron-Union Square
-73.83767,Ferry Point Park,Inside,BX52,40.81535-Schuylerville-Throgs Neck-Edgewater Park
-73.89038,Crotona Park,Inside,BX99,40.8377-park-cemetery-etc-Bronx
-74.07636,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI36,40.57958-Old Town-Dongan Hills-South Beach
-73.9252,Astoria Park,Inside,QN99,40.777-park-cemetery-etc-Queens
-74.00207,Chelsea Recreation Center,Inside,MN13,40.74827-Hudson Yards-Chelsea-Flatiron-Union Square
-73.94246,Jackie Robinson Park,Inside,MN04,40.82413-Hamilton Heights
-73.98562,Abe Stark Skating Rink,Inside,BK21,40.57267-Seagate-Coney Island
-74.00207,Chelsea Recreation Center,Inside,MN13,40.74827-Hudson Yards-Chelsea-Flatiron-Union Square
-73.94088,J. Hood Wright Park,Inside,MN36,40.84669-Washington Heights South
-73.73682,Alley Athletic Playground,Inside,QN43,40.73935-Bellerose
-73.96584,East Parade Grounds,Inside,BK99,40.6507-park-cemetery-etc-Brooklyn
-73.98288,Gravesend Park,Inside,BK88,40.62346-Borough Park
-73.89339,Crotona Park,Inside,BX99,40.83822-park-cemetery-etc-Bronx
-73.99798,Alfred E. Smith Playground,Inside,MN27,40.71025-Chinatown
-73.73504,Alley Athletic Playground,Inside,QN43,40.73974-Bellerose
-74.08601,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI36,40.57231-Old Town-Dongan Hills-South Beach
-73.94218,Jackie Robinson Park,Inside,MN04,40.82478-Hamilton Heights
-73.92268,Joyce Kilmer Park,Inside,BX63,40.82783-West Concourse
-73.82472,Kissena Corridor Park,Inside,QN62,40.75141-Queensboro Hill
-73.83552,Forest Park,Inside,QN60,40.71069-Kew Gardens
-73.73431,Alley Athletic Playground,Inside,QN43,40.74021-Bellerose
-73.89348,Crotona Park,Inside,BX99,40.83806-park-cemetery-etc-Bronx
-74.10721,Clove Lakes Park,Inside,SI07,40.61824-Westerleigh
-73.9361,Holcombe Rucker Park,Inside,MN03,40.8292-Central Harlem North-Polo Grounds
-73.94246,Jackie Robinson Park,Inside,MN04,40.82413-Hamilton Heights
-73.99798,Alfred E. Smith Playground,Inside,MN27,40.71025-Chinatown
-73.94459,Manhattan Beach Park,Inside,BK17,40.57687-Sheepshead Bay-Gerritsen Beach-Manhattan Beach
-73.82284,Kissena Corridor Park,Inside,QN62,40.75014-Queensboro Hill
-74.00872,Coffey Park,Inside,BK33,40.67719-Carroll Gardens-Columbia Street-Red Hook
-73.94491,Marcus Garvey Park,Inside,MN34,40.80501-East Harlem North
-73.89517,Crotona Park,Inside,BX99,40.84053-park-cemetery-etc-Bronx
-73.8466,MacDonald Park,Inside,QN17,40.7221-Forest Hills
-73.94172,J. Hood Wright Park,Inside,MN36,40.84647-Washington Heights South
-74.10819,Clove Lakes Park,Inside,SI07,40.61775-Westerleigh
-73.9943,Hillside Park,Inside,BK09,40.7015-Brooklyn Heights-Cobble Hill
-73.98691,Madison Square Park,Inside,MN13,40.74249-Hudson Yards-Chelsea-Flatiron-Union Square
-73.98575,Abe Stark Skating Rink,Inside,BK21,40.57267-Seagate-Coney Island
-73.98791,Madison Square Park,Inside,MN13,40.7411-Hudson Yards-Chelsea-Flatiron-Union Square
-74.00696,City Hall Park,Inside,MN24,40.71231-SoHo-TriBeCa-Civic Center-Little Italy
-73.99798,Alfred E. Smith Playground,Inside,MN27,40.71025-Chinatown
-73.99798,Alfred E. Smith Playground,Inside,MN27,40.71025-Chinatown
-73.90548,Claremont Park,Inside,BX99,40.84112-park-cemetery-etc-Bronx
-73.94246,Jackie Robinson Park,Inside,MN04,40.82413-Hamilton Heights
-74.08949,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI45,40.56936-New Dorp-Midland Beach
-73.88777,Linden Park,Inside,BK82,40.65866-East New York
-73.98604,Abe Stark Skating Rink,Inside,BK21,40.57266-Seagate-Coney Island
-74.01788,Kathy Reilly Triangle,Inside,BK30,40.625-Dyker Heights
-73.90257,Brownsville Playground,Inside,BK81,40.6562-Brownsville
-73.92676,Macombs Dam Park,Inside,BX63,40.82657-West Concourse
-73.91863,Heckscher Playground,Inside,BK78,40.69484-Bushwick South
-73.9462,Herbert Von King Park,Inside,BK75,40.6898-Bedford
-74.07799,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI36,40.57777-Old Town-Dongan Hills-South Beach
-73.8811,Hunts Point Riverside Park,Inside,BX27,40.8177-Hunts Point
-73.86554,Gun Hill Playground,Inside,BX44,40.87455-Williamsbridge-Olinville
-73.92836,Macombs Dam Park,Inside,BX63,40.8279-West Concourse
-74.00207,Chelsea Recreation Center,Inside,MN13,40.74827-Hudson Yards-Chelsea-Flatiron-Union Square
-73.9709,Central Park,Inside,MN99,40.771-park-cemetery-etc-Manhattan
-73.73458,Alley Athletic Playground,Inside,QN43,40.73991-Bellerose
-73.9755,Fort Greene Park,Inside,BK68,40.6915-Fort Greene
-73.90678,Claremont Park,Inside,BX99,40.84122-park-cemetery-etc-Bronx
-74.10721,Clove Lakes Park,Inside,SI07,40.61824-Westerleigh
-74.00027,Bensonhurst Park,Inside,BK27,40.5977-Bath Beach
-74.00136,Bensonhurst Park,Inside,BK27,40.59716-Bath Beach
-73.9227,Joyce Kilmer Park,Inside,BX63,40.82847-West Concourse
-74.08168,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI36,40.57508-Old Town-Dongan Hills-South Beach
-73.87734,Juniper Valley Park,Inside,QN21,40.7206-Middle Village
-73.87135,Bronx River Parkway,Inside,BX99,40.87301-park-cemetery-etc-Bronx
-74.00872,Coffey Park,Inside,BK33,40.67719-Carroll Gardens-Columbia Street-Red Hook
-73.98359,Gravesend Park,Inside,BK88,40.62383-Borough Park
-73.89498,Crotona Park,Inside,BX99,40.83666-park-cemetery-etc-Bronx
-74.07858,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI36,40.57722-Old Town-Dongan Hills-South Beach
-73.86561,Lost Battalion Hall Recreation Center,Inside,QN18,40.73168-Rego Park
-74.01292,Dyker Beach Park,Inside,BK99,40.61299-park-cemetery-etc-Brooklyn
-73.94491,Marcus Garvey Park,Inside,MN34,40.80501-East Harlem North
-73.88744,Linden Park,Inside,BK82,40.65815-East New York
-73.82121,Kissena Corridor Park,Inside,QN62,40.74849-Queensboro Hill
-73.86561,Lost Battalion Hall Recreation Center,Inside,QN18,40.73168-Rego Park
-73.97756,Asser Levy Park,Inside,BK21,40.57353-Seagate-Coney Island
-73.92363,Joyce Kilmer Park,Inside,BX63,40.82756-West Concourse
-73.89489,Crotona Park,Inside,BX99,40.8375-park-cemetery-etc-Bronx
-73.87047,Bronx Park,Inside,BX99,40.85398-park-cemetery-etc-Bronx
-73.9833,Bryant Park,Inside,MN17,40.7538-Midtown-Midtown South
-73.8356,Forest Park,Inside,QN60,40.70977-Kew Gardens
-74.13812,Blood Root Valley,Inside,SI05,40.59203-New Springville-Bloomfield-Travis
-73.9227,Joyce Kilmer Park,Inside,BX63,40.8285-West Concourse
-73.92301,Joyce Kilmer Park,Inside,BX63,40.82744-West Concourse
-73.89039,Crotona Park,Inside,BX99,40.83718-park-cemetery-etc-Bronx
-73.92731,Macombs Dam Park,Inside,BX63,40.8257-West Concourse
-73.90276,Brownsville Playground,Inside,BK81,40.6561-Brownsville
-73.94135,J. Hood Wright Park,Inside,MN36,40.8462-Washington Heights South
-74.10721,Clove Lakes Park,Inside,SI07,40.61824-Westerleigh
-73.90834,Claremont Park,Inside,BX99,40.83814-park-cemetery-etc-Bronx
-73.89605,Crotona Park,Inside,BX99,40.84071-park-cemetery-etc-Bronx
-74.00872,Coffey Park,Inside,BK33,40.67719-Carroll Gardens-Columbia Street-Red Hook
-73.9025,Brownsville Playground,Inside,BK81,40.6561-Brownsville
-74.08441,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI36,40.57334-Old Town-Dongan Hills-South Beach
-73.86561,Lost Battalion Hall Recreation Center,Inside,QN18,40.73168-Rego Park
-73.9813,Hamilton Fish Park,Inside,MN28,40.7201-Lower East Side
-74.00028,Bensonhurst Park,Inside,BK27,40.59718-Bath Beach
-73.94246,Jackie Robinson Park,Inside,MN04,40.82413-Hamilton Heights
-73.77384,Cunningham Park,Inside,QN99,40.72987-park-cemetery-etc-Queens
-73.88871,Crotona Park,Inside,BX99,40.83899-park-cemetery-etc-Bronx
-73.97737,Asser Levy Park,Inside,BK21,40.57355-Seagate-Coney Island
-73.87793,Juniper Valley Park,Inside,QN21,40.72103-Middle Village
-74.08729,Franklin D. Roosevelt Boardwalk and Beach,Inside,SI45,40.57127-New Dorp-Midland Beach
-73.94133,J. Hood Wright Park,Inside,MN36,40.84689-Washington Heights South
-73.99798,Alfred E. Smith Playground,Inside,MN27,40.71025-Chinatown
-73.98526,Gravesend Park,Inside,BK88,40.62331-Borough Park
-73.99798,Alfred E. Smith Playground,Inside,MN27,40.71025-Chinatown
-74.10819,Clove Lakes Park,Inside,SI07,40.61806-Westerleigh
-74.0149,Battery Park,Inside,MN99,40.7016-park-cemetery-etc-Manhattan
