oid,hotspot_dataset_object_id,borough_name,ssid
55,1638,Manhattan,GuestWiFi
69,1373,Bronx,GuestWiFi
151,141,Manhattan,GuestWiFi
156,175,Manhattan,GuestWiFi
159,1627,Bronx,GuestWiFi
23,1388,Brooklyn,GuestWiFi
33,1357,Brooklyn,GuestWiFi
124,1189,Staten Island,GuestWiFi
8,1751,Manhattan,GuestWiFi
74,890,Staten Island,GuestWiFi
116,1184,Staten Island,GuestWiFi
54,1368,Brooklyn,GuestWiFi
89,1411,Bronx,GuestWiFi
93,1414,Bronx,GuestWiFi
152,142,Manhattan,GuestWiFi
97,1420,Bronx,GuestWiFi
73,137,Staten Island,attwifi
130,1610,Brooklyn,GuestWiFi
183,732,Bronx,GuestWiFi
157,1625,Bronx,GuestWiFi
28,1758,Manhattan,attwifi
155,144,Manhattan,GuestWiFi
39,828,Staten Island,GuestWiFi
3,1402,Brooklyn,GuestWiFi
140,1621,Brooklyn,GuestWiFi
131,1612,Brooklyn,GuestWiFi
114,1191,Staten Island,GuestWiFi
64,1776,Manhattan,GuestWiFi
113,1190,Staten Island,GuestWiFi
118,145,Staten Island,attwifi
125,904,Staten Island,GuestWiFi
57,1768,Brooklyn,GuestWiFi
63,1775,Manhattan,GuestWiFi
79,460,Staten Island,GuestWiFi
21,1386,Brooklyn,GuestWiFi
59,1740,Manhattan,attwifi
85,1408,Bronx,GuestWiFi
158,1626,Bronx,GuestWiFi
51,1365,Brooklyn,GuestWiFi
31,1355,Brooklyn,GuestWiFi
154,143,Manhattan,GuestWiFi
4,1403,Brooklyn,GuestWiFi
199,1237,Manhattan,GuestWiFi
100,813,Queens,GuestWiFi
136,53,Manhattan,GuestWiFi
14,1747,Manhattan,GuestWiFi
110,1193,Queens,GuestWiFi
98,1421,Bronx,GuestWiFi
177,1233,Queens,GuestWiFi
43,1646,Manhattan,attwifi
126,905,Staten Island,GuestWiFi
107,1605,Bronx,GuestWiFi
128,907,Staten Island,GuestWiFi
46,1764,Brooklyn,GuestWiFi
19,1757,Queens,GuestWiFi
120,1187,Staten Island,GuestWiFi
175,1229,Queens,GuestWiFi
9,1752,Manhattan,GuestWiFi
67,1779,Manhattan,GuestWiFi
137,1619,Brooklyn,GuestWiFi
36,825,Staten Island,GuestWiFi
78,459,Staten Island,GuestWiFi
37,826,Staten Island,GuestWiFi
68,1377,Bronx,GuestWiFi
188,934,Manhattan,GuestWiFi
200,1238,Manhattan,GuestWiFi
190,936,Manhattan,GuestWiFi
163,177,Queens,GuestWiFi
170,1329,Queens,GuestWiFi
32,1356,Brooklyn,GuestWiFi
96,1417,Bronx,GuestWiFi
146,129,Manhattan,GuestWiFi
2,1401,Brooklyn,GuestWiFi
119,1186,Staten Island,GuestWiFi
186,938,Manhattan,GuestWiFi
161,1623,Bronx,GuestWiFi
15,2119,Queens,GuestWiFi
171,1330,Queens,GuestWiFi
80,805,Brooklyn,GuestWiFi
62,1774,Manhattan,GuestWiFi
117,1185,Staten Island,GuestWiFi
30,1354,Brooklyn,GuestWiFi
135,831,Manhattan,GuestWiFi
139,931,Brooklyn,attwifi
148,131,Manhattan,GuestWiFi
72,1376,Bronx,GuestWiFi
192,745,Brooklyn,GuestWiFi
174,1198,Brooklyn,GuestWiFi
173,721,Brooklyn,GuestWiFi
166,897,Brooklyn,GuestWiFi
81,806,Brooklyn,GuestWiFi
27,969,Queens,GuestWiFi
167,1649,Queens,GuestWiFi
109,1192,Queens,GuestWiFi
99,1422,Bronx,GuestWiFi
101,810,Queens,GuestWiFi
84,1591,Bronx,GuestWiFi
38,827,Staten Island,GuestWiFi
83,461,Brooklyn,GuestWiFi
22,1387,Brooklyn,GuestWiFi
