bbl,house_number,vacate_type,bin
1015090066.0,104,Partial,1047538.0
3064480001.0,2215,Partial,3168990.0
4050050001.0,35-33,Partial,4113221.0
2045720001.0,3003,Partial,2055656.0
1022170043.0,184,Partial,1064717.0
5030190027.0,39,Partial,5044515.0
2035930046.0,739,Entire Building,2021978.0
3013610030.0,1222,Partial,3036091.0
3050810015.0,100,Partial,3116551.0
4050400027.0,132-57,Partial,4114214.0
3017570070.0,219,Partial,3048738.0
4015040074.0,40-25,Partial,4037150.0
4159260001.0,57-07,Partial,4312847.0
3050330065.0,255,Partial,3115036.0
3012010051.0,1339,Entire Building,3029808.0
4110920009.0,102-27,Partial,4238978.0
3030790024.0,111,Partial,3071342.0
2037810027.0,1280,Partial,2025457.0
4069010004.0,61-54,Partial,4149045.0
3050390040.0,1154,Partial,3115469.0
4122010039.0,150-66,Partial,4264654.0
3077420069.0,1072,Partial,3213883.0
4122100016.0,150-35,Partial,4265144.0
2026240082.0,647,Partial,2004460.0
4001770001.0,48-56,Partial,4430640.0
2024780024.0,1112,Partial,2002947.0
3033810018.0,78,Partial,3077490.0
5000670150.0,121,Partial,5001673.0
3008370030.0,260,Partial,3015219.0
4156100001.0,7-11,Partial,4298968.0
2046680045.0,711,Entire Building,2058134.0
4110370010.0,115-61,Partial,4237482.0
3065680033.0,1360,Partial,3172890.0
4125460318.0,176-46,Partial,4270528.0
3080810040.0,1474,Partial,3227662.0
4135700054.0,243-15,Partial,4288479.0
2028440065.0,1453,Partial,2008116.0
1010560060.0,456,Partial,1026513.0
4053600017.0,40-32,Partial,4120923.0
4087200062.0,80-52,Partial,4178213.0
2046630024.0,720 REAR,Entire Building,2093554.0
3080360019.0,1047,Partial,3225703.0
4035850052.0,75-01,Entire Building,4086621.0
2032180024.0,2322,Partial,2092427.0
3015670038.0,190,Partial,3042592.0
4122450009.0,119-01,Partial,4265686.0
3070050007.0,3510,Partial,3188713.0
1021750032.0,96,Partial,1064223.0
2033530001.0,371,Partial,2018524.0
3018100064.0,587,Partial,3051021.0
4019180105.0,97-15,Partial,4047333.0
2024520027.0,1119,Partial,2002659.0
1020060042.0,112,Partial,1060010.0
4079940012.0,237-12,Partial,4167687.0
3050530051.0,101,Partial,3115918.0
2037150048.0,1045,Entire Building,2023497.0
4091000057.0,101-35,Partial,4189279.0
4093320059.0,87-55,Partial,4196048.0
2024780024.0,1112,Partial,2002947.0
3030100024.0,147,Partial,3070709.0
1021110105.0,453,Partial,1062668.0
3070240003.0,5145,Partial,3189133.0
2024650038.0,1245,Partial,2002854.0
1002830047.0,17,Entire Building,1003581.0
2033140051.0,2701,Partial,2017427.0
5069690005.0,1007,Partial,5131991.0
1020610029.0,723,Partial,1061395.0
3046980018.0,412,Partial,3102860.0
2024490079.0,265,Partial,2002607.0
2045710104.0,781,Partial,2055655.0
2046940021.0,1039,Partial,2059241.0
4011880055.0,60-11,Partial,4027128.0
4127960019.0,119-30,Partial,4275880.0
5000240012.0,97,Entire Building,5000418.0
3015660030.0,16,Entire Building,3042557.0
1017300036.0,2186,Partial,1053890.0
3046160054.0,147,Partial,3100156.0
1020460007.0,2819,Partial,1060854.0
3083050051.0,1418,Partial,3234813.0
4119920066.0,115-22,Partial,4259892.0
3070580013.0,2920,Partial,3189551.0
5038750026.0,632,Entire Building,5000000.0
4102300041.0,171-11,Partial,4217941.0
2048200042.0,3990,Partial,2062854.0
4002010001.0,41-15,Partial,4002801.0
2057760621.0,5959,Partial,2124471.0
1016160001.0,1295,Partial,1085255.0
2046780056.0,830,Entire Building,2058542.0
2050210067.0,4155,Partial,2069178.0
2048300024.0,631,Partial,2063114.0
4034420037.0,1679,Entire Building,4082269.0
2028200055.0,1517,Entire Building,2007839.0
2033040035.0,2720,Partial,2017135.0
3082060032.0,1137,Partial,3230173.0
3017720073.0,159,Partial,3049404.0
4095370056.0,104-65,Partial,4202698.0
2046990004.0,1047,Partial,2059463.0
2026730036.0,790,Entire Building,2087652.0
4116770019.0,115-30,Partial,4252516.0
3019807502.0,207,Partial,3056687.0
4102290006.0,171-12,Partial,4217894.0
1002060016.0,182,Partial,1002652.0
3073310014.0,2018,Partial,3198683.0
3015060035.0,704,Entire Building,3040659.0
2046150016.0,3218,Partial,2103462.0
4134940095.0,144-48,Partial,4287151.0
3031930011.0,15,Partial,3072642.0
4008540074.0,26-15,Partial,4018157.0
3053790049.0,4316,Partial,3126385.0
3067980079.0,1737,Partial,3183019.0
2032280020.0,1916,Entire Building,2014992.0
4019530043.0,56-35,Partial,4048110.0
2037400014.0,1124,Partial,2023843.0
3043050033.0,752,Entire Building,3096808.0
4014440032.0,83-01,Partial,4035531.0
3007417501.0,702,Entire Building,3011356.0
3014420025.0,2250,Entire Building,3038742.0
2028780138.0,1760,Partial,2009009.0
4089930037.0,96-27,Partial,4186609.0
3015110046.0,559,Entire Building,3040964.0
3022660013.0,374,Entire Building,3061430.0
2048580053.0,920,Partial,2064280.0
2031640052.0,2351,Partial,2013787.0
1012450088.0,324,Partial,1033826.0
3047610019.0,650,Partial,3105314.0
3045290131.0,992,Partial,3347754.0
2038060021.0,2126,Partial,2026293.0
2031980042.0,2333,Partial,2014260.0
4019020039.0,56-11,Partial,4047078.0
2024510026.0,1071,Partial,2002629.0
3007180043.0,4112,Partial,3010690.0
2032860019.0,2557,Partial,2016590.0
3041370037.0,228,Partial,3092603.0
1005880045.0,120,Partial,1084948.0
4160810110.0,342,Partial,4303308.0
3015690023.0,1336,Partial,3042656.0
4157140105.0,11-11,Entire Building,4531691.0
2022830053.0,501,Partial,2091054.0
3051240018.0,2025,Partial,3117623.0
3011390013.0,768,Partial,3027944.0
2031710034.0,2255,Partial,2013875.0
4136740032.0,257-56,Partial,4290625.0
3019240004.0,291,Partial,3055120.0
3052020029.0,578,Partial,3120196.0
3018370053.0,140,Partial,3052609.0
5005320006.0,112A,Partial,5147305.0
2046570114.0,3553,Partial,2057706.0
4014290012.0,32-12,Partial,4431395.0
2028660015.0,1645,Partial,2008449.0
2032230030.0,130,Partial,2014901.0
1017850020.0,243,Partial,1054584.0
2045530032.0,944,Entire Building,2054958.0
1016300067.0,118,Partial,1051904.0
2032480163.0,150,Partial,2015293.0
3046830001.0,916,Partial,3102397.0
3037920055.0,739,Partial,3084595.0
4112550024.0,227-42,Partial,4242699.0
3051010044.0,280,Partial,3117147.0
4015090017.0,81-11,Partial,4037309.0
1014847501.0,515,Partial,1046261.0
2035960023.0,1771,Partial,2022083.0
2024260003.0,1104,Partial,2002067.0
1021520053.0,2400,Partial,1063607.0
2023290069.0,342,Partial,2000872.0
3078090014.0,3906,Partial,3216988.0
2032730324.0,564,Partial,2016286.0
3087010001.0,3033,Partial,3245161.0
3034330004.0,1379,Entire Building,3079654.0
1004050035.0,182,Partial,1005182.0
3012220035.0,1292,Partial,3030770.0
3034230042.0,586,Partial,3079271.0
2027630158.0,721,Partial,2006533.0
2032890039.0,2787,Partial,2016688.0
3014680053.0,1604,Partial,3039423.0
2028420023.0,41,Partial,2008079.0
3038350014.0,529,Partial,3085393.0
2023290069.0,342,Partial,2000872.0
2024560222.0,1188,Partial,2002756.0
2048500047.0,3990,Entire Building,2063896.0
2044260010.0,2418,Partial,2051263.0
2031570064.0,2165,Partial,2013717.0
4012870020.0,37-30,Partial,4029872.0
3072320001.0,49,Partial,3322377.0
3044520085.0,180,Partial,3397020.0
3013040129.0,332,Partial,3034421.0
3026920004.0,300,Entire Building,3067414.0
2028790285.0,1807,Partial,2009159.0
3042490016.0,964,Entire Building,3095390.0
2033010066.0,2821,Partial,2017059.0
4095970011.0,107-16,Partial,4205348.0
4121480041.0,157-15,Partial,4462542.0
4089200030.0,85-07,Partial,4183788.0
3038980049.0,329,Partial,3086474.0
3034027502.0,1043,Entire Building,3078548.0
2027520005.0,991,Partial,2092030.0
2026900138.0,867,Partial,2005220.0
4110970013.0,104-53,Partial,4239067.0
3032110038.0,409,Partial,3073013.0
1020530014.0,281,Partial,1061126.0
3050080065.0,862,Partial,3114096.0
