vacate_order_number,building_id,latitude,longitude,community_board,postoce,council_district,actual_rescind_date,number_of_vacated_units,registration_id
94514,81406,40.846985,-73.91513,5.0,10453.0,14.0,,1,202119
113092,341567,40.726182,-73.93845299999998,1.0,11222.0,33.0,,6,369474
118230,381018,40.705718,-73.926877,1.0,11237.0,34.0,,1,322858
176107,70019,40.884307,-73.854713,12.0,10466.0,12.0,,1,714507
146077,129026,40.651386,-74.007478,7.0,11232.0,38.0,2019-05-01T00:00:00.000,1,307470
137788,43065,40.838191,-73.937179,12.0,10032.0,10.0,2017-09-14T00:00:00.000,2,105271
145434,77391,40.814734,-73.886537,2.0,10474.0,17.0,2019-11-21T00:00:00.000,1,204154
107151,301949,40.705532,-73.94292,1.0,11206.0,34.0,,1,306501
199535,422496,40.751907,-73.883616,3.0,11372.0,25.0,2023-06-29T00:00:00.000,2,401466
145352,76121,40.839196,-73.917052,4.0,10452.0,16.0,2018-12-13T00:00:00.000,2,215773
105899,548080,40.68015,-73.805991,10.0,11420.0,28.0,2021-10-04T00:00:00.000,1,924256
96267,693429,40.755485,-73.831323,7.0,11355.0,20.0,2012-09-06T00:00:00.000,1,415504
107958,67365,40.871601,-73.877263,7.0,10467.0,11.0,,1,201307
147209,63600,40.815984,-73.92035699999998,1.0,10451.0,8.0,2023-03-17T00:00:00.000,1,215182
118647,955508,40.881161,-73.863095,12.0,10467.0,12.0,,2,0
221759,108944,40.818951,-73.86474,9.0,10473.0,18.0,,1,0
122405,219150,40.682356,-73.912513,16.0,11233.0,41.0,,3,321495
198938,362915,40.663218,-73.922443,17.0,11212.0,41.0,2022-08-30T00:00:00.000,3,300724
258400,661181,40.702529,-73.91155899999998,5.0,11385.0,34.0,,3,412983
147790,60499,40.85984,-73.90418099999998,7.0,10468.0,14.0,2020-09-29T00:00:00.000,2,207487
141830,68316,40.878502,-73.85459899999998,12.0,10469.0,12.0,,2,221099
160122,342120,40.577088,-74.00133599999998,13.0,11224.0,47.0,2024-05-30T00:00:00.000,1,817791
142878,79588,40.83152,-73.872065,9.0,10472.0,18.0,,2,0
113796,69064,40.882953,-73.858271,12.0,10467.0,12.0,2019-07-09T00:00:00.000,2,711612
135500,63600,40.815984,-73.92035699999998,1.0,10451.0,8.0,2017-03-15T00:00:00.000,1,215182
158108,881636,40.604734,-73.75780799999998,14.0,11691.0,31.0,2022-11-17T00:00:00.000,3,427572
144055,798310,40.605063,-74.070615,1.0,10305.0,49.0,2023-04-10T00:00:00.000,1,17092
114091,100827,40.85514,-73.915925,5.0,10453.0,14.0,2020-02-10T00:00:00.000,2,0
143310,94429,40.866797,-73.887619,7.0,10458.0,15.0,2019-01-03T00:00:00.000,2,713130
126619,81866,40.867269,-73.893479,7.0,10468.0,14.0,2015-11-20T00:00:00.000,1,200069
111238,141830,40.63277,-73.97972,12.0,11204.0,44.0,,1,811669
