vacate_order_number,bbl,street_name,census_tract
96628,2027520005.0,EAST 167 STREET,12101.0
220054,3013040129.0,ROGERS AVENUE,323.0
119474,2050210067.0,WILDER AVENUE,448.0
127024,4102300041.0,105 AVENUE,440.0
221759,2035960023.0,SEWARD AVENUE,2002.0
118230,3030100024.0,THAMES STREET,453.0
94514,2028660015.0,GRAND AVENUE,21502.0
108306,4014290012.0,100 STREET,363.0
258446,3012220035.0,BERGEN STREET,313.0
148247,3070240003.0,OCEAN VIEW AVENUE,336.0
134537,2046680045.0,EAST 220 STREET,396.0
258400,4034420037.0,GROVE STREET,547.0
143106,2046940021.0,EAST 211 STREET,368.0
144054,1016160001.0,FIFTH AVENUE,17402.0
150257,3038980049.0,JAMAICA AVENUE,114202.0
117021,3019807502.0,ST JAMES PLACE,201.0
191361,3043050033.0,HENDRIX STREET,1122.0
144769,3046830001.0,LINDEN BOULEVARD,864.0
139533,4121480041.0,110 AVENUE,260.0
154981,1022170043.0,NAGLE AVENUE,291.0
157042,4110920009.0,216 STREET,540.0
110520,2045720001.0,MATTHEWS AVENUE,340.0
145586,3022660013.0,WALLABOUT STREET,507.0
153130,1014847501.0,EAST 72 STREET,124.0
109297,3017720073.0,PULASKI STREET,261.0
150349,2024510026.0,GRANT AVENUE,18101.0
115797,3064480001.0,CROPSEY AVENUE,294.0
93521,4127960019.0,237 STREET,614.0
107958,2033530001.0,EAST 204 STREET,425.0
143358,3042490016.0,BELMONT AVENUE,1196.0
258898,2028200055.0,MORRIS AVENUE,225.0
153359,5005320006.0,BROAD STREET,27.0
134786,4079940012.0,92 ROAD,1621.0
135500,2023290069.0,EAST 148 STREET,65.0
95493,2031640052.0,GRAND CONCOURSE,23703.0
150307,2037400014.0,ELDER AVENUE,5002.0
185845,3038350014.0,HINSDALE STREET,1130.0
155735,4035850052.0,60 LANE,567.0
136039,1015090066.0,EAST 81 STREET,140.0
167934,2031710034.0,CRESTON AVENUE,23704.0
171453,2024490079.0,MC CLELLAN STREET,18101.0
141879,1012450088.0,WEST 84 STREET,171.0
155861,2046150016.0,YATES AVENUE,348.0
108534,3015690023.0,HERKIMER STREET,369.0
154815,4159260001.0,SHORE FRONT PARKWAY,97202.0
214886,4002010001.0,50 AVENUE,18501.0
119404,4095370056.0,114 STREET,104.0
203463,2028780138.0,MONTGOMERY AVENUE,21501.0
122332,2037150048.0,WARD AVENUE,5001.0
158532,4089200030.0,89 AVENUE,10.0
125548,2028790285.0,PHELAN PLACE,24501.0
126261,4012870020.0,77 STREET,287.0
142878,2037810027.0,FTELEY AVENUE,64.0
158552,4112550024.0,114 ROAD,592.0
158501,4087200062.0,265 STREET,157901.0
243257,3041370037.0,LOGAN STREET,1174.0
108232,1020460007.0,FREDERICK DOUGLASS BOULEVARD,23502.0
111068,3037920055.0,DUMONT AVENUE,1158.0
158539,4110370010.0,196 STREET,528.0
212140,2028440065.0,WALTON AVENUE,223.0
148061,1020610029.0,ST NICHOLAS AVENUE,231.0
221761,3087010001.0,CONEY ISLAND AVENUE,61003.0
141830,2046990004.0,EAST 216 STREET,388.0
156254,4095970011.0,118 STREET,106.0
134434,4050050001.0,147 STREET,116301.0
105436,3018370053.0,HANCOCK STREET,245.0
137031,3080360019.0,EAST 84 STREET,996.0
96267,4050400027.0,SANFORD AVENUE,84902.0
147418,4008540074.0,24 AVENUE,97.0
233810,2032180024.0,ANDREWS AVENUE,255.0
160122,3070050007.0,NEPTUNE AVENUE,328.0
147889,3007417501.0,44 STREET,9401.0
105399,3012010051.0,PACIFIC STREET,315.0
158108,4157140105.0,MCBRIDE STREET,100803.0
163766,4069010004.0,FRESH MEADOW LANE,1223.0
118117,3015660030.0,GUNTHER PLACE,301.0
107155,4015040074.0,HAMPTON STREET,26901.0
126924,3052020029.0,EAST 17 STREET,518.0
169815,3011390013.0,DEAN STREET,203.0
175551,1020060042.0,WEST 138 STREET,228.0
219838,4160810110.0,BEACH 70 STREET,954.0
143310,2032890039.0,MARION AVENUE,40502.0
126619,2033140051.0,GRAND CONCOURSE,40304.0
182231,2024260003.0,CLAY AVENUE,143.0
154380,1017300036.0,5 AVENUE,212.0
139803,2035930046.0,NOBLE AVENUE,2001.0
111238,3053790049.0,17 AVENUE,478.0
198938,3046160054.0,ROCKAWAY PARKWAY,892.0
95382,3083050051.0,EAST 103 STREET,1020.0
223753,2032480163.0,WEST 195 STREET,26701.0
108807,2024520027.0,GRANT AVENUE,18101.0
243639,4122010039.0,116 AVENUE,272.0
255037,2045530032.0,ADEE AVENUE,342.0
243629,4119920066.0,148 STREET,190.0
105899,4116770019.0,135 STREET,176.0
146077,3007180043.0,4 AVENUE,82.0
158572,4134940095.0,225 STREET,680.0
114128,3073310014.0,EAST 27 STREET,574.0
142636,2032860019.0,MARION AVENUE,39901.0
179595,2033010066.0,BRIGGS AVENUE,40501.0
114510,2026730036.0,EAST 169 STREET,151.0
154137,3070580013.0,WEST 21 STREET,326.0
258763,2045710104.0,ADEE AVENUE,340.0
167351,2032230030.0,WEST 183 STREET,255.0
113956,3034027502.0,HALSEY STREET,401.0
140544,2026240082.0,CAULDWELL AVENUE,75.0
110803,1005880045.0,CHRISTOPHER STREET,73.0
