latitude,longitude,:@computed_region_efsh_h5xi
40.61792217,-74.15577784,10700.0
40.7614709,-73.71691484,14197.0
40.7426855,-73.89565167,14787.0
40.68185263,-73.9800351,17619.0
40.77632656,-73.75132309,14505.0
40.72915439,-73.84944778,14786.0
40.69724833,-73.84300917,24014.0
40.69635031,-73.90540128,15310.0
40.61022205,-74.1489379,10700.0
40.66153948,-73.98273252,17617.0
40.86131167,-73.921232,13092.0
40.56593022,-74.13205095,10693.0
40.5474525,-74.14995202,10695.0
40.68043734,-73.73117919,24018.0
40.73264377,-73.981562,11729.0
40.71548717,-73.86062663,15309.0
40.72843098,-73.88858241,14788.0
40.64536605,-74.08785112,10369.0
40.58113253,-73.84592173,20532.0
40.70347577,-73.89981967,15310.0
40.72327798,-73.9825245,11729.0
40.51273272,-74.19368776,10696.0
40.63679269,-73.95743328,13510.0
40.86968361,-73.86822921,11605.0
40.58904772,-73.92842812,13512.0
40.75623317,-73.84642544,14510.0
40.74424412,-73.82953367,14190.0
40.63932033,-74.02354939,18180.0
40.88469455,-73.83591285,11275.0
40.77589957,-73.79089093,14192.0
40.55520322,-74.20190242,10699.0
40.72291868,-73.73149717,24337.0
40.70838463,-73.73861196,24338.0
40.7565452,-73.80639406,14193.0
40.75218624,-73.74718849,14506.0
40.6772081,-73.90513693,13516.0
40.82942885,-73.86968144,11610.0
40.58866769,-73.80274869,20530.0
40.68248486,-73.89028339,17214.0
40.67680551,-73.87130777,17215.0
40.80754571,-73.95680544,12423.0
40.5832691,-74.1041134,10693.0
40.78499848,-73.78562776,14195.0
40.63448668,-74.18184158,10371.0
40.68997797,-73.93036357,18181.0
40.71420824,-73.92816525,13828.0
40.59278577,-74.06831811,10692.0
40.69563063,-73.76458044,15312.0
40.67358165,-73.89335128,17214.0
40.6831333,-73.74935675,15313.0
40.52402543,-74.21401058,10696.0
40.67357377,-73.90207722,17214.0
40.69373505,-73.99044693,16865.0
40.82178334,-73.8378736,11274.0
40.67138053,-73.85947417,17215.0
40.89263163,-73.90990306,11609.0
40.73735689,-73.91890954,14787.0
40.82627431,-73.89840604,10937.0
40.80248977,-73.93089359,13093.0
40.62757082,-73.96184657,13513.0
40.72629449,-73.84618699,14786.0
40.76649344,-73.95695607,12083.0
40.50483163,-74.24163828,10694.0
40.57880751,-73.96581492,13826.0
40.65264232,-73.94976875,13510.0
40.77393148,-73.92165606,16859.0
40.65983319,-73.89759944,17214.0
40.63999206,-73.92149332,13825.0
40.672948,-73.90925438,17614.0
40.63075638,-74.00014289,17621.0
40.58689038,-73.94318574,13826.0
40.71548225,-73.87929945,15309.0
40.77719081,-73.74605457,14505.0
40.61801126,-73.96004232,13513.0
40.6972619,-73.80573926,24670.0
40.65654952,-74.00209359,13515.0
40.7172806,-73.81932997,14509.0
40.58774216,-73.80986542,20531.0
40.66045225,-73.8671807,17215.0
40.65774692,-73.89610851,17214.0
40.67752281,-73.97271615,17619.0
40.59521085,-73.99238931,17616.0
40.76568772,-73.82912909,13832.0
40.8221734,-73.95210583,12428.0
40.69290356,-73.77360351,24669.0
40.89171407,-73.90558681,11609.0
40.79564319,-73.81900063,14192.0
40.72834297,-73.82954332,14509.0
