location_point,latitude,longitude,citycouncil,:@computed_region_sbqj_enih
"{'type': 'Point', 'coordinates': [-73.84239892, 40.78015379]}",40.78015379,-73.84239892,19,67
"{'type': 'Point', 'coordinates': [-73.88287364, 40.70420133]}",40.70420133,-73.88287364,30,62
"{'type': 'Point', 'coordinates': [-73.84504791, 40.82025032]}",40.82025032,-73.84504791,18,26
"{'type': 'Point', 'coordinates': [-73.91112232, 40.8494181]}",40.8494181,-73.91112232,14,29
"{'type': 'Point', 'coordinates': [-74.16982656, 40.561078]}",40.561078,-74.16982656,51,76
"{'type': 'Point', 'coordinates': [-73.96910363, 40.68946752]}",40.68946752,-73.96910363,35,55
"{'type': 'Point', 'coordinates': [-74.07253552, 40.62246402]}",40.62246402,-74.07253552,49,74
"{'type': 'Point', 'coordinates': [-74.13311765, 40.60126175]}",40.60126175,-74.13311765,49,75
"{'type': 'Point', 'coordinates': [-73.90846545, 40.75529168]}",40.75529168,-73.90846545,26,72
"{'type': 'Point', 'coordinates': [-74.01291703, 40.71579721]}",40.71579721,-74.01291703,1,1
"{'type': 'Point', 'coordinates': [-73.94791393, 40.66253364]}",40.66253364,-73.94791393,40,44
"{'type': 'Point', 'coordinates': [-73.87639785, 40.70229404]}",40.70229404,-73.87639785,30,62
"{'type': 'Point', 'coordinates': [-73.87158358, 40.77278489]}",40.77278489,-73.87158358,21,73
"{'type': 'Point', 'coordinates': [-74.00262349, 40.65954746]}",40.65954746,-74.00262349,38,45
"{'type': 'Point', 'coordinates': [-73.89716712, 40.67301661]}",40.67301661,-73.89716712,37,47
"{'type': 'Point', 'coordinates': [-73.81286381, 40.78726003]}",40.78726003,-73.81286381,19,67
"{'type': 'Point', 'coordinates': [-74.13191628, 40.62454541]}",40.62454541,-74.13191628,49,75
"{'type': 'Point', 'coordinates': [-74.25089386, 40.50436703]}",40.50436703,-74.25089386,51,77
"{'type': 'Point', 'coordinates': [-73.79610662, 40.7627955]}",40.7627955,-73.79610662,19,67
"{'type': 'Point', 'coordinates': [-73.98130754, 40.63123292]}",40.63123292,-73.98130754,44,39
"{'type': 'Point', 'coordinates': [-73.99824027, 40.69599978]}",40.69599978,-73.99824027,33,54
"{'type': 'Point', 'coordinates': [-73.85511219, 40.57803909]}",40.57803909,-73.85511219,32,58
"{'type': 'Point', 'coordinates': [-73.73611089, 40.75924987]}",40.75924987,-73.73611089,19,69
"{'type': 'Point', 'coordinates': [-73.86295905, 40.82510524]}",40.82510524,-73.86295905,18,26
"{'type': 'Point', 'coordinates': [-73.99594166, 40.63824637]}",40.63824637,-73.99594166,44,39
"{'type': 'Point', 'coordinates': [-73.77486249, 40.68701659]}",40.68701659,-73.77486249,27,71
"{'type': 'Point', 'coordinates': [-74.08634215, 40.61072604]}",40.61072604,-74.08634215,49,74
"{'type': 'Point', 'coordinates': [-74.13722714, 40.6242952]}",40.6242952,-74.13722714,49,75
"{'type': 'Point', 'coordinates': [-73.78961771, 40.71699938]}",40.71699938,-73.78961771,24,65
"{'type': 'Point', 'coordinates': [-74.09220985, 40.58663049]}",40.58663049,-74.09220985,50,76
"{'type': 'Point', 'coordinates': [-73.94053215, 40.65600154]}",40.65600154,-73.94053215,41,44
"{'type': 'Point', 'coordinates': [-73.88624327, 40.73049188]}",40.73049188,-73.88624327,25,68
"{'type': 'Point', 'coordinates': [-74.00203158, 40.61515271]}",40.61515271,-74.00203158,43,37
"{'type': 'Point', 'coordinates': [-73.72964716, 40.7066598]}",40.7066598,-73.72964716,27,63
