borobox,location
M0145,BROADWAY & THOMAS ST
Q3737,15 RD & 208 ST
B1759,SUNNYSIDE AVE & BARBEY ST
Q9509,WOODHAVEN BLVD & 65 AVE
Q9149,68 RD & 108 ST
B1662,BLAKE AVE & CHESTER ST
R0229,VICTORY BLVD & BAY ST
Q7339,78 AVE & 88 ST
B1240,4 AVE & ST MARKS PL
Q4514,22 AVE & 126 ST
B3661,GOTHAM AVE & SHELL BANK CREEK
Q5121,CENTRAL AVE & 69 PL
R1494,SEA VIEW AVE & HYLAN BLVD
B2934,AVE I & EAST 15 ST
R1983,WYONA AVE & HAWTHORNE AVE
B1843,GLENMORE AVE & PINE ST
Q6451,60 AVE & HEWLETT ST
R1016,TARGEE ST & STEUBEN ST
Q2105,101 AVE & 84 ST
X2658,SOLON PL & HAVEMEYER AVE
B4018,FLATLANDS AVE & FOUNTAIN AVE
Q6218,150 ST & 20 RD
Q6253,5 AVE & 149 ST
B3283,VOORHIES AVE & E 26 ST
B2540,17 AVE & 46 ST
X2609,BRUCKNER BLVD N/B & THERIOT AVE
X2557,E 167 ST & STEBBINS ST/POLITE AVE
M1483,1 AVE & E 126 ST
Q5270,109 AVE & 120 ST
Q9445,UNION TPK & 141 ST
Q9839,97 AVE & SUTPHIN BLVD
Q5256,HILLSIDE AVE & 187 ST
R1947,RICHMOND AVE & DEPPE PL
B1446,4 AVE & 32 ST
X2965,JEROME AVE & MOUNT HOPE PL
R1223,SAND LA & OLYMPIA BLVD
Q4554,LEAVITT ST & 137 ST
M1407,5 AVE & E 118 ST
B0482,FURMAN ST & MONTAGUE ST
X3822,SETON AVE & E 233 ST
B1816,ETNA AVE & RICHMOND ST
Q6350,MANOR RD & DOUGLAS RD
Q1326,ROCKAWAY BEACH BLVD & BEACH 84 ST
R1525,VICTORY BLVD & MOUNTAINVIEW AVE
Q4818,JAMAICA AVE & SUTPHIN BLVD
M1584,HAMILTON PL & W 139 ST
Q7989,43 AVE OPP 95 ST
Q5061,FOCH BLVD & MERRICK BLVD
Q7171,41 AVE & 21 ST
B1936,STANLEY AVE & BERRIMAN ST
X4762,W/S PARK AVE & E 186 ST
B2653,3 AVE & 65 ST
Q4485,SANFORD AVE & 149 ST
Q5101,MYRTLE AVE & 73 ST
X3722,BROADWAY & W 230 ST
B1571,NOSTRAND AVE & LINDEN BLVD
B0793,LEXINGTON AVE & MALCOLM X BLVD\REID AVE
Q7402,32 AVE & 51 ST
Q6806,109 AVE & 227 ST
B3934,HERKIMER ST & JARDINE PL
R2413,COMBS AVE 250' N OF CLARKE AVE/RVFD
Q6353,MANOR RD & CENTER DR
B2573,14 AVE & 39 ST
B2211,HOPKINSON AVE/BOYLAND ST & HEGEMAN AVE
Q9779,67 AVE & 214 ST
R1876,ADAMS AVE & NORTH RAILROAD AVE
M1221,1 AVE & E 94 ST
Q7072,GRAND AVE & E/S OF NY CONN RAILROAD
B1586,CLARKSON AVE & E 40 ST
R3814,NELSON AVE & BELDEN ST
M0482,STUYVESANT TWN SVC RD 1 AVE & E 16 ST
M1230,FDR DR & E 97 ST
B1984,WILLIAMS AVE 600' S OF STANLEY AVE
Q5768,129 AVE & 236 ST
Q4123,68 RD & 60 ST
X2875,NOBLE AVE & GLEASON AVE
M0089,PEARL ST & BEEKMAN ST
X3969,ONEIDA AVE & E 236 ST
Q5436,110 AVE & SPRINGFIELD BLVD
R4852,YETMAN AVE & HYLAN BLVD
Q7296,50 AVE & 47 ST
B2816,16 AVE & 77 ST
Q7917,WOODSIDE AVE & 69 ST
Q3506,59 AVE & 136 ST
Q4918,JEWEL AVE/VAN ARSDALE AVE & 136 ST
B0455,COURT ST & MONTAGUE ST
R4761,LORETTO LA & WATERFRONT
M1798,10 AVE & W 202 ST
M1417,MORNINGSIDE AVE & W 119 ST
X3837,EDENWALD AVE & WILDER AVE
Q7019,SW CORNER 73 ST & 57 AVE
Q2213,S/S QUEENS BLVD & 58 ST
X3468,ADEE AVE & OLINVILLE AVE
M1151,BROADWAY & W 84 ST
B1905,LINDEN BLVD & WILLIAMS AVE
R1583,SLOSSON AVE & MOTLEY AVE
M1275,2 AVE & E 101 ST
Q4235,JUNIPER VALLEY RD & 75 ST
Q4382,WYCKOFF AVE & CENTRE ST
R1031,ELBE AVE & SABLE AVE
Q5755,131 AVE & 218 ST
R1192,WESTERN AVE & RAILROAD CROSSING
Q0082,SHEA STADIUM 700' W OF 126 ST & 38 AVE
Q9532,WOODHAVEN BLVD & 68 AVE
R2798,RICHMOND AVE & ROCKLAND AVE
Q2305,N/B CI PWAY AT 150 ST
Q3867,EAST HAMPTON BLVD & HARDING XWAY N
M1262,3 AVE & E 100 ST
Q3206,66 RD & YELLOWSTONE BLVD
Q4014,CYPRESS AVE OPP 78 AVE
B2107,NEW LOTS AVE & HINSDALE ST
B1709,LIBERTY AVE & SNEDIKER AVE
B1046,NEW YORK AVE & LEFFERTS AVE
B1232,FLATBUSH AVE & PARK PL
R0712,JEWETT AVE & EGBERT AVE
Q3106,QUEENS BLVD & 64 RD
B2587,11 AVE & 48 ST
M0428,AVENUE B & E 4 ST
Q1401,CRONSTON AVE & BEACH 124 ST
R0741,FOREST AVE & LIVERMORE AVE
R4392,AMBOY RD 75' E OF SHARROTT AVE
Q7671,ASTORIA BLVD & 81 ST
Q0034,LGA - PARKING GARAGE E/END ARRIVAL BLD
R4882,MASSACHUSETTS AVE 500' N OF HYLAN BLVD
M0107,WEST ST BTW MURRAY ST & WARREN ST
B0109,RIVER & NORTH 3 STS
Q9617,86 AVE & 105 ST
X3085,DORSEY & SEDDON STS
Q7934,45 AVE & 81 ST
X3667,PRATT AVE & MAROLLA PLACE
M1014,MADISON AVE & E 69 ST
B1423,3 AVE & 29 ST
B2691,12 AVE & 59 ST
B0972,ATLANTIC AVE & CLASSON AVE
Q9336,37 AVE & 111 ST
B0919,SCHENECTADY AVE & PARK PL
Q3281,ASTORIA BLVD N & 76 ST
Q5373,LINDEN BLVD & 176 ST
B2023,GLENMORE AVE & WYONA ST
Q6615,CROYDEN RD & MAYFIELD RD
Q6427,HARDING XWAY N & OVERBROOK ST
R0428,VANDERBILT AVE & BAY ST
R0639,NARROWS RD N 1000' W OF FINGERBOARD RD
Q1095,MOTT AVE & MCBRIDE ST
Q3804,50 AVE & 210 ST
B3884,BATH AVE & BAY 37 ST
B1311,8 AVE & 16 ST
B0801,MYRTLE AVE & PALMETTO ST
M1504,5 AVE & E 128 ST
Q8999,VAN WYCK XWAY W SVC RD & 105 AVE
B2992,AVE M & EAST 15 ST
X3785,ARLINGTON AVE & W 246 ST
M1782,AMSTERDAM AVE S OF FORT GEORGE AVE
M0529,GREENWICH AVE & BANK ST
R1772,BUCHANAN AVE & HAROLD ST
Q5394,QUENCER RD & NEWBURGH ST
B3828,DWIGHT ST & COFFEY ST
B1729,GLENMORE AVE & SHEFFIELD AVE
B0628,VANDERBILT AVE & DEKALB AVE
M1290,FDR DR & E 107 ST
R0224,CEBRA AVE & VICTORY BLVD
Q4074,FLUSHING AVE & ONDERDONK AVE
Q7427,34 AVE & 28 ST
B2616,68 ST & 7 AVE E/S OF VZ BRIDGE APP
B2895,CROPSEY AVE & 20 AVE
X2883,SEABURY AVE & HERSHELL ST
B0143,MANHATTAN AVE & FROST ST
Q7838,ROOSEVELT AVE & 88 ST
B0180,METROPOLITAN AVE & STEWART AVE
M1521,5 AVE & E 130 ST
Q5578,93 RD & 224 ST
R0563,UTTER AVE & MANOR RD
B2379,PRESTON CT BTW E 56 ST & RALPH AVE
Q1422,CRONSTON AVE & BEACH 135 ST
R0026,JERSEY ST 500' S OF RICHMOND TERR
B2453,FOSTER AVE & E 21 ST
M1378,LEXINGTON AVE & E 115 ST
B3604,OCEANVIEW AVE & BRIGHTON 2 ST
Q4207,METROPOLITAN AVE & PLEASANTVIEW ST
R1429,XENIA ST & HURLBERT ST
M1778,ST NICHOLAS AVE OPP W 193 ST
B1978,DUMONT AVE & EMERALD ST
R3695,RICHMOND AVE & ARTHUR KILL RD
Q1314,ROCKAWAY BEACH BLVD & BEACH 75 ST
X3778,FIELDSTON RD & W 245 ST
M1323,BROADWAY & W 108 ST
X4030,BRUSH AVE & ROHR PL
Q4430,45 AVE & 160 ST
R2012,RICHMOND RD & HUNTER AVE
R3768,CODY PL & CROCKER CT
M1340,RIVERSIDE DR & W 111 ST
X4903,UNIVERSITY AVE & W KINGSBRIDGE RD
B1611,E NEW YORK AVE & ST MARKS AVE
Q7528,HOYT AVE N & 24 ST
Q6922,CROCHERON AVE & 170 ST
Q4742,24 AVE & 201 ST
R2465,VINCENT AVE & COVERLY ST
R4689,PURDY PL & HOLTON AVE
B3013,AVENUE M & E 17 ST
M1019,1 AVE & E 70 ST
