location,communitydistict,box_type,:@computed_region_f5dn_yrer,borough,:@computed_region_92fq_4b7q,zip
W/S PARK AVE & E 186 ST,BX06,ERS,35,Bronx,22,10458.0
MYRTLE AVE & PALMETTO ST,QN05,ERS,42,Brooklyn,37,11237.0
ROOSEVELT AVE & 88 ST,QN04,BARS,65,Queens,21,11372.0
SCHENECTADY AVE & PARK PL,BK08,ERS,16,Brooklyn,49,11213.0
59 AVE & 136 ST,QN07,ERS,22,Queens,3,11355.0
BRUSH AVE & ROHR PL,BX10,ERS,43,Bronx,12,10465.0
BLAKE AVE & CHESTER ST,BK16,ERS,55,Brooklyn,17,11212.0
EDENWALD AVE & WILDER AVE,BX12,ERS,29,Bronx,2,10466.0
3 AVE & E 100 ST,MN11,ERS,7,Manhattan,35,10029.0
SAND LA & OLYMPIA BLVD,SI02,BARS,30,Staten Island,14,10305.0
BROADWAY & W 108 ST,MN07,ERS,20,Manhattan,23,10025.0
METROPOLITAN AVE & PLEASANTVIEW ST,QN05,ERS,54,Queens,34,11379.0
MASSACHUSETTS AVE 500' N OF HYLAN BLVD,SI03,ERS,15,Staten Island,9,10307.0
32 AVE & 51 ST,QN01,BARS,39,Queens,33,11377.0
RICHMOND RD & HUNTER AVE,SI02,BARS,30,Staten Island,14,10306.0
45 AVE & 81 ST,QN04,BARS,66,Queens,5,11373.0
50 AVE & 210 ST,QN11,BARS,26,Queens,16,11364.0
STUYVESANT TWN SVC RD 1 AVE & E 16 ST,MN06,ERS,71,Manhattan,50,10009.0
VAN WYCK XWAY W SVC RD & 105 AVE,QN10,BARS,62,Queens,46,11419.0
WOODHAVEN BLVD & 65 AVE,QN05,ERS,54,Queens,34,11374.0
UNIVERSITY AVE & W KINGSBRIDGE RD,BX07,ERS,24,Bronx,29,10468.0
129 AVE & 236 ST,QN13,ERS,63,Queens,47,11422.0
HARDING XWAY N & OVERBROOK ST,QN11,BARS,26,Queens,20,11362.0
LEAVITT ST & 137 ST,QN07,ERS,22,Queens,3,11354.0
STANLEY AVE & BERRIMAN ST,BK05,ERS,45,Brooklyn,25,11208.0
JERSEY ST 500' S OF RICHMOND TERR,SI01,BARS,4,Staten Island,13,10301.0
CODY PL & CROCKER CT,SI03,ERS,15,Staten Island,9,10312.0
FDR DR & E 97 ST,MN11,ERS,7,Manhattan,35,10029.0
86 AVE & 105 ST,QN09,ERS,46,Queens,41,11418.0
ASTORIA BLVD N & 76 ST,QN01,BARS,39,Queens,4,11370.0
HERKIMER ST & JARDINE PL,BK16,ERS,55,Brooklyn,37,11233.0
5 AVE & E 128 ST,MN10,ERS,18,Manhattan,36,10027.0
5 AVE & E 118 ST,MN10,ERS,18,Manhattan,36,10026.0
CRONSTON AVE & BEACH 124 ST,QN14,BARS,51,Queens,41,11694.0
12 AVE & 59 ST,BK12,ERS,2,Brooklyn,18,11219.0
HOYT AVE N & 24 ST,QN01,BARS,39,Queens,4,11102.0
34 AVE & 28 ST,QN01,BARS,39,Queens,33,11106.0
BRUCKNER BLVD N/B & THERIOT AVE,BX09,ERS,58,Bronx,31,10473.0
BROADWAY & W 84 ST,MN07,ERS,20,Manhattan,19,10024.0
CYPRESS AVE OPP 78 AVE,QN05,ERS,54,Queens,34,11385.0
3 AVE & 29 ST,BK07,ERS,9,Brooklyn,7,11232.0
2 AVE & E 101 ST,MN11,ERS,7,Manhattan,35,10029.0
