borobox,location_point,:@computed_region_yeji_bk3q
Q3737,"{'type': 'Point', 'coordinates': [-73.78562776, 40.78499848]}",3
M0145,"{'type': 'Point', 'coordinates': [-74.00497613, 40.71575994]}",4
X2557,"{'type': 'Point', 'coordinates': [-73.89840604, 40.82627431]}",5
Q0082,"{'type': 'Point', 'coordinates': [-73.84642544, 40.75623317]}",3
Q5101,"{'type': 'Point', 'coordinates': [-73.87639785, 40.70229404]}",3
B0972,"{'type': 'Point', 'coordinates': [-73.95829217, 40.67983113]}",2
Q7072,"{'type': 'Point', 'coordinates': [-73.88624327, 40.73049188]}",3
B0180,"{'type': 'Point', 'coordinates': [-73.92816525, 40.71420824]}",2
R0741,"{'type': 'Point', 'coordinates': [-74.13722714, 40.6242952]}",1
R1947,"{'type': 'Point', 'coordinates': [-74.15577784, 40.61792217]}",1
Q9779,"{'type': 'Point', 'coordinates': [-73.76158679, 40.74341137]}",3
Q6922,"{'type': 'Point', 'coordinates': [-73.79610662, 40.7627955]}",3
M1504,"{'type': 'Point', 'coordinates': [-73.94086063, 40.80833427]}",4
B2992,"{'type': 'Point', 'coordinates': [-73.96004232, 40.61801126]}",2
M1262,"{'type': 'Point', 'coordinates': [-73.94746094, 40.78775317]}",4
Q7171,"{'type': 'Point', 'coordinates': [-73.94243021, 40.75399761]}",3
R4882,"{'type': 'Point', 'coordinates': [-74.25089386, 40.50436703]}",1
Q7402,"{'type': 'Point', 'coordinates': [-73.90846545, 40.75529168]}",3
R1223,"{'type': 'Point', 'coordinates': [-74.06831811, 40.59278577]}",1
R2012,"{'type': 'Point', 'coordinates': [-74.10790852, 40.58368564]}",1
Q4382,"{'type': 'Point', 'coordinates': [-73.90540128, 40.69635031]}",3
Q3206,"{'type': 'Point', 'coordinates': [-73.84944778, 40.72915439]}",3
B2453,"{'type': 'Point', 'coordinates': [-73.95743328, 40.63679269]}",2
R4689,"{'type': 'Point', 'coordinates': [-74.19368776, 40.51273272]}",1
Q4074,"{'type': 'Point', 'coordinates': [-73.91985955, 40.7114561]}",3
B1586,"{'type': 'Point', 'coordinates': [-73.94053215, 40.65600154]}",2
Q3106,"{'type': 'Point', 'coordinates': [-73.8604723, 40.72915082]}",3
Q1401,"{'type': 'Point', 'coordinates': [-73.84592173, 40.58113253]}",3
Q4235,"{'type': 'Point', 'coordinates': [-73.87929945, 40.71548225]}",3
Q5373,"{'type': 'Point', 'coordinates': [-73.77360351, 40.69290356]}",3
Q4918,"{'type': 'Point', 'coordinates': [-73.82954332, 40.72834297]}",3
R3695,"{'type': 'Point', 'coordinates': [-74.16982656, 40.561078]}",1
Q5270,"{'type': 'Point', 'coordinates': [-73.82130359, 40.68250274]}",3
X4762,"{'type': 'Point', 'coordinates': [-73.89341592, 40.85790201]}",5
M1340,"{'type': 'Point', 'coordinates': [-73.96772277, 40.80545283]}",4
M1407,"{'type': 'Point', 'coordinates': [-73.94550864, 40.80197023]}",4
X3778,"{'type': 'Point', 'coordinates': [-73.90558681, 40.89171407]}",5
Q7917,"{'type': 'Point', 'coordinates': [-73.89565167, 40.7426855]}",3
X3722,"{'type': 'Point', 'coordinates': [-73.90657623, 40.87691333]}",5
M1798,"{'type': 'Point', 'coordinates': [-73.921232, 40.86131167]}",4
Q9509,"{'type': 'Point', 'coordinates': [-73.86523871, 40.71997671]}",3
Q4554,"{'type': 'Point', 'coordinates': [-73.82912909, 40.76568772]}",3
R4852,"{'type': 'Point', 'coordinates': [-74.24163828, 40.50483163]}",1
M1151,"{'type': 'Point', 'coordinates': [-73.97758535, 40.78704606]}",4
B2379,"{'type': 'Point', 'coordinates': [-73.92149332, 40.63999206]}",2
B2573,"{'type': 'Point', 'coordinates': [-73.98408782, 40.63929771]}",2
Q6253,"{'type': 'Point', 'coordinates': [-73.81900063, 40.79564319]}",3
Q6806,"{'type': 'Point', 'coordinates': [-73.72964716, 40.7066598]}",3
Q4430,"{'type': 'Point', 'coordinates': [-73.80639406, 40.7565452]}",3
B1978,"{'type': 'Point', 'coordinates': [-73.85947417, 40.67138053]}",2
B0801,"{'type': 'Point', 'coordinates': [-73.9110349, 40.69953211]}",2
X2965,"{'type': 'Point', 'coordinates': [-73.91112232, 40.8494181]}",5
Q2105,"{'type': 'Point', 'coordinates': [-73.85535333, 40.68160698]}",3
B4018,"{'type': 'Point', 'coordinates': [-73.8671807, 40.66045225]}",2
X3969,"{'type': 'Point', 'coordinates': [-73.87269698, 40.89769435]}",5
R2798,"{'type': 'Point', 'coordinates': [-74.16189941, 40.59529877]}",1
B2107,"{'type': 'Point', 'coordinates': [-73.89759944, 40.65983319]}",2
M1417,"{'type': 'Point', 'coordinates': [-73.95680544, 40.80754571]}",4
Q1095,"{'type': 'Point', 'coordinates': [-73.757706, 40.60573893]}",3
B1046,"{'type': 'Point', 'coordinates': [-73.94791393, 40.66253364]}",2
R4761,"{'type': 'Point', 'coordinates': [-74.21812604, 40.50402832]}",1
R0563,"{'type': 'Point', 'coordinates': [-74.12362161, 40.61805942]}",1
Q7934,"{'type': 'Point', 'coordinates': [-73.88387597, 40.74150481]}",3
R1876,"{'type': 'Point', 'coordinates': [-74.1041134, 40.5832691]}",1
R1983,"{'type': 'Point', 'coordinates': [-74.1489379, 40.61022205]}",1
M0428,"{'type': 'Point', 'coordinates': [-73.9825245, 40.72327798]}",4
Q9149,"{'type': 'Point', 'coordinates': [-73.84618699, 40.72629449]}",3
B3661,"{'type': 'Point', 'coordinates': [-73.92842812, 40.58904772]}",2
Q9617,"{'type': 'Point', 'coordinates': [-73.84300917, 40.69724833]}",3
B2934,"{'type': 'Point', 'coordinates': [-73.96184657, 40.62757082]}",2
Q4485,"{'type': 'Point', 'coordinates': [-73.81508733, 40.76037161]}",3
R1525,"{'type': 'Point', 'coordinates': [-74.12687085, 40.61276831]}",1
R2413,"{'type': 'Point', 'coordinates': [-74.13205095, 40.56593022]}",1
R1583,"{'type': 'Point', 'coordinates': [-74.11606167, 40.60801798]}",1
Q5256,"{'type': 'Point', 'coordinates': [-73.77529928, 40.71469631]}",3
B1240,"{'type': 'Point', 'coordinates': [-73.9800351, 40.68185263]}",2
Q7528,"{'type': 'Point', 'coordinates': [-73.92165606, 40.77393148]}",3
M1230,"{'type': 'Point', 'coordinates': [-73.94351861, 40.78363246]}",4
Q9532,"{'type': 'Point', 'coordinates': [-73.86062663, 40.71548717]}",3
B3013,"{'type': 'Point', 'coordinates': [-73.95814639, 40.61821719]}",2
B1843,"{'type': 'Point', 'coordinates': [-73.87130777, 40.67680551]}",2
Q7427,"{'type': 'Point', 'coordinates': [-73.92965062, 40.76079776]}",3
X3085,"{'type': 'Point', 'coordinates': [-73.84906246, 40.84069738]}",5
Q4207,"{'type': 'Point', 'coordinates': [-73.88205387, 40.71245415]}",3
Q6615,"{'type': 'Point', 'coordinates': [-73.78961771, 40.71699938]}",3
Q5578,"{'type': 'Point', 'coordinates': [-73.73149717, 40.72291868]}",3
Q5436,"{'type': 'Point', 'coordinates': [-73.73861196, 40.70838463]}",3
B1571,"{'type': 'Point', 'coordinates': [-73.94976875, 40.65264232]}",2
