location_name,highschool_network_name,y_coordinate,highschool_network_superintendent,:@computed_region_sbqj_enih,managed_by_name,field_support_center_leader_name
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,HS Network 04 Superintendent Office,211251,"ROSALES, MARISOL",8,DOE,"CHU, YUET"
P.S. 040 Augustus Saint-Gaudens,,207177,,7,DOE,"CHU, YUET"
The Anderson School,,223648,,12,DOE,"CHU, YUET"
Urban Assembly Maker Academy,H.S. Network 03 Superintendent Office,198427,"WALSH, FRED",2,DOE,"ANORMALIZA, ALEXANDRA"
Lower Manhattan Community Middle School,,196375,,1,DOE,"CHU, YUET"
P.S. 087 William Sherman,,224076,,12,DOE,"CHU, YUET"
The Urban Assembly School for Green Careers,H.S. Network 03 Superintendent Office,225688,"WALSH, FRED",12,DOE,"ANORMALIZA, ALEXANDRA"
Spruce Street School,,198074,,1,DOE,"CHU, YUET"
P.S. 110 Florence Nightingale,,199992,,4,DOE,"CHU, YUET"
"Collaborative Academy of Science, Technology, & La",,199174,,4,DOE,"CHU, YUET"
Manhattan / Hunter Science High School,H.S. Network 03 Superintendent Office,221591,"WALSH, FRED",12,DOE,"ANORMALIZA, ALEXANDRA"
Life Sciences Secondary School,HS Network 04 Superintendent Office,224654,"ROSALES, MARISOL",11,DOE,"CHU, YUET"
P.S. 452,,223648,,12,DOE,"CHU, YUET"
P.S. 050 Vito Marcantonio,,225483,,14,DOE,"CHU, YUET"
P.S. 041 Greenwich Village,,207221,,3,DOE,"CHU, YUET"
P.S. 006 Lillie D. Blake,,222630,,11,DOE,"CHU, YUET"
Henry Street School for International Studies,,199174,,4,DOE,"CHU, YUET"
J.H.S. 167 Robert F. Wagner,,220373,,11,DOE,"CHU, YUET"
Leadership and Public Service High School,HS Network 04 Superintendent Office,197574,"ROSALES, MARISOL",1,DOE,"CHU, YUET"
P.S. 111 Adolph S. Ochs,,218308,,10,DOE,"CHU, YUET"
Talent Unlimited High School,HS Network 04 Superintendent Office,218222,"ROSALES, MARISOL",11,DOE,"CHU, YUET"
Landmark High School,H.S. Network 12 Superintendent Office,210120,"PELLES, KATHY",6,DOE,"ANORMALIZA, ALEXANDRA"
The Peck Slip School,,197443,,1,DOE,"CHU, YUET"
The East Village Community School,,204339,,5,DOE,"CHU, YUET"
Yorkville East Middle School,,219891,,11,DOE,"CHU, YUET"
P.S. 242 - The Young Diplomats Magnet Academy,,232949,,18,DOE,"CHU, YUET"
"Facing History School, The",H.S. Network 12 Superintendent Office,218160,"PELLES, KATHY",10,DOE,"ANORMALIZA, ALEXANDRA"
J.H.S. 104 Simon Baruch,,207378,,7,DOE,"CHU, YUET"
P.S. 150,,201421,,1,DOE,"CHU, YUET"
"East Side Elementary School, PS 267",,217582,,11,DOE,"CHU, YUET"
Food and Finance High School,HS Network 04 Superintendent Office,218160,"ROSALES, MARISOL",10,DOE,"CHU, YUET"
Pace High School,HS Network 04 Superintendent Office,200219,"ROSALES, MARISOL",2,DOE,"CHU, YUET"
P.S. 009 Sarah Anderson,,225360,,12,DOE,"CHU, YUET"
Manhattan International High School,H.S. Network 12 Superintendent Office,218222,"PELLES, KATHY",11,DOE,"ANORMALIZA, ALEXANDRA"
School for Global Leaders,,201607,,4,DOE,"CHU, YUET"
Community Action School - MS 258,,227605,,15,DOE,"CHU, YUET"
P.S. 075 Emily Dickinson,,228958,,15,DOE,"CHU, YUET"
P.S. 137 John L. Bernstein,,199497,,4,DOE,"CHU, YUET"
University Neighborhood Middle School,,199174,,4,DOE,"CHU, YUET"
P.S. 020 Anna Silver,,202068,,4,DOE,"CHU, YUET"
"Urban Assembly School of Business for Young Women,",H.S. Network 03 Superintendent Office,196375,"WALSH, FRED",1,DOE,"ANORMALIZA, ALEXANDRA"
Urban Academy Laboratory High School,H.S. Network 12 Superintendent Office,218222,"PELLES, KATHY",11,DOE,"ANORMALIZA, ALEXANDRA"
P.S. 124 Yung Wing,,199806,,2,DOE,"CHU, YUET"
Hudson High School of Learning Technologies,HS Network 04 Superintendent Office,210120,"ROSALES, MARISOL",6,DOE,"CHU, YUET"
Union Square Academy for Health Sciences,HS Network 04 Superintendent Office,207189,"ROSALES, MARISOL",7,DOE,"CHU, YUET"
High School of Economics and Finance,HS Network 04 Superintendent Office,197683,"ROSALES, MARISOL",1,DOE,"CHU, YUET"
P.S. 163 Alfred E. Smith,,228978,,15,DOE,"CHU, YUET"
P.S. 084 Lillian Weber,,226907,,15,DOE,"CHU, YUET"
East Side Middle School,,223621,,11,DOE,"CHU, YUET"
M.S. 243 Center School,,225360,,12,DOE,"CHU, YUET"
P.S. 142 Amalia Castro,,200908,,4,DOE,"CHU, YUET"
Stephen T. Mather Building Arts & Craftsmanship Hi,H.S. Network 03 Superintendent Office,217497,"WALSH, FRED",10,DOE,"ANORMALIZA, ALEXANDRA"
Ella Baker School,,218222,,11,DOE,"CHU, YUET"
High School M560 - City As School,H.S. Network 12 Superintendent Office,204890,"PELLES, KATHY",3,DOE,"ANORMALIZA, ALEXANDRA"
Beacon High School,H.S. Network 12 Superintendent Office,216595,"PELLES, KATHY",10,DOE,"ANORMALIZA, ALEXANDRA"
P.S. 165 Robert E. Simon,,231707,,15,DOE,"CHU, YUET"
Tag Young Scholars,,228032,,14,DOE,"CHU, YUET"
Quest to Learn,H.S. Network 07 Superintendent Office,210120,"CONYERS, DONALD",6,DOE,"ANORMALIZA, ALEXANDRA"
P.S. 290 Manhattan New School,,221700,,11,DOE,"CHU, YUET"
