principal_name,status_descriptions,grades_text,community_school_sup_name,census_tract,:@computed_region_yeji_bk3q,nta_name,nta,state_code,location_type_description,open_date,principal_title
Bernardo Ascona,Open,"09,10,11,12,SE",,5000,4,Gramercy                                                                   ,MN21,NY,Career Technical,2012-07-01T00:00:00.000,PRINCIPAL
Don Catlin,Open,"PK,0K,01,02,03,04,05,SE","ESTRELLA, ALEXANDRA",19200,4,East Harlem North                                                          ,MN34,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
HENRY ZYMECK,Open,"06,07,08,SE","ALTSCHUL, ILENE",16100,4,Upper West Side                                                            ,MN12,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
PATRICIA MINAYA,Open,"09,10,11,12,SE",,900,4,Battery Park City-Lower Manhattan                                          ,MN25,NY,General Academic,2005-07-01T00:00:00.000,PRINCIPAL
Siv Boletsis,Open,"09,10,11,12,SE",,7200,4,Murray Hill-Kips Bay                                                       ,MN20,NY,General Academic,2010-07-01T00:00:00.000,PRINCIPAL
EDWARD DEMEO,Open,"09,10,11,12,SE",,11900,4,Midtown-Midtown South                                                      ,MN17,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
COLIN MCEVOY,Open,"09,10,11,12,SE",,900,4,Battery Park City-Lower Manhattan                                          ,MN25,NY,General Academic,2002-07-01T00:00:00.000,PRINCIPAL
JACQUELINE FLANAGAN,Open,"PK,0K,01,02,03,04,05,SE","PHILLIPS, DANIELLA",4000,4,East Village                                                               ,MN22,NY,General Academic,1956-07-01T00:00:00.000,PRINCIPAL
Daniel Kim,Open,"PK,0K,01,02,03,04,05,SE","PHILLIPS, DANIELLA",202,4,Lower East Side                                                            ,MN28,NY,General Academic,1960-07-01T00:00:00.000,PRINCIPAL
Jonathan Levin,Open,"06,07,08,09,SE","LABOY, BONNIE",5200,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,2000-06-21T00:00:00.000,PRINCIPAL
WATFA SHAMA,Open,"09,10,11,12,SE",,6400,4,Gramercy                                                                   ,MN21,NY,Special Education,1908-07-01T00:00:00.000,PRINCIPAL
YVES MOMPOINT JR,Open,"09,10,11,12,SE",,13500,4,Clinton                                                                    ,MN15,NY,General Academic,2004-09-08T00:00:00.000,PRINCIPAL
Lisa Mars,Open,"09,10,11,12",,15100,4,Lincoln Square                                                             ,MN14,NY,General Academic,1984-07-01T00:00:00.000,PRINCIPAL
PHYLLIS TAM,Open,"06,07,08,SE","LABOY, BONNIE",1600,4,Chinatown                                                                  ,MN27,NY,General Academic,1983-07-01T00:00:00.000,PRINCIPAL
Daryl Blank,Open,"09,10,11,12,SE",,9100,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,Career Technical,1940-07-01T00:00:00.000,PRINCIPAL
DAVID BOWELL,Open,"PK,0K,01,02,03,04,05,06,07,08,SE","LABOY, BONNIE",6400,4,Gramercy                                                                   ,MN21,NY,General Academic,2005-07-01T00:00:00.000,PRINCIPAL
Renny Fong,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",4100,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,MN24,NY,General Academic,1921-07-01T00:00:00.000,PRINCIPAL
FAUSTO DE LA ROSA,Open,"09,10,11,12,SE",,7200,4,Murray Hill-Kips Bay                                                       ,MN20,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
LANA FLEMING,Open,"PK,0K,01,02,03,04,05,06,07,08,SE","ALTSCHUL, ILENE",25700,4,Central Harlem South                                                       ,MN11,NY,General Academic,1960-07-01T00:00:00.000,PRINCIPAL
MANDANA BECKMAN,Open,"PK,0K,01,02,03,04,05,06,07,08,SE","LABOY, BONNIE",23801,4,Lenox Hill-Roosevelt Island                                                ,MN31,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
SARAH PINTO VIAGRAN,Open,"PK,0K,01,02,03,04,05,SE","PHILLIPS, DANIELLA",202,4,Lower East Side                                                            ,MN28,NY,General Academic,1966-07-01T00:00:00.000,I.A. PRINCIPAL
