principal_name,status_descriptions,grades_text,community_school_sup_name,census_tract,:@computed_region_yeji_bk3q,nta_name,nta,state_code,location_type_description,open_date,principal_title
ROY ONEILL,Open,"04,05,06,07,08","LABOY, BONNIE",5200,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,2001-07-01T00:00:00.000,PRINCIPAL
Seung Yu,Open,"09,10,11,12,SE",,5000,4,Gramercy                                                                   ,MN21,NY,Career Technical,2012-07-01T00:00:00.000,PRINCIPAL
STEPHEN NOONAN,Open,"09,10,11,12,SE",,15100,4,Lincoln Square                                                             ,MN14,NY,General Academic,2005-07-01T00:00:00.000,PRINCIPAL
DARLENE MILLER,Open,"09,10,11,12",,8300,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
Zeynep Ozkan,Open,"06,07,08,SE","LABOY, BONNIE",31703,4,Battery Park City-Lower Manhattan                                          ,MN25,NY,General Academic,1998-05-27T00:00:00.000,PRINCIPAL
MARIA VELEZ CLARKE,Open,"PK,0K,01,02,03,04,05,SE","PHILLIPS, DANIELLA",2800,4,Lower East Side                                                            ,MN28,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
Brian Zager,Open,"06,07,08,SE","ALTSCHUL, ILENE",17700,4,Upper West Side                                                            ,MN12,NY,General Academic,1999-06-28T00:00:00.000,PRINCIPAL
MICHAEL STANZIONE,Open,"09,10,11,12,SE",,1300,4,Battery Park City-Lower Manhattan                                          ,MN25,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
ROBERT GENTILE,Open,"09,10,11,12,SE",,4800,4,Gramercy                                                                   ,MN21,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
Dana Panagot,Open,"09,10,11,12,SE",,13500,4,Clinton                                                                    ,MN15,NY,General Academic,2005-07-01T00:00:00.000,PRINCIPAL
Alan Cheng,Open,"10,11,12",,6700,4,West Village                                                               ,MN23,NY,Transfer School,1999-07-01T00:00:00.000,PRINCIPAL
Marlon Lowe,Open,"06,07,08,SE","ALTSCHUL, ILENE",19500,4,Morningside Heights                                                        ,MN09,NY,General Academic,2001-07-01T00:00:00.000,PRINCIPAL
Sarah Hernandez,Open,"09,10,11,12,SE",,5000,4,Gramercy                                                                   ,MN21,NY,General Academic,2009-07-01T00:00:00.000,I.A. PRINCIPAL
Jennifer Rehn,Open,"06,07,08,SE","LABOY, BONNIE",13400,4,Lenox Hill-Roosevelt Island                                                ,MN31,NY,General Academic,1956-07-01T00:00:00.000,PRINCIPAL
MANUEL URENA,Open,"09,10,11,12,SE",,10800,4,Turtle Bay-East Midtown                                                    ,MN19,NY,Career Technical,1960-07-01T00:00:00.000,PRINCIPAL
ELANA ELSTER,Open,"06,07,08,SE","ALTSCHUL, ILENE",19300,4,Morningside Heights                                                        ,MN09,NY,General Academic,1950-07-01T00:00:00.000,PRINCIPAL
LAURA PEYNADO CASTRO,Open,"06,07,08,SE","PHILLIPS, DANIELLA",201,4,Lower East Side                                                            ,MN28,NY,General Academic,2004-09-13T00:00:00.000,PRINCIPAL
JEAN MCTAVISH,Open,"10,11,12,SE",,18900,4,Upper West Side                                                            ,MN12,NY,Transfer School,1900-07-01T00:00:00.000,PRINCIPAL
MELODY KELLOGG,Open,"09,10,11",,1600,4,Chinatown                                                                  ,MN27,NY,Transfer School,2009-07-01T00:00:00.000,PRINCIPAL
Chingchien Wang,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",9700,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,1951-07-01T00:00:00.000,I.A. PRINCIPAL
Margaret Siena,Open,"PK,0K,01,02,03,SE","LABOY, BONNIE",1501,4,Battery Park City-Lower Manhattan                                          ,MN25,NY,General Academic,2012-07-01T00:00:00.000,PRINCIPAL
Lorraine Hasty,Open,"PK,0K,01,02,03,04,05,06,07,08,SE","ESTRELLA, ALEXANDRA",18200,4,East Harlem North                                                          ,MN34,NY,General Academic,1964-07-01T00:00:00.000,PRINCIPAL
Rodolfo Elizondo,Open,"09,10,11,SE",,2900,4,Chinatown                                                                  ,MN27,NY,Career Technical,2013-07-01T00:00:00.000,PRINCIPAL
Rhonda Huegel,Open,"09,10,11,12",,8100,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,Transfer School,1999-07-01T00:00:00.000,PRINCIPAL
Novella Bailey,Open,"06,07,08,SE","ALTSCHUL, ILENE",18300,4,Upper West Side                                                            ,MN12,NY,General Academic,1999-06-22T00:00:00.000,PRINCIPAL
DIMITRI SALIANI,Open,"09,10,11,12,SE",,13200,4,Lenox Hill-Roosevelt Island                                                ,MN31,NY,General Academic,2002-07-01T00:00:00.000,PRINCIPAL
Brady Smith,Open,"09,10,11,12,SE",,8900,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,Transfer School,2005-07-01T00:00:00.000,PRINCIPAL
KELLY SHANNON,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",7100,4,West Village                                                               ,MN23,NY,General Academic,1958-07-01T00:00:00.000,PRINCIPAL
Michael Fram,Open,"09,10,11,12,SE",,11900,4,Midtown-Midtown South                                                      ,MN17,NY,General Academic,1996-06-05T00:00:00.000,I.A. PRINCIPAL
Amber Najmi Shadid,Open,"09,10,11,12,SE",,13900,4,Clinton                                                                    ,MN15,NY,General Academic,1996-06-05T00:00:00.000,I.A. PRINCIPAL
Kimberly Bradley,Open,"09,10,11,12,SE",,3700,4,SoHo-TriBeCa-Civic Center-Little Italy                                     ,MN24,NY,Career Technical,1905-07-01T00:00:00.000,I.A. PRINCIPAL
ADELE SCHROETER,Open,"0K,01,02,03,04,05,SE","LABOY, BONNIE",10800,4,Turtle Bay-East Midtown                                                    ,MN19,NY,General Academic,1960-07-01T00:00:00.000,PRINCIPAL
