beds_number,school_support_team_name,grades_final_text,geographical_district_code,highschool_network_location_code,:@computed_region_efsh_h5xi,council_district,administrative_district_name,borough_block_lot
310100011650,School Support Team 2- Manhattan,"09,10,11,12",1,HS10,11723.0,1,,1004220072
310200011432,School Support Team 2- Manhattan,"09,10,11,12",2,HS10,12078.0,2,,1008897501
310200011625,School Support Team 2- Manhattan,"09,10,11,12",2,HS04,12081.0,3,,1010590015
310200010276,School Support Team 4- Manhattan,"0K,01,02,03,04,05,06,07,08",2,,10367.0,1,COMMUNITY SCHOOL DISTRICT 02,1000160040
310300011402,School Support Team 5- Affinity Group,"09,10,11,12",3,HS03,12421.0,6,,1012150001
310200010003,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",2,,12077.0,3,COMMUNITY SCHOOL DISTRICT 02,1005850041
310300010421,School Support Team 5- Manhattan,"06,07,08",3,,12422.0,7,COMMUNITY SCHOOL DISTRICT 03,1018590001
310100010378,School Support Team 3- Manhattan,"06,07,08",1,,11723.0,1,COMMUNITY SCHOOL DISTRICT 01,1003540080
310200011570,School Support Team 2- Manhattan,"09,10,11,12",2,HS10,11722.0,3,,1008050071
310300011404,School Support Team 2- Affinity Group,"09,10,11,12",3,HS07,12421.0,6,,1012150001
310300011403,School Support Team 2- Manhattan,"09,10,11,12",3,HS03,12421.0,6,,1012150001
310200010051,School Support Team 4- Manhattan,"0K,01,02,03,04,05",2,,13094.0,3,COMMUNITY SCHOOL DISTRICT 02,1010730014
310100010020,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",1,,11723.0,1,COMMUNITY SCHOOL DISTRICT 01,1003550001
310200010001,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05",2,,13096.0,1,COMMUNITY SCHOOL DISTRICT 02,1002790040
310200011551,School Support Team 5- Affinity Group,"09,10,11,12",2,HS03,11725.0,1,,1000010010
310200010397,School Support Team 4- Manhattan,"0K,01,02,03,04,05,06,07,08",2,,13096.0,1,COMMUNITY SCHOOL DISTRICT 02,1001000001
310200011300,School Support Team 5- Affinity Group,"09,10,11,12",2,HS03,12081.0,3,,1010790029
310200011439,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,12073.0,3,,1008240015
310100011450,School Support Team 4- Affinity Group,"06,07,08,09,10,11,12",1,HS12,11729.0,2,,1004390017
310200011294,School Support Team 1- Affinity Group,"09,10,11,12",2,HS12,11723.0,1,,1004080030
310200011282,School Support Team 5- Affinity Group,"09,10,11,12",2,HS03,13096.0,1,,1001130100
310200011298,School Support Team 1- Manhattan,"09,10,11,12",2,HS04,11723.0,1,,1003010003
310100010839,School Support Team 3- Manhattan,"06,07,08",1,,11729.0,2,COMMUNITY SCHOOL DISTRICT 01,1003870001
310100010140,School Support Team 3- Manhattan,"PK,0K,01,02,03,04,05,06,07,08",1,,11723.0,1,COMMUNITY SCHOOL DISTRICT 01,1003440001
