location_code,fax_number,community_district,primary_address_line_1
M650,646-654-1742,103,198 FORSYTH STREET
M432,212-696-2498,105,111 EAST  33RD STREET
M625,212-265-1552,104,439 WEST 49TH STREET
M276,,101,55 BATTERY PLACE
M402,212-787-1455,107,145 WEST  84 STREET
M003,212-675-5306,102,490 HUDSON STREET
M421,212-280-8509,107,150 WEST 105 STREET
M378,212-432-5586,103,145 STANTON STREET
M570,646-674-2829,105,120 WEST  30 STREET
M404,212-724-2765,107,145 WEST  84 STREET
M403,212-877-1138,107,145 WEST  84 STREET
M051,212-315-7165,104,525 WEST 44TH STREET
M020,212-254-3526,103,166 ESSEX STREET
M001,212-267-4469,103,8 HENRY STREET
M551,212-458-0801,101,"10 SOUTH STREET, SLIP 7"
M397,212-266-4805,101,12 SPRUCE STREET
M300,212-586-1731,104,525 WEST  50TH STREET
M439,212-242-7630,105,43 WEST  22 STREET
M450,212-260-9657,103,420 EAST 12 STREET
M294,212-674-2058,103,350 GRAND STREET
M282,212-225-0991,101,411 PEARL STREET
M298,212-334-4919,103,100 HESTER STREET
M839,212-979-1341,103,600 EAST  6 STREET
M140,212-677-3907,103,123 RIDGE STREET
M459,212-517-7147,108,317 EAST  67 STREET
M411,212-683-7338,105,55 EAST  25 STREET
M110,212-475-5835,103,285 DELANCY STREET
M407,212-475-0459,106,345 EAST  15TH STREET
M076,212-678-2867,110,220 WEST 121 STREET
M177,917-432-5418,108,1458 YORK AVENUE
M507,212-246-2654,104,439 WEST 49TH STREET
M234,212-374-1719,101,292 GREENWICH STREET
M243,212-579-9728,107,100 WEST  84 STREET
M860,212-865-9281,110,215 WEST 114 STREET
M305,212-674-8021,103,350 GRAND STREET
M185,212-831-8613,110,20 WEST 112 STREET
M007,212-860-6070,111,160 EAST 120 STREET
M077,212-423-0634,108,1700 3 AVENUE
M011,212-989-7816,104,320 WEST  21 STREET
M212,212-757-4933,104,328 WEST  48 STREET
M520,212-732-6622,101,411 PEARL STREET
M575,212-353-1673,106,240 2 AVENUE
M859,212-501-3339,107,129 WEST  67 STREET
M247,212-579-2407,107,32 WEST  92 STREET
M345,212-577-9785,103,220 HENRY STREET
M449,212-517-5334,108,317 EAST  67 STREET
M544,212-262-8110,104,850 10TH AVENUE
M415,212-749-6463,110,215 WEST 114 STREET
M084,212-501-9071,107,32 WEST  92 STREET
M586,212-674-8650,102,2-10 ASTOR PLACE
M696,212-777-4702,103,525 EAST HOUSTON STREET
M448,212-267-5611,103,200 MONROE STREET
M605,212-929-4445,104,351 WEST  18 STREET
M452,212-496-1087,107,100 WEST  77 STREET
M458,212-260-3063,103,198 FORSYTH STREET
M208,212-534-8227,110,21 WEST 111 STREET
M063,212-420-9018,103,121 EAST  3 STREET
M158,212-772-8424,108,1458 YORK AVENUE
M580,646-826-8175,101,26 BROADWAY
M541,212-501-1171,107,122 AMSTERDAM AVENUE
M009,212-873-4681,107,100 WEST  84 STREET
M280,212-225-0882,101,411 PEARL STREET
M002,212-608-4080,103,122 HENRY STREET
M437,212-488-3335,104,351 WEST  18 STREET
M191,212-757-1022,107,210 WEST  61 STREET
M534,212-242-4173,102,34 WEST  14 STREET
M519,212-737-2863,108,317 EAST  67 STREET
M288,212-586-4205,104,525 WEST  50TH STREET
M442,212-477-5048,105,890 BROADWAY
M546,212-253-3289,106,40 IRVING PLACE
M299,212-799-4171,107,122 AMSTERDAM AVENUE
M414,212-675-6524,104,333 WEST  17 STREET
M289,212-587-6610,101,201 WARREN STREET
M361,212-614-9462,103,610 EAST  12 STREET
M256,212-531-0586,107,154 WEST  93 STREET
M489,212-346-0712,101,100 TRINITY PLACE
M420,212-979-7261,106,345 EAST  15TH STREET
M303,212-757-2156,104,525 WEST  50TH STREET
M560,212-337-6875,102,16 CLARKSON STREET
M862,212-222-0560,107,234 WEST 109 STREET
M399,212-253-2539,106,40 IRVING PLACE
M167,212-472-9385,108,220 EAST  76 STREET
M630,212-752-4945,106,231-249 EAST 56 STREET
M054,212-316-0883,107,103 WEST 107 STREET
M332,212-349-8224,103,220 HENRY STREET
M505,212-678-7380,107,140 WEST 102 STREET
M394,212-925-5920,103,100 HESTER STREET
M033,212-629-6893,104,281 9 AVENUE
M343,212-312-6265,101,1 PECK SLIP
M057,212-860-6072,111,176 EAST 115 STREET
M135,212-225-0996,101,411 PEARL STREET
M550,212-727-1369,104,250 WEST  18 STREET
M250,212-678-5295,107,735 WEST END AVENUE
M416,212-772-1440,108,411 EAST 76 STREET
M313,212-627-9803,104,351 WEST  18 STREET
M041,212-924-0910,102,116 WEST  11 STREET
M531,212-382-2306,105,123 WEST  43 STREET
M400,212-262-0702,104,444 WEST 56 STREET
M615,212-941-7934,102,131 AVENUE OF THE AMERICAS
M059,212-888-7872,106,231-249 EAST 56 STREET
M527,212-828-2712,108,323 EAST 91 STREET
M334,212-496-2854,107,100 WEST  77 STREET
M104,212-477-2205,106,330 EAST  21 STREET
M422,,104,351 WEST  18 STREET
M413,212-475-9273,105,127 EAST  22 STREET
M542,646-557-3926,104,525 WEST  50TH STREET
M188,212-228-3007,103,442 EAST HOUSTON STREET
M116,212-696-1009,106,210 EAST  33 STREET
M150,212-766-5895,101,334 GREENWICH STREET
M312,212-691-6219,104,333 WEST  17 STREET
M475,212-587-3874,101,345 CHAMBERS STREET
M242,212-678-2927,110,134 WEST 122 STREET
M199,212-799-1179,107,270 WEST  70 STREET
M292,212-406-9417,103,220 HENRY STREET
M042,212-431-7384,103,71 HESTER STREET
M408,212-247-7514,104,328 WEST  48 STREET
M333,212-222-1828,107,154 WEST  93 STREET
M425,212-346-0612,101,90 TRINITY PLACE
M896,646-826-8101,101,26 BROADWAY
M151,212-427-8069,108,421 EAST  88 STREET
M166,212-579-4542,107,132 WEST  89 STREET
M419,212-647-7416,104,351 WEST  18 STREET
M308,212-674-8021,103,350 GRAND STREET
M165,212-222-6700,107,234 WEST 109 STREET
M515,212-260-0813,103,145 STANTON STREET
M374,212-253-8095,106,40 IRVING PLACE
M543,212-674-2128,103,350 GRAND STREET
M291,212-245-1291,107,227-243 WEST 61ST STREET
M183,212-861-8314,108,419 EAST  66 STREET
M064,212-477-2369,103,600 EAST  6 STREET
M149,212-289-6089,110,41 WEST 117 STREET
M281,212-251-6645,106,425 EAST 35TH STREET
M015,212-477-0931,103,333 EAST  4 STREET
M075,212-866-5543,107,735 WEST END AVENUE
M376,212-219-0743,102,131 AVENUE OF THE AMERICAS
M417,212-362-5926,107,145 WEST  84 STREET
M255,212-614-0095,106,319 EAST 19 STREET
M087,212-678-5886,107,160 WEST  78 STREET
M034,212-353-1973,103,730 EAST  12 STREET
M539,212-260-8124,103,111 COLUMBIA STREET
M392,212-647-1989,104,351 WEST  18 STREET
M139,212-245-4669,104,439 WEST 49TH STREET
M545,212-674-1392,103,350 GRAND STREET
M241,212-678-2975,110,240 WEST 113 STREET
M040,212-533-5388,106,319 EAST 19 STREET
M126,212-349-7342,103,80 CATHERINE STREET
M364,212-477-2396,103,600 EAST  6 STREET
M393,212-246-2913,104,439 WEST 49TH STREET
M012,212-831-1842,111,240 EAST 109 STREET
M509,212-475-7588,103,145 STANTON STREET
M655,212-348-4293,108,320 EAST  96 STREET
M479,212-465-4235,104,522 WEST 44TH STREET
M301,212-982-0528,103,185 1 AVENUE
M111,212-245-7236,104,440 WEST  53 STREET
M145,212-222-4610,107,150 WEST 105 STREET
M290,212-772-8879,108,311 EAST  82 STREET
M340,917-305-1005,105,590 SIXTH AVENUE
M089,212-571-0739,101,201 WARREN STREET
M492,212-501-1195,107,122 AMSTERDAM AVENUE
M225,212-717-8807,108,317 EAST  67 STREET
M258,212-531-7351,107,154 WEST  93 STREET
M494,917-441-3693,107,122 AMSTERDAM AVENUE
M565,212-570-5366,108,317 EAST  67 STREET
M038,212-860-6093,111,232 EAST 103 STREET
M412,212-691-2147,104,333 WEST  17 STREET
M363,212-387-0198,103,121 EAST  3 STREET
M114,212-360-0121,108,331 EAST 91ST STREET
M267,212-371-2891,108,213 EAST 63RD STREET
M933,212-695-9615,104,425 WEST 33RD STREET
M124,212-219-3069,103,40 DIVISION STREET
M050,212-860-6071,111,433 EAST 100 STREET
M142,212-598-3810,103,100 ATTORNEY STREET
M006,212-772-8669,108,45 EAST  81 STREET
M184,212-602-9710,103,327 CHERRY STREET
M163,212-678-2856,107,163 WEST  97 STREET
M307,212-580-0156,107,122 AMSTERDAM AVENUE
M438,212-228-2946,106,40 IRVING PLACE
M198,212-410-1731,108,1700 3 AVENUE
M315,212-260-4012,103,610 EAST  12 STREET
M533,212-253-3108,106,40 IRVING PLACE
M037,212-289-9231,111,508 EAST 120 STREET
M245,212-678-5908,107,100 WEST  77 STREET
M316,212-668-0635,101,26 BROADWAY
M427,212-576-0518,105,111 EAST  33RD STREET
M529,212-391-1293,105,120 WEST  46 STREET
M418,212-825-9095,101,75 BROAD STREET
M019,212-673-1477,103,185 1 AVENUE
M134,212-475-6142,103,293 EAST BROADWAY
M260,212-524-4365,105,10 East 15th Street
M047,917-326-6688,106,223 EAST 23 STREET
M296,212-265-1307,104,525 WEST  50TH STREET
M485,212-724-5748,107,100 AMSTERDAM AVENUE
M131,212-925-6386,103,100 HESTER STREET
M600,212-255-4756,104,225 WEST  24 STREET
M347,,106,223 EAST 23 STREET
M130,212-431-5524,102,143 BAXTER STREET
M500,212-576-0562,105,111 EAST  33RD STREET
M180,212-665-1572,110,370 WEST 120TH STREET
M217,212-980-1192,108,645 MAIN STREET
M137,646-602-2146,103,293 EAST BROADWAY
