pivot-metric,pivot-value,ats_system_code,location_code,location_name,:@computed_region_f5dn_yrer,location_category_description,field_support_center_name
beds_number,310200010340.0,02M340      ,M340,Sixth Avenue Elementary School,11,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M343      ,M343,The Peck Slip School,56,Elementary,Field Support Center - Manhattan
beds_number,310200011425.0,02M425      ,M425,Leadership and Public Service High School,56,High school,Field Support Center - Manhattan
beds_number,310300010245.0,03M245      ,M245,M.S. M245 The Computer School,20,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,02M425      ,M425,Leadership and Public Service High School,56,High school,Field Support Center - Manhattan
school_support_team_leader_name,,03M199      ,M199,P.S. 199 Jessie Isador Straus,20,Elementary,Field Support Center - Manhattan
beds_number,310200011374.0,02M374      ,M374,Gramercy Arts High School,71,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M003      ,M003,P.S. 003 Charrette School,57,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,01M509      ,M509,Marta Valle High School,70,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M280      ,M280,Manhattan Early College School for Advertising,56,High school,Affinity Group
school_support_team_leader_name,,02M519      ,M519,Talent Unlimited High School,23,High school,Field Support Center - Manhattan
school_support_team_leader_name,,01M458      ,M458,Forsyth Satellite Academy,70,High school,Affinity Group
beds_number,310200010151.0,02M151      ,M151,Yorkville Community School,23,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M225      ,M225,Ella Baker School,23,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,02M442      ,M442,"Ballet Tech, NYC Public School for Dance",11,K-8,Field Support Center - Manhattan
beds_number,310300011505.0,03M505      ,M505,Edward A. Reynolds West Side High School,20,High school,Field Support Center - Manhattan
school_support_team_leader_name,,02M449      ,M449,Vanguard High School,23,High school,Affinity Group
school_support_team_leader_name,,02M605      ,M605,Humanities Preparatory Academy,12,High school,Affinity Group
school_support_team_leader_name,,02M544      ,M544,Independence High School,12,High school,Field Support Center - Manhattan
school_support_team_leader_name,,01M539      ,M539,"New Explorations into Science, Technology and Math",70,K-12 all grades,Field Support Center - Manhattan
beds_number,310200011543.0,02M543      ,M543,New Design High School,70,High school,Affinity Group
beds_number,310200010198.0,02M198      ,M198,P.S. 198 Isador E. Ida Straus,23,Elementary,Field Support Center - Manhattan
beds_number,310200010217.0,02M217      ,M217,P.S./I.S. 217 Roosevelt Island,23,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,03M403      ,M403,The Global Learning Collaborative,20,High school,Field Support Center - Manhattan
school_support_team_leader_name,,01M361      ,M361,The Children's Workshop School,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M042      ,M042,P.S. 042 Benjamin Altman,70,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,01M301      ,M301,"Technology, Arts, and Sciences Studio",70,Junior High-Intermediate-Middle,Field Support Center - Manhattan
beds_number,310200011408.0,02M408      ,M408,Professional Performing Arts High School,12,Secondary School,Field Support Center - Manhattan
school_support_team_leader_name,,02M303      ,M303,"Facing History School, The",12,High school,Affinity Group
beds_number,310200010183.0,02M183      ,M183,P.S. 183 Robert L. Stevenson,23,Elementary,Field Support Center - Manhattan
beds_number,310200011533.0,02M533      ,M533,Union Square Academy for Health Sciences,71,High school,Field Support Center - Manhattan
beds_number,310200011419.0,02M419      ,M419,Landmark High School,12,High school,Affinity Group
school_support_team_leader_name,,03M087      ,M087,P.S. 087 William Sherman,20,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,02M089      ,M089,P.S. 89,56,Elementary,Field Support Center - Manhattan
beds_number,310100010378.0,01M378      ,M378,School for Global Leaders,70,Junior High-Intermediate-Middle,Field Support Center - Manhattan
school_support_team_leader_name,,03M242      ,M242,P.S. 242 - The Young Diplomats Magnet Academy,18,Elementary,Field Support Center - Manhattan
school_support_team_leader_name,,03M492      ,M492,"High School for Law, Advocacy and Community Justic",20,High school,Field Support Center - Manhattan
beds_number,310200010276.0,02M276      ,M276,Battery Park City School,56,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,01M184      ,M184,P.S. 184m Shuang Wen,70,K-8,Field Support Center - Manhattan
school_support_team_leader_name,,02M116      ,M116,P.S. 116 Mary Lindley Murray,71,Elementary,Field Support Center - Manhattan
beds_number,310300011404.0,03M404      ,M404,Innovation Diploma Plus,20,High school,Affinity Group
school_support_team_leader_name,,02M316      ,M316,"Urban Assembly School of Business for Young Women,",56,High school,Affinity Group
