allegation_record_identity,complaint_id,complaint_officer_number,officer_rank_at_incident,victim_allegedvictim_race_legacy,fado_type,officer_command_at_incident
424725,200512263,1,,Unknown,Abuse of Authority,
1328738,202508306,2,Police Officer,,Force,028 PCT
271385,200104768,1,Police Officer,,Discourtesy,HWY 03
841560,201307244,1,,Unknown,Abuse of Authority,
794078,201109749,4,,Black,Force,
1198351,202207625,1,Police Officer,American Indian,Abuse of Authority,PSA 3
904881,201500353,1,Police Officer,Hispanic,Abuse of Authority,075 PCT
589074,200706785,1,Police Officer,Black,Abuse of Authority,047 PCT
520948,200607438,1,Detective,Black,Abuse of Authority,NARCBBN
295670,200202684,1,Police Officer,Hispanic,Abuse of Authority,068 PCT
1277372,202405266,2,Police Officer,,Force,PSA 3
882786,201404809,1,Sergeant,Hispanic,Force,PSA 7
488048,200617149,1,,White,Abuse of Authority,
546588,200616849,2,Police Officer,Black,Abuse of Authority,081 PCT
446347,200605335,1,,Hispanic,Force,
905946,201500126,1,,Black,Abuse of Authority,
1048211,201901085,1,Detective,Black,Abuse of Authority,NARCBQN
1192297,202206062,1,Police Officer,Black,Abuse of Authority,088 PCT
625323,200818228,2,Police Officer,Black,Force,NARCBBS
514459,200709509,1,,Black,Abuse of Authority,
420772,200512863,1,Police Officer,Hispanic,Abuse of Authority,033 PCT
899472,201411165,2,,White,Abuse of Authority,
1025630,201802411,2,,Black,Force,Unknown
798233,201209446,2,,Black,Abuse of Authority,
624725,200901716,1,,Unknown,Force,
705222,201010601,1,Police Officer,Black,Discourtesy,102 PCT
1227533,202305081,1,Police Officer,,Abuse of Authority,PSA 8
746797,201107984,1,,Hispanic,Abuse of Authority,
930007,201508105,1,Police Officer,Black,Abuse of Authority,113 PCT
1100511,202003755,2,,,Abuse of Authority,
1146848,201911107,6,Police Officer,Unknown,Abuse of Authority,048 PCT
584522,200811097,1,,Black,Abuse of Authority,
415556,200511067,1,Police Officer,Hispanic,Discourtesy,062 PCT
1285276,202405046,2,Lieutenant,,Force,121 PCT
466184,200611224,2,,Black,Abuse of Authority,
805164,201213262,1,,Unknown,Force,165 PBBN
1166984,202107301,2,Police Officer,Asian,Abuse of Authority,067 PCT
253399,200001480,3,Sergeant,Hispanic,Force,ND BKSI
751265,201109773,1,,Other Race,Abuse of Authority,
295689,200106083,1,Chiefs and other ranks,Black,Abuse of Authority,TB DT01
1035359,201807645,1,,Hispanic,Abuse of Authority,067 PCT
332908,200307572,1,,Unknown,Discourtesy,
393158,200503163,1,Detective,Hispanic,Discourtesy,075 DET
956653,201605492,2,Police Officer,Black,Abuse of Authority,103 PCT
677125,200919404,2,Police Officer,Black,Discourtesy,046 PCT
1001889,201709033,1,,White,Discourtesy,Unknown
304955,200207383,1,Police Officer,White,Force,050 PCT
446007,200602572,3,,Black,Discourtesy,
950523,201601951,2,Police Officer,Black,Force,120 PCT
1034301,201806404,3,Sergeant,Black,Discourtesy,067 PCT
1108953,202003817,1,Police Officer,White,Abuse of Authority,108 PCT
1071953,201908427,1,Sergeant,,Abuse of Authority,INT CIS
1022697,201802249,2,Police Officer,Black,Abuse of Authority,PSA 5
1165179,202006874,1,Police Officer,Black,Abuse of Authority,084 PCT
1255822,202311112,3,Police Officer,,Abuse of Authority,BS SU CRT
741425,201105891,1,Detective,Black,Abuse of Authority,044 PCT
759669,201109091,2,Police Officer,Black,Abuse of Authority,048 PCT
1135907,202102403,2,Sergeant,White,Force,SRG 4
506977,200611131,2,Police Officer,Black,Abuse of Authority,105 PCT
820757,201302197,1,Police Officer,Black,Force,TB H/O
580989,200804389,1,Police Officer,Black,Force,040 PCT
1295644,202410068,1,,,Abuse of Authority,
589682,200804965,2,Lieutenant,Black,Abuse of Authority,PSA 7
473919,200613495,1,Police Officer,Hispanic,Abuse of Authority,046 PCT
418023,200508301,2,,Black,Force,
551384,200800620,1,Police Officer,Black,Force,047 PCT
974996,201610320,2,Police Officer,Asian,Abuse of Authority,047 PCT
