allegation_record_identity,officer_rank_abbreviation_at_incident,victim_alleged_victim_race_ethnicity,victim_allegedvictim_gender,ccrb_allegation_disposition,tax_id,officer_days_on_force_at_incident,nypd_allegation_disposition
526699,POF,,Male/Man,Complainant Unavailable,903907.0,5129.0,
336205,POF,,Male/Man,Exonerated,929109.0,802.0,
1055203,POM,,Female/Woman,Complainant Uncooperative,965954.0,292.0,
536661,,,Male/Man,Complaint Withdrawn,,0.0,
1086463,,,Male/Man,Complainant Uncooperative,,0.0,
738219,,,Female/Woman,Complainant Uncooperative,,0.0,
1007183,POM,,Female/Woman,Complainant Uncooperative,932184.0,5283.0,
1291816,SGT,,Male/Man,Substantiated (Formalized Training),949176.0,5025.0,
564036,,,,Alleged Victim Unavailable,,0.0,
911495,,,Male/Man,Officer(s) Unidentified,,,
651975,POM,,Female/Woman,Exonerated,941724.0,1020.0,
403049,POM,,Male/Man,Alleged Victim Uncooperative,924979.0,1588.0,
672686,SGT,,Male/Man,Unsubstantiated,929108.0,4054.0,
496781,POM,,Male/Man,Unfounded,915545.0,4142.0,
278502,,,Male/Man,Officer(s) Unidentified,,,
370597,POF,,Male/Man,Complaint Withdrawn,,0.0,
719284,POF,,Male/Man,Complainant Uncooperative,947905.0,673.0,
581513,,,Male/Man,Officer(s) Unidentified,,,
693767,POM,,Male/Man,Unsubstantiated,943208.0,1049.0,
655971,POM,,Female/Woman,Substantiated (Charges),939089.0,1521.0,No Disciplinary Action-DUP
933991,,,Male/Man,Complainant Unavailable,,0.0,
432155,,,Male/Man,Complainant Uncooperative,,0.0,
1289734,PO,Decline to Answer (NA),Female/Woman,Unfounded,959452.0,3239.0,
565954,SGT,,Male/Man,Unsubstantiated,911634.0,5014.0,
483777,,,Female/Woman,Complainant Uncooperative,,0.0,
963231,POM,,Male/Man,Unfounded,932376.0,4729.0,
494648,POM,,Male/Man,Exonerated,900152.0,5393.0,
385071,,,Male/Man,Complainant Uncooperative,,0.0,
1116729,DI,,Female/Woman,Miscellaneous - Subject Retired,894123.0,11954.0,
546555,,,Male/Man,Alleged Victim Unavailable,,0.0,
385254,,,Male/Man,Alleged Victim Unavailable,,0.0,
1006098,POF,,Female/Woman,Complainant Uncooperative,941392.0,4157.0,
919664,SGT,,Male/Man,Exonerated,939334.0,3326.0,
458567,,,Male/Man,Alleged Victim Uncooperative,,0.0,
795806,,,Male/Man,Complainant Uncooperative,,0.0,
303960,DT3,,,Unsubstantiated,909830.0,6012.0,
1073257,POM,,Female/Woman,Unsubstantiated,960645.0,1179.0,
1227512,PO,Middle Eastern/North African (R),Male/Man,Unfounded,966400.0,1699.0,
1001699,POM,,Male/Man,Unsubstantiated,953959.0,1705.0,
1074002,,,Male/Man,Complainant Uncooperative,,0.0,
746902,,,Male/Man,Complainant Uncooperative,,0.0,
305140,SGT,,Male/Man,Unfounded,907324.0,3161.0,
911214,,,Female/Woman,Officer(s) Unidentified,,,
1284425,SGT SA,Black and/or African American (R); Other Hispanic/Latino (E),Male/Man,Within NYPD Guidelines,951689.0,4551.0,
776884,POM,,Female/Woman,Complaint Withdrawn,948951.0,614.0,
899957,DT2,,Male/Man,Unsubstantiated,900766.0,8002.0,
748431,,,Male/Man,Complainant Uncooperative,,0.0,
748843,,,Male/Man,Complainant Uncooperative,,0.0,
483254,,,Female/Woman,Complainant Uncooperative,,0.0,
1048553,POF,,Male/Man,Complainant Uncooperative,954193.0,2167.0,
1094703,POM,,Male/Man,Unsubstantiated,943664.0,4442.0,
435748,SGT,,Male/Man,Exonerated,918219.0,3438.0,
319322,POM,,Male/Man,Complaint Withdrawn,926140.0,1142.0,
355738,POM,,Male/Man,Complaint Withdrawn,922770.0,2062.0,
1061536,SGT,,Male/Man,Unsubstantiated,937288.0,4814.0,
1010782,POM,,Male/Man,Complainant Uncooperative,951197.0,2410.0,
958336,POM,,Male/Man,Complaint Withdrawn,952555.0,1416.0,
519512,DT3,,Male/Man,Unsubstantiated,929255.0,2200.0,
709778,POF,,Male/Man,Unsubstantiated,937221.0,2060.0,
1075480,,,Male/Man,Officer(s) Unidentified,,,
977290,SGT,,Male/Man,Alleged Victim Uncooperative,948198.0,2709.0,
892456,LT,,Male/Man,Unsubstantiated,918182.0,6215.0,
316991,,,Male/Man,Complainant Uncooperative,,0.0,
326137,DT3,,Male/Man,Complaint Withdrawn,894671.0,5476.0,
759004,POM,,Female/Woman,Complainant Unavailable,935482.0,2567.0,
312184,,,Male/Man,Complainant Uncooperative,,0.0,
1061938,POF,,Male/Man,Unsubstantiated,955988.0,1962.0,
