principal,district,_2011_2012_progress_grade
Patricia Costa,25,B
Robin Sundick,3,C
Roberto Padilla,3,D
Keishea Allen,84,C
Mary Pree,1,B
Betty Lugo,4,C
Christine Walsh,75,C
Rosa Davila,5,C
Cynthia Rochez,4,B
Lillian Raimundi Ortiz,4,C
Diane Brady,3,C
Jacqueline Getz,2,B
Laura Garcia,2,D
Andrea Hernandez,4,B
Peter Mcfarlane,3,C
Elizabeth Jarrett,5,C
Ronnie Shuster,75,B
Jennifer Leventhal,2,B
Charles Deberry,3,C
Kelly Bowers/Angela Beal,84,C
Barbara Hanson,75,B
Dr. Olga Livanis,1,A
Jodi Hyde,3,B
Denise Gomez,3,F
Yvonne Marrero,30,A
Ann Mooney,84,F
Ellen Foote,2,D
Alex Estrella,4,D
Roy Oneill,2,C
Johanna Schneider,75,C
Michelle Contratti,25,A
Lynn Botfeld,24,C
Mona Silfen,4,B
Robin Cohen,75,A
Karen Feuer,1,F
Mara Ratesic Koetke,2,C
James Mckeon,75,C
Ava Cara Kaplan,75,C
Irma Medina,2,C
Elisa Aragon,2,C
Maria Verdesoto,3,C
Pamela Price Haynes,5,C
Lisa Ripperger,2,F
Herma Hall,3,D
Jacob Michelman,4,F
Israel Soto,4,B
Teri Stinson,5,C
Reginald Higgins,5,C
Stacy Paige Goldstein,2,D
Gryssele Machicote,4,F
David Getz,2,A
Celestina De La Garza,84,B
Josie Carbone,84,C
Oswaldo Roman,75,A
Sharon Hill,2,B
Laura Pessutti,24,B
Jonathan Levin,2,B
Kelly Mcguire,2,C
Carry Chan,1,B
Joycelyn Nedd,75,F
Frances Castillo,4,C
Keith Ryan,2,C
Rhonda Perry,2,B
Anne Keegan,10,B
Eileen Reiter,4,C
Robert O'brien,3,D
Ethan Mitnick,84,
Shirley Torres,10,C
Henry Zymeck,3,C
Claudia Aguirre,3,A
Lisa Nelson,4,C
Liliana Sarro,4,F
Lisette Caesar,4,B
Darcy Richie,84,C
Ms. Elisa Brown,17,A
Tammy Pate,4,A
Barbara Leto,28,A
Phyllis Tam,2,A
Desmond Park,75,D
Olga Guzman,30,B
Mark Federman,1,B
James Lee,1,D
Barry Daub,75,F
Sonhando Estwick,1,A
Elaine Schwartz,3,C
Lindley Uehling/Julia Zucke,4,D
Janette Cesar,4,B
Maggie Siena,2,D
Jeanne Rotunda,3,D
Rosa Nieves Greene,75,F
George Young,5,D
Shanie Johnson,75,C
Sandra Gittens,4,B
Tomasz Grabski,4,D
Susan Felder,2,B
Laura Peynado,1,C
Darryl Alhadeff,2,C
Don Catlin,4,F
Irene Sanchez,1,F
Jennifer Rehn,2,B
Odelphia Pierre,5,C
"Iris Chiu, I.A.",1,A
Melissa Rodriguez,1,B
Beverly Ellis,9,C
Alison Gail Hazut,1,D
Loretta Caputo,1,D
Cristine Vaughan,11,F
Amy Hom,2,C
Jacqueline Flanagan,1,B
Norma Caraballo,4,B
John Curry,3,B
Kelly Shannon,2,C
Jane Hsu,2,D
Ilene Goldstein- Harn,75,B
Althea Bradshaw-Tyson,4,D
Sharon Jeffrey Roebuck,2,F
Deirdre Budd,6,C
Andrew Todd Topol,28,F
Cynthia Mullins-Simmons,5,C
Rosa Casiello O'day,2,A
Joyce Stallings Harte,1,B
Genevieve Stanislaus,2,C
Robert Wojnarowski,75,C
Katherine Banucci-Smith,3,A
George Morgan,1,B
Robin Williams,1,B
Heather Leykam,75,B
Ivelisse Alvarez,3,C
Milo Novelo,1,F
Dianne S. Martin,22,F
Aracelis Castellano,3,B
Lourdes Mendez,75,A
Kristin Erat,9,C
Stephen V. Peters,84,F
Virginia Pepe,3,C
Camille Forbes,4,B
Denise D'anna,75,B
Veronica Najjar,2,C
Beverly Lewis,5,C
Ana De Los Santos,3,A
Lily Woo,2,B
Susan M. Vairo,5,F
Edna Loncke,29,C
Cheryl Mcclendon,5,D
Matthew Greenberg,84,F
Nancy Sing Bock,2,D
Robert Bender,2,C
Judith De Los Santos,1,C
Diana Diaz,3,F
Arthur Mattia,75,A
Maria Rosado,10,C
Lauren Fontana,2,C
Susan Rappaport,3,F
Naomi Smith,4,D
Sameer Talati,4,C
Laura Silver,84,F
Chrystina Russell,4,C
Mandana Beckman,2,F
Linore Lindy,2,B
Norma Hurwitz,84,B
Robert Groff,25,A
Dimitres Pantelidis,4,A
Dean Ketchum,2,D
Maria Velez Clarke,1,D
Melinda Hyer,9,B
Courtney Russell,84,C
Josephin Sportella-Giust,20,F
Susan M. Green,3,C
Lisa Siegman,2,D
Elana Elster,3,C
Esteban Barrientos,1,C
Donna Taylor,20,A
David Bowell,2,F
Barbara Darrigo,3,F
Rudy Giuliani,75,C
Jane Murphy,3,C
Sara Tucci,24,C
Susan Finn,75,A
Antonio Hernandez,4,B
Erin Mcmahon,1,C
Jeffrey S. Perl,3,B
Monica Berry,3,C
Nancy Ramos,9,C
Megan Adams,2,B
Darlene Despeignes,1,B
Luis Genao,4,C
Alice Hom,2,C
Marcy Berger,75,F
Adele Schroeter,2,D
Rosemarie Gaetani,2,C
Angela Olden Camiolo,3,C
Marlon L. Hosang,1,C
Rhonda Levy,1,C
Brett Gustafson,2,A
John Pettinato,2,F
Theresa Ruyter,2,D
Brenda Gallashaw,75,B
Osei Owusu-Afriyie,3,A
Roderick Palton,75,D
Katy Rosen,3,C
