school,_2011_2012_performance,_2011_2012_overall_score
Learners and Leaders,18.1,47.6
Community Action School - MS 258,22.8,72.5
James Weldon Johnson,22.0,74.4
P.S. M094,12.7,62.3
P.S. 006 Lillie D. Blake,18.9,58.8
P.S. 77 Lower Lab School,21.0,60.1
P.S. 242 Leonard P. Stavisky Early Childhood Sch,20.4,54.3
The Children's Workshop School,6.5,38.3
Brownsville Ascend Charter School,17.5,46.5
South Richmond High School I.S./P.S. 25,16.3,68.8
Tompkins Square Middle School,23.2,79.3
East Side Community School,22.0,74.4
P.S. 083 Luis Munoz Rivera,20.0,56.5
I.S. 289,18.9,50.3
P.S. 011 William T. Harris,18.8,61.1
P.S. 38 Roberto Clemente,13.2,60.5
P.S. 002 Meyer London,18.5,72.0
P.S. 372 -The Children's School,21.5,91.1
Earth School,12.7,48.0
P.S. 009 Sarah Anderson,22.5,64.1
P.S. K771,21.0,75.8
P.S. 046 Arthur Tappan,9.9,41.0
Hebrew Language Academy Charter School,12.9,24.8
P.S. 199 Jessie Isador Straus,19.4,57.8
P.S. 112 Jose Celso Barbosa,11.1,42.6
Growing Up Green Charter School,9.8,29.0
M.S. 255 Salk School of Science,21.2,73.2
Life Sciences Secondary School,15.4,52.3
P.S. 154 Harriet Tubman,7.4,46.7
BROOKLYN SCHOOL OF INQUIRY,22.6,61.0
Neighborhood School,12.4,34.9
P.S. 185 John M. Langston,14.6,41.5
P.S. 030 Hernandez/Hughes,6.7,49.5
P.S. 137 John L. Bernstein,6.8,44.3
P.S. 007 Samuel Stern,16.2,54.2
P.S. 110 Florence Nightingale,13.0,34.1
P.S. 333 Manhattan School for Children,9.1,29.3
P.S. Q222 - Fire Fighter Christopher A. Santora,19.6,59.5
P.S. M811 - Mickey Mantle School,13.0,64.1
P.S. 130 Hernando De Soto,19.7,72.3
P.S. 041 Greenwich Village,16.4,52.9
P.S. 108 Assemblyman Angelo Del Toro Educational,17.2,41.9
P.S. K369 - Coy L. Cox School,10.1,50.1
Girls Preparatory Charter School of the Bronx,11.0,36.4
Central Park East I,17.2,47.5
P.S. 161 Pedro Albizu Campos,15.5,55.4
J.H.S. 104 Simon Baruch,18.1,60.6
P.S. 207,13.2,41.2
River East Elementary,12.9,37.9
P.S. 050 Vito Marcantonio,7.6,52.7
Mosaic Preparatory Academy,10.0,59.6
P.S. 040 Augustus Saint-Gaudens,18.1,64.3
P.S. 249 The Caton,23.3,67.0
P.S. 140 Nathan Straus,12.5,49.9
BAYCHESTER ACADEMY,10.0,29.3
P.S. 89,17.3,53.2
M.S. 260 Clinton School Writers & Artists,22.4,68.2
P.S. 001 Alfred E. Smith,13.2,48.3
The Lexington Academy,17.0,71.9
P.S. 142 Amalia Castro,13.0,53.8
P.S. 180 Hugo Newman,13.9,51.5
P.S. 198 Isador E. Ida Straus,9.6,27.3
Academic Leadership Charter School,19.3,58.6
P.S. 130,24.8,66.6
P.S. 124 Yung Wing,19.0,54.6
Ella Baker School,16.1,47.7
P.S. K053,22.4,79.7
The 47 American Sign Language & English Lower Sc,14.4,42.4
Henry Street School for International Studies,7.4,39.0
Central Park East II,15.4,44.6
P.S. 015 Roberto Clemente,10.6,39.0
P.S. K140,8.0,37.7
P.S. 158 Bayard Taylor,19.4,59.1
P.S. 165 Robert E. Simon,15.9,59.3
Mott Hall II,21.8,74.0
M.S. 131,13.3,68.4
P.S. 084 Lillian Weber,11.8,52.5
Professor Juan Bosch Public School,7.1,38.5
M.S. 243 Center School,21.4,66.5
"Ballet Tech, NYC Public School for Dance",22.6,61.2
P.S. 129 John H. Finley,10.8,52.6
BATTERY PARK CITY SCHOOL,15.0,46.9
P.S. 166 The Richard Rodgers School of The Arts,15.2,51.1
P.S. 184m Shuang Wen,21.4,69.1
"Collaborative Academy of Science, Technology, &",16.1,45.7
Metropolitan Lighthouse Charter School,10.9,35.1
GLOBAL TECHNOLOGY PREPARATORY,20.6,63.8
P.S. 163 Alfred E. Smith,19.4,60.1
P.S. 290 Manhattan New School,18.0,68.6
P.S. 033 Chelsea Prep,17.2,68.3
P.S. 051 Elias Howe,13.8,43.0
J.H.S. 013 Jackie Robinson,9.5,32.2
Global Neighborhood Secondary School,11.6,53.3
Explore Excel Charter School,.,.
J.H.S. 167 Robert F. Wagner,19.2,63.2
Young Women's Leadership School,13.6,45.1
Institute for Collaborative Education,14.8,31.4
P.S. 208 Alain L. Locke,10.5,51.0
WEST PREP ACADEMY,12.2,43.0
PS M242-Gwendolyn Powell Brown Computer School,4.9,25.6
P.S. X088 - S. Silverstein Little Sparrow School,16.1,47.1
P.S. 036 Margaret Douglas,9.2,45.9
P.S. Q224,15.8,66.6
P.S. 236 Langston Hughes,9.7,36.3
The Academy for Excellence through the Arts,22.9,68.2
Wadleigh Secondary School for the Performing & V,8.4,29.9
M.S. 45/S.T.A.R.S. Prep Academy,6.7,26.2
P.S. 019 Asher Levy,8.9,55.9
Leadership Preparatory Brownsville Charter Schoo,12.7,40.1
Special Music School,23.4,74.0
University Neighborhood Middle School,12.0,52.8
Excellence Girls Charter School,22.0,55.8
THE ACADEMY OF TALENTED SCHOLARS,7.0,23.2
P.S. 241 Family Academy,3.1,12.7
P.S. 183 Robert L. Stevenson,17.3,60.2
The Bilingual Bicultural School,20.6,65.2
P.S. 064 Robert Simon,9.2,48.9
P.S. 116 Mary Lindley Murray,18.4,47.2
P.S. 096 Joseph Lanzetta,11.0,48.7
Tag Young Scholars,24.0,75.4
"P.S. 145, The Bloomingdale School",9.2,44.0
P.S. 191 Amsterdam,9.7,44.3
Renaissance School of the Arts,19.2,83.6
Robert E. Peary School,20.7,77.5
The Vida Bogart School for All Children,15.1,78.1
East Side Middle School,22.6,79.3
P.S. 092 Mary McLeod Bethune,11.3,53.0
P.S. X188,13.7,61.1
P.S. 170,13.5,41.5
P.S. 009,13.3,57.4
Quest to Learn,17.8,58.0
Isaac Newton Middle School for Math & Science,11.2,47.2
P.S. 209,20.3,60.8
P.S. 175 Henry H Garnet,11.8,36.2
P.S. 003 Charrette School,14.7,48.1
P.S. 063 William McKinley,13.3,59.3
P.S. 059 Beekman Hill International,17.2,52.2
P186X Walter J. Damrosch School,14.0,61.0
P.S. 125 Ralph Bunche,9.0,46.9
P.S. 087 William Sherman,17.8,49.8
P.S. 234 Independence School,12.0,29.9
P.S. 133 Fred R Moore,7.5,23.8
P.S. 020 Anna Silver,7.6,40.2
The Active Learning Elementary School,22.8,65.5
Lower Manhattan Community Middle School,20.7,61.1
P.S. 28 - The Thomas Emanuel Early Childhood Cen,12.3,50.6
M.S. 256 Academic & Athletic Excellence,15.3,62.0
P.S. 149 Sojourner Truth,4.5,26.2
P.S. 212 Midtown West,20.5,54.1
P.S. Q004,13.4,60.7
P.S. 251 Queens,14.4,39.3
The East Village Community School,19.3,61.3
M.S. 250 West Side Collaborative Middle School,18.9,54.5
