dbn,progress_report_type,_2011_2012_environment_grade,_2011_2012_performance_grade,_2011_2012_environment,_2011_12_overall_percentile
25Q242,EC,C,A,8.2,
03M084,EMS,B,C,8.7,46.2
03M421,EMS,B,C,9.4,19.6
84K797,EC,B,B,9.6,
01M188,EMS,A,A,11.5,77.5
04M096,EMS,C,C,6.7,35.6
75X723,D75,A,C,11.7,
05M092,EMS,A,C,11.2,48.0
04M050,EMS,F,D,3.4,41.9
04M155,EMS,B,C,7.9,30.8
03M009,EMS,A,A,12.2,73.6
02M126,EMS,B,A,8.6,85.6
02M225,EMS,C,A,7.1,33.8
04M182,EMS,A,A,11.1,76.2
03M180,EMS,A,B,9.7,40.0
05M154,EMS,B,D,8.4,31.6
75M094,D75,F,F,4.7,
02M183,EMS,C,A,6.8,64.6
03M076,EMS,A,B,11.8,38.8
84K737,EC,B,B,10.8,
75X010,D75,B,B,9.9,
01M539,EMS,C,A,6.2,84.4
03M334,EMS,A,A,11.8,88.1
03M242,EMS,D,F,4.6,2.8
30Q222,EC,B,B,9.4,
84K734,EC,B,F,8.9,
02M289,EMS,B,A,9.6,36.5
04M372,EMS,A,A,12.3,49.2
02M442,EMS,A,A,12.6,68.8
75K036,D75,B,C,9.9,
25Q130,EC,B,A,9.5,
24Q305,EC,B,B,10.8,
04M146,EMS,C,D,6.0,51.5
75X017,D75,C,B,7.0,
01M110,EMS,C,B,6.3,7.9
02M077,EMS,B,A,8.8,64.4
75R025,D75,A,B,12.3,
75X186,D75,A,B,15.0,
02M111,EMS,D,C,4.9,23.8
02M422,EMS,B,A,8.5,56.9
03M191,EMS,D,C,4.7,25.6
05M161,EMS,A,B,9.9,55.0
02M234,EMS,C,C,7.2,4.4
03M415,EMS,F,D,2.9,5.8
04M013,EMS,C,C,6.3,8.0
04M057,EMS,A,A,13.4,90.6
05M030,EMS,B,D,9.1,38.2
05M125,EMS,C,C,6.9,32.8
02M413,EMS,A,A,9.8,27.9
04M108,EMS,A,A,9.9,17.5
02M114,EMS,A,A,12.8,92.0
84K712,EC,A,A,14.4,
84X487,EC,A,C,12.8,
75Q256,D75,B,A,11.4,
02M290,EMS,A,A,12.5,84.4
24Q028,EC,A,C,13.1,
02M260,EMS,B,A,9.0,78.2
02M896,EMS,A,A,10.6,64.4
01M378,EMS,B,A,8.4,72.1
75K368,D75,D,D,5.8,
04M083,EMS,A,A,9.7,57.2
02M408,EMS,C,A,5.8,58.6
02M255,EMS,A,A,12.2,85.9
10X209,EC,A,A,14.4,
04M112,EC,B,C,8.8,
03M075,EMS,C,C,6.6,16.6
84K379,EC,,,.,
10X023,EC,B,F,9.2,
03M245,EMS,A,A,10.3,66.3
03M247,EMS,A,A,13.5,97.0
04M825,EMS,A,C,10.8,28.2
04M224,EMS,C,C,6.5,6.4
04M375,EMS,A,C,9.7,63.1
84K711,EC,A,C,13.8,
17K249,EC,A,A,12.9,
04M377,EMS,A,A,10.7,95.0
28Q303,EC,A,A,14.4,
02M131,EMS,B,B,8.4,79.0
75Q224,D75,D,C,9.1,
30Q228,EC,A,B,14.1,
01M450,EMS,A,A,11.8,87.9
01M020,EMS,A,D,10.3,16.6
