peer_index,_2010_11_progress_report,_2011_2012_progress_category,_2011_2012_overall_grade,school_level
27.47,A,20.1,B,K-3
41.93,F,29.4,B,Elementary
2.12,C,18.1,C,Middle
52.66,.,13.5,C,K-3
71.58,A,31.5,A,K-8
65.2,B,27.8,C,K-8
,B,31.2,B,K-8
65.86,B,26.2,B,Elementary
69.05,C,37.3,B,K-8
69.35,B,25.4,C,Elementary
19.16,A,27.9,B,Elementary
35.0,A,36.8,A,K-8
40.22,C,22.4,C,K-8
60.19,B,31.5,A,Elementary
50.78,B,24.5,C,K-8
66.49,D,27.0,C,Elementary
,D,41.6,C,Elementary
13.75,B,32.7,B,Elementary
61.5,B,22.7,C,K-8
52.68,.,16.5,B,K-3
,B,46.9,A,Elementary
10.44,A,38.5,A,K-8
6.74,A,34.9,A,K-8
65.15,B,13.5,D,Elementary
51.07,B,24.7,A,K-2
53.62,.,6.2,C,K-3
3.2,B,18.9,C,Middle
2.09,A,20.8,B,Middle
30.27,B,25.0,B,K-8
,A,27.8,C,Middle
17.92,A,28.9,A,K-3
58.42,C,15.0,B,K-3
75.42,A,35.7,B,Elementary
,A,53.3,A,K-8
36.31,C,13.2,D,Elementary
9.27,A,28.3,B,Elementary
,C,34.4,B,Middle
,C,27.2,B,K-8
53.79,C,24.3,C,K-8
2.72,B,27.6,B,Middle
54.31,C,25.0,C,K-8
65.64,B,26.0,B,K-8
9.23,A,8.9,C,Elementary
2.15,D,16.8,D,Middle
2.05,C,13.6,D,Middle
65.54,A,34.2,A,K-8
70.62,D,28.8,C,Elementary
61.55,C,26.6,C,Elementary
3.14,A,14.5,C,Middle
61.76,A,12.5,C,K-8
3.54,A,40.5,A,Middle
50.08,.,18.9,A,K-3
58.02,.,11.4,C,K-3
,A,50.4,A,Middle
10.06,A,35.3,A,Elementary
59.84,B,18.0,B,K-2
2.91,B,33.3,A,Middle
2.52,B,25.6,B,Middle
2.33,B,32.1,B,Middle
,B,10.9,F,Middle
52.6,A,24.5,B,Elementary
3.74,B,30.4,B,Middle
3.56,A,37.2,A,Middle
67.47,B,22.0,A,K-2
63.85,A,16.5,B,K-2
47.53,C,20.0,C,Elementary
52.44,.,.,,K-3
73.2,B,15.7,C,K-3
3.11,B,28.7,B,Middle
2.36,A,47.8,A,Middle
2.65,D,23.1,C,Middle
3.29,C,11.4,C,Middle
65.75,D,33.8,B,Elementary
56.88,.,12.0,B,K-3
57.87,A,25.5,A,K-3
1.89,D,48.8,A,Middle
13.68,.,29.0,A,K-3
2.72,A,42.4,A,Middle
,B,35.9,B,Elementary
63.11,A,20.1,A,K-2
2.17,A,35.9,A,Middle
52.38,B,19.6,C,Elementary
,C,29.9,C,Elementary
2.67,B,41.2,A,Middle
3.71,B,30.8,A,Middle
34.14,C,16.4,C,Elementary
33.36,B,38.3,A,K-8
14.16,C,16.0,C,Elementary
2.2,B,19.5,B,Middle
,C,17.5,C,K-8
62.5,B,18.9,C,K-8
,D,34.2,B,Middle
65.44,B,30.8,B,Elementary
1.93,C,15.4,D,Middle
15.27,A,33.4,B,Elementary
1.94,C,24.5,B,Middle
15.08,B,29.5,B,Elementary
59.11,C,14.4,C,Elementary
73.38,C,14.7,C,Elementary
3.08,A,32.9,B,Middle
62.61,C,30.9,B,K-8
19.3,A,38.6,A,K-8
61.67,F,30.2,C,Elementary
67.98,C,12.8,C,K-2
31.56,C,19.5,C,Elementary
52.29,C,19.8,C,Elementary
54.07,.,7.6,C,K-3
37.87,B,26.1,C,Elementary
47.89,B,35.4,B,Elementary
69.37,B,34.5,B,Elementary
2.16,A,34.8,A,Middle
10.81,A,22.1,B,Elementary
21.19,C,18.0,C,Elementary
,A,41.1,B,Elementary
3.25,B,20.1,C,Middle
41.13,C,13.4,D,Elementary
54.84,B,13.8,C,K-2
46.18,C,7.6,C,K-3
60.31,C,29.2,C,Elementary
28.66,A,51.2,A,Elementary
67.83,C,35.4,A,K-8
2.18,C,26.7,B,Middle
,A,30.3,B,K-8
7.11,A,39.2,A,K-8
2.04,B,32.2,B,Middle
31.48,C,30.5,B,Elementary
,A,37.0,A,Middle
65.64,C,22.2,C,Elementary
31.97,C,10.8,D,Elementary
58.44,C,6.8,D,K-2
60.46,A,31.2,B,K-8
,C,49.6,B,Elementary
65.17,.,16.4,B,K-3
39.4,.,7.8,C,K-3
39.98,C,28.8,B,Elementary
65.06,D,30.5,B,Elementary
,B,38.0,A,K-8
10.99,B,25.8,B,Elementary
64.19,D,22.9,C,K-8
3.02,A,39.5,A,Middle
23.15,A,37.8,A,Elementary
67.45,C,10.9,F,Elementary
49.08,B,15.0,B,K-3
64.75,B,17.5,C,Elementary
32.89,.,7.0,C,K-3
49.67,B,16.0,C,Elementary
27.15,A,29.5,B,Elementary
2.38,B,23.4,C,Middle
64.17,B,,F,Elementary
,A,51.5,A,Elementary
63.02,C,15.8,B,K-2
10.33,A,29.3,B,Elementary
21.84,B,8.7,C,K-8
44.12,A,15.9,C,Elementary
63.45,C,27.6,B,K-8
32.27,.,7.6,C,K-3
2.09,A,24.8,B,Middle
28.31,D,15.1,D,K-8
37.56,B,36.2,A,Elementary
57.22,.,22.9,A,K-3
