the_geom,distance,approx_length_flag,lot_face_length
"{'type': 'MultiLineString', 'coordinates': [[[-73.956832482908, 40.80554572485], [-73.956800016876, 40.805590169335]]]}",18.51989531,0,18.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.946394578196, 40.810266975881], [-73.9464435954, 40.810287567311]]]}",15.50489739,0,16.67
"{'type': 'MultiLineString', 'coordinates': [[[-73.964278705739, 40.759858307172], [-73.964598625097, 40.759993113939]]]}",101.32676398,0,100.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.94625089063, 40.813152386489], [-73.946303078136, 40.813174395986]]]}",16.52239773,0,16.67
"{'type': 'MultiLineString', 'coordinates': [[[-73.9450779172, 40.817174466381], [-73.945051153159, 40.817163182447], [-73.945022224742, 40.817150986139]]]}",17.62993365,0,17.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.969908761876, 40.752285564466], [-73.970160343647, 40.752391724541]]]}",79.71576316,0,75.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.935035580351, 40.797651778221], [-73.934855818488, 40.797897311504]]]}",102.37003716,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.939777420465, 40.807153599663], [-73.9398899407, 40.807200801957]]]}",35.58154769,0,35.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.934540803742, 40.795793969264], [-73.934359075486, 40.796040664315]]]}",103.00563523,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.965673606777, 40.758508476994], [-73.964601024151, 40.758057472471]]]}",339.55219683,0,339.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.944439764445, 40.81690540676], [-73.944617183942, 40.816661997013]]]}",101.3722625,0,99.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.934877823776, 40.799048987947], [-73.934826731562, 40.799027430562]]]}",16.17998324,0,16.67
"{'type': 'MultiLineString', 'coordinates': [[[-73.944969130883, 40.813982651461], [-73.945291418173, 40.814118229845]]]}",101.9735552,0,100.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.952235962841, 40.799028759965], [-73.952273686932, 40.799686105051]]]}",239.72136967,0,236.83
"{'type': 'MultiLineString', 'coordinates': [[[-73.952434764052, 40.807279498139], [-73.952578145269, 40.807083130122]]]}",81.81714387,0,75.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.963246010608, 40.759745492971], [-73.963229175012, 40.759738398516], [-73.96318545588, 40.759719975003]]]}",19.17957495,0,18.5
"{'type': 'MultiLineString', 'coordinates': [[[-73.964533957686, 40.757705668421], [-73.96470608128, 40.757778044838], [-73.964782397545, 40.75781013525]]]}",78.65046845,0,79.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.965065183643, 40.799370473018], [-73.965219920608, 40.799435754568]]]}",49.0010075,0,49.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.942427775842, 40.809901813325], [-73.942583900918, 40.80996759521]]]}",49.41954793,0,50.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.952788018561, 40.799902639702], [-73.952636489027, 40.799838845751]]]}",47.96129078,0,48.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.944899950726, 40.814532092567], [-73.944865574643, 40.814578675095]]]}",19.45717579,0,19.85
"{'type': 'MultiLineString', 'coordinates': [[[-73.934190908197, 40.80696264708], [-73.934048090326, 40.806772073631]]]}",79.90042838,0,80.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.979142896191, 40.755617489932], [-73.978967296184, 40.755543176132]]]}",55.67643756,0,51.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.93542717678, 40.798636777868], [-73.935245914745, 40.798884358406]]]}",103.22342599,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.963975812366, 40.754946961805], [-73.963898862227, 40.754896066892]]]}",28.25490139,0,0.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.96991431503, 40.754560620943], [-73.970092249374, 40.75431582639]]]}",101.90430978,0,100.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.967885955347, 40.756030921521], [-73.968114377245, 40.756127051957]]]}",72.32890737,0,70.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.947830912689, 40.806979026903], [-73.948012642037, 40.806731266916]]]}",103.34061894,0,100.92
"{'type': 'MultiLineString', 'coordinates': [[[-73.965471402444, 40.752019242458], [-73.966774704748, 40.752566405435]]]}",412.46971866,0,404.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.958365774195, 40.802140404237], [-73.958689780251, 40.802277003545]]]}",102.58390587,0,100.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.940603415156, 40.808966289095], [-73.940705122703, 40.808825930316]]]}",58.37630374,0,56.0
"{'type': 'MultiLineString', 'coordinates': [[[-73.970312941043, 40.761841443165], [-73.970095189042, 40.762140938946]]]}",124.68002899,0,120.42
"{'type': 'MultiLineString', 'coordinates': [[[-73.968209131989, 40.760152347676], [-73.968253919323, 40.760090990879]]]}",25.56676263,0,25.0
